"Timestamp","David De Gea","Ashley Young","Harry Maguire","Victor Lindelof","Aaron Wan-Bissaka","Scott McTominay","Nemanja Matic","Andreas Pereira","Juan Mata","Daniel James","Marcus Rashford","Jesse Lingard(optional)","Fred(optional)","Rate our performance","Rate final result","Rate Ole (only this match)","Rate West Ham (only this match)","Were you happy with the referee? (optional)"
"2019/09/23 4:35:11 PM GMT+1","4","4","5","5","7","6","4","3","3","5","3","","","3","1","3","7","Yes"
"2019/09/23 4:36:05 PM GMT+1","6","6","6","6","7","6","6","6","4","6","4","5","4","3","7","5","7","Yes"
"2019/09/23 4:37:02 PM GMT+1","6","5","5","4","7","7","3","6","5","7","3","1","4","3","1","3","7","Yes"
"2019/09/23 4:38:19 PM GMT+1","5","5","5","5","5","6","2","4","2","5","2","3","3","2","1","5","6","Yes"
"2019/09/23 4:39:45 PM GMT+1","6","8","7","5","7","5","4","4","4","7","1","4","4","3","1","3","6","Yes"
"2019/09/23 4:39:51 PM GMT+1","4","4","6","5","4","7","3","2","4","6","2","","","2","1","3","7","Yes"
"2019/09/23 4:41:34 PM GMT+1","6","10","1","1","1","1","10","10","10","1","6","10","4","10","3","7","6","Yes"
"2019/09/23 4:42:08 PM GMT+1","6","5","5","5","9","6","5","4","4","7","4","5","6","2","1","4","6","Yes"
"2019/09/23 4:42:32 PM GMT+1","5","4","5","5","6","5","3","3","3","4","3","","","2","1","4","7","Yes"
"2019/09/23 4:42:47 PM GMT+1","6","5","5","5","6","6","5","4","3","6","3","","","1","1","1","7","Yes"
"2019/09/23 4:44:23 PM GMT+1","7","6","6","6","7","6","6","6","6","6","6","6","7","5","3","6","7","No"
"2019/09/23 4:48:41 PM GMT+1","5","5","6","4","8","6","4","2","2","6","2","1","4","1","1","3","7","Yes"
"2019/09/23 4:49:14 PM GMT+1","6","6","6","6","7","7","6","6","5","6","5","5","","5","4","6","7","Yes"
"2019/09/23 4:49:58 PM GMT+1","4","5","4","3","6","6","5","5","4","5","4","5","6","2","1","5","7","No"
"2019/09/23 4:53:43 PM GMT+1","6","6","5","4","8","4","4","3","3","7","1","4","7","3","3","3","7","Yes"
"2019/09/23 4:55:21 PM GMT+1","5","6","5","5","7","6","7","5","3","6","3","4","5","4","2","7","6","Yes"
"2019/09/23 4:55:46 PM GMT+1","5","4","6","5","7","5","5","4","4","6","2","4","5","3","2","1","5","No"
"2019/09/23 4:55:49 PM GMT+1","5","5","4","5","5","6","5","5","4","4","2","","","4","4","4","6",""
"2019/09/23 4:57:38 PM GMT+1","4","6","6","5","8","5","5","3","3","5","4","4","","3","2","4","6","Yes"
"2019/09/23 4:58:38 PM GMT+1","8","5","8","8","9","8","6","5","6","6","7","","","6","2","3","6",""
"2019/09/23 5:05:04 PM GMT+1","6","4","5","5","7","5","3","5","3","7","4","4","5","3","7","4","6","Yes"
"2019/09/23 5:07:02 PM GMT+1","6","6","5","4","5","7","5","6","2","3","4","5","6","4","1","4","7","Yes"
"2019/09/23 5:07:38 PM GMT+1","5","4","4","4","4","4","2","1","1","5","3","2","2","2","2","5","6","Yes"
"2019/09/23 5:08:04 PM GMT+1","5","5","5","5","6","5","5","5","5","5","4","10","5","3","4","4","6",""
"2019/09/23 5:11:04 PM GMT+1","5","6","5","5","6","7","6","6","5","6","5","5","6","4","1","4","6","Yes"
"2019/09/23 5:18:40 PM GMT+1","5","6","5","5","6","7","4","4","4","7","3","","","3","2","3","7",""
"2019/09/23 5:19:43 PM GMT+1","3","2","4","3","5","7","5","3","2","3","1","3","4","3","2","1","8","Yes"
"2019/09/23 5:21:43 PM GMT+1","3","5","4","3","5","4","4","1","1","4","1","1","6","2","7","2","7","Yes"
"2019/09/23 5:26:10 PM GMT+1","6","6","7","6","6","7","3","6","5","6","4","","","4","4","6","6","No"
"2019/09/23 5:28:17 PM GMT+1","4","3","4","4","6","5","3","4","1","5","1","2","3","1","2","3","6","Yes"
"2019/09/23 5:28:32 PM GMT+1","5","7","5","4","6","3","3","6","5","5","4","5","5","1","3","4","5","Yes"
"2019/09/23 5:29:42 PM GMT+1","6","5","7","7","6","7","4","4","3","7","4","2","5","2","1","3","6",""
"2019/09/23 5:30:08 PM GMT+1","6","4","5","5","6","5","5","4","4","5","5","5","6","3","2","4","6","No"
"2019/09/23 5:33:33 PM GMT+1","6","6","7","5","7","6","3","4","4","6","4","4","5","4","1","5","6","Yes"
"2019/09/23 5:37:02 PM GMT+1","6","2","6","6","9","6","5","3","3","7","3","6","6","2","1","2","7","No"
"2019/09/23 5:38:46 PM GMT+1","6","6","6","5","7","6","5","4","4","7","5","4","6","4","5","5","6","Yes"
"2019/09/23 5:40:21 PM GMT+1","5","5","6","5","8","6","5","4","4","6","4","5","7","2","2","2","6","Yes"
"2019/09/23 5:40:27 PM GMT+1","6","5","7","5","7","7","2","2","1","5","4","6","7","3","1","2","6","Yes"
"2019/09/23 5:41:32 PM GMT+1","7","5","5","5","5","5","4","4","2","7","1","2","6","1","1","2","4","No"
"2019/09/23 5:43:36 PM GMT+1","5","6","5","5","6","6","4","4","4","6","3","6","7","2","2","5","6","Yes"
"2019/09/23 5:46:30 PM GMT+1","6","4","6","5","7","6","4","4","3","6","3","3","4","2","2","2","7","Yes"
"2019/09/23 5:47:58 PM GMT+1","5","2","5","4","4","5","2","4","3","7","5","3","3","3","2","3","6","No"
"2019/09/23 5:48:35 PM GMT+1","4","4","5","3","6","6","3","2","3","6","2","4","4","2","1","4","4","Yes"
"2019/09/23 5:51:59 PM GMT+1","4","4","6","5","7","5","4","5","3","6","3","3","6","3","1","4","6","Yes"
"2019/09/23 5:52:05 PM GMT+1","5","5","5","5","5","5","4","4","4","5","4","5","5","3","2","4","4","Yes"
"2019/09/23 5:52:53 PM GMT+1","6","5","5","5","5","7","7","6","6","6","6","","","4","1","2","8",""
"2019/09/23 5:58:28 PM GMT+1","5","2","5","5","6","3","2","1","3","5","3","1","1","1","1","5","7","No"
"2019/09/23 6:02:23 PM GMT+1","6","5","5","5","6","7","6","3","3","6","2","4","4","1","1","2","6","Yes"
"2019/09/23 6:03:14 PM GMT+1","1","1","5","4","7","5","1","1","1","4","3","1","5","1","1","1","8","Yes"
"2019/09/23 6:08:28 PM GMT+1","3","3","3","2","5","3","1","1","3","6","4","","","1","1","2","7","No"
"2019/09/23 6:09:32 PM GMT+1","5","5","6","4","7","4","3","2","3","8","4","1","5","4","4","6","9","Yes"
"2019/09/23 6:12:10 PM GMT+1","6","7","7","5","6","5","4","3","4","6","4","3","4","2","1","5","2","Yes"
"2019/09/23 6:13:36 PM GMT+1","5","5","5","5","7","6","4","5","4","5","5","4","4","4","1","4","9","Yes"
"2019/09/23 6:16:31 PM GMT+1","3","5","4","4","6","6","2","2","1","5","4","5","5","2","1","3","7","Yes"
"2019/09/23 6:17:01 PM GMT+1","5","7","5","3","7","6","4","3","5","6","2","3","5","2","1","2","7","Yes"
"2019/09/23 6:22:41 PM GMT+1","6","7","6","6","7","6","5","4","3","7","3","6","6","4","5","5","7","Yes"
"2019/09/23 6:31:32 PM GMT+1","6","6","5","6","7","7","5","5","4","7","5","5","6","5","4","3","6","Yes"
"2019/09/23 6:34:14 PM GMT+1","5","5","3","2","6","5","5","3","3","5","1","","","2","1","4","7","Yes"
"2019/09/23 6:34:53 PM GMT+1","6","6","6","6","7","7","5","5","5","5","2","1","6","1","10","5","8","Yes"
"2019/09/23 6:37:10 PM GMT+1","6","6","4","4","6","5","3","4","1","6","1","4","5","2","7","1","8","Yes"
"2019/09/23 6:39:35 PM GMT+1","6","7","5","5","6","5","6","3","3","6","4","6","6","1","1","3","4","Yes"
"2019/09/23 6:41:05 PM GMT+1","5","6","6","6","6","5","5","3","4","6","2","3","4","3","1","6","8","Yes"
"2019/09/23 6:45:17 PM GMT+1","5","4","4","4","5","6","5","4","4","7","3","2","3","1","1","2","8","Yes"
"2019/09/23 6:47:13 PM GMT+1","7","4","6","4","8","8","4","4","5","6","5","5","5","3","1","2","7","Yes"
"2019/09/23 6:47:43 PM GMT+1","7","6","6","5","6","7","5","4","4","6","3","6","5","5","2","6","7","Yes"
"2019/09/23 6:47:49 PM GMT+1","6","5","5","5","6","6","6","4","5","5","3","","","2","2","3","6","Yes"
"2019/09/23 6:50:40 PM GMT+1","5","7","5","5","7","6","6","4","5","5","3","2","5","3","3","2","5","Yes"
"2019/09/23 6:51:54 PM GMT+1","6","6","5","6","5","5","5","6","4","5","3","5","5","3","2","4","6","No"
"2019/09/23 6:54:25 PM GMT+1","5","3","3","3","3","7","5","4","4","7","6","1","2","2","1","2","8","Yes"
"2019/09/23 6:56:10 PM GMT+1","6","5","4","4","7","4","5","4","4","5","3","5","5","2","1","5","6","Yes"
"2019/09/23 6:58:26 PM GMT+1","7","2","5","5","8","7","3","3","4","5","3","1","6","3","2","4","8","Yes"
"2019/09/23 6:58:33 PM GMT+1","6","7","6","6","6","3","2","2","4","5","2","4","4","2","2","2","7","Yes"
"2019/09/23 7:00:32 PM GMT+1","5","4","5","5","6","5","4","5","4","6","5","5","5","3","1","3","6","Yes"
"2019/09/23 7:01:05 PM GMT+1","4","5","5","5","6","6","6","3","3","4","3","4","4","3","3","4","7","Yes"
"2019/09/23 7:05:41 PM GMT+1","4","4","6","6","8","7","3","5","4","7","4","4","6","4","2","4","5","Yes"
"2019/09/23 7:06:31 PM GMT+1","6","6","5","5","8","7","4","5","5","7","5","6","7","4","2","5","8","Yes"
"2019/09/23 7:12:43 PM GMT+1","1","1","1","1","6","5","1","1","1","3","1","1","5","1","1","1","7","Yes"
"2019/09/23 7:13:14 PM GMT+1","5","4","3","3","6","6","5","5","3","5","1","3","6","1","1","2","7","Yes"
"2019/09/23 7:20:50 PM GMT+1","6","7","6","6","7","6","5","6","5","6","5","5","5","5","4","7","8","Yes"
"2019/09/23 7:24:32 PM GMT+1","6","6","6","5","6","5","2","2","1","7","1","5","6","1","1","4","8","Yes"
"2019/09/23 7:34:54 PM GMT+1","4","3","3","3","7","5","5","6","3","5","3","5","5","3","2","4","7","Yes"
"2019/09/23 7:35:37 PM GMT+1","6","4","5","5","6","6","5","5","5","6","4","1","5","4","3","1","5","Yes"
"2019/09/23 7:36:57 PM GMT+1","6","6","6","6","6","7","1","1","1","7","3","1","","3","1","2","6",""
"2019/09/23 7:40:29 PM GMT+1","4","2","4","4","4","5","2","3","3","6","4","4","6","3","7","2","5","Yes"
"2019/09/23 7:46:45 PM GMT+1","7","5","6","6","7","7","5","5","5","6","6","5","5","3","1","5","4","Yes"
"2019/09/23 8:01:34 PM GMT+1","6","9","7","4","9","8","1","3","6","3","1","1","8","1","1","4","6","Yes"
"2019/09/23 8:01:34 PM GMT+1","7","5","6","7","6","6","5","5","5","4","5","4","5","4","1","4","7","Yes"
"2019/09/23 8:03:47 PM GMT+1","5","3","4","3","5","5","1","3","2","4","4","4","5","1","1","2","5","No"
"2019/09/23 8:17:48 PM GMT+1","5","5","4","4","5","5","3","1","1","6","1","4","4","1","1","2","8","Yes"
"2019/09/23 8:26:19 PM GMT+1","5","5","4","4","6","6","4","5","3","5","3","","","3","1","4","7","Yes"
"2019/09/23 8:30:57 PM GMT+1","5","3","2","2","6","5","1","3","1","3","2","1","2","3","2","2","8","Yes"
"2019/09/23 8:32:08 PM GMT+1","7","6","6","5","6","7","4","3","4","7","5","","6","6","1","5","6","Yes"
"2019/09/23 8:38:12 PM GMT+1","5","4","6","5","8","6","5","6","5","7","5","3","4","2","2","7","8","Yes"
"2019/09/23 8:42:27 PM GMT+1","4","1","6","4","6","1","4","1","1","6","1","1","6","1","1","1","5","No"
"2019/09/23 8:45:23 PM GMT+1","7","6","7","5","8","3","2","2","4","5","1","1","3","4","3","3","5","Yes"
"2019/09/23 8:45:40 PM GMT+1","5","4","4","4","5","5","5","4","3","5","3","3","5","2","2","4","7","Yes"
"2019/09/23 8:46:32 PM GMT+1","5","4","5","5","7","5","4","2","1","4","4","5","5","2","1","3","3","Yes"
"2019/09/23 8:57:22 PM GMT+1","4","3","5","4","9","4","3","2","2","7","3","3","5","2","1","2","5","Yes"
"2019/09/23 9:03:53 PM GMT+1","5","6","7","6","7","6","6","3","5","8","5","5","4","3","1","5","7","No"
"2019/09/23 9:11:37 PM GMT+1","5","5","5","5","6","6","5","4","4","4","1","5","4","1","1","4","6","Yes"
"2019/09/23 9:14:59 PM GMT+1","5","3","5","5","7","7","3","4","4","6","3","5","7","3","4","3","7","Yes"
"2019/09/23 9:16:34 PM GMT+1","3","1","7","6","8","3","1","1","3","8","1","1","5","2","2","1","9","Yes"
"2019/09/23 9:17:51 PM GMT+1","4","3","3","3","4","4","3","4","3","5","4","","","2","1","2","6",""
"2019/09/23 9:22:37 PM GMT+1","6","6","5","4","6","5","5","3","3","5","2","","6","1","1","1","4","Yes"
"2019/09/23 9:22:57 PM GMT+1","7","6","6","6","6","7","6","5","5","8","6","7","7","4","3","6","5","Yes"
"2019/09/23 9:26:19 PM GMT+1","7","7","5","5","8","4","4","4","3","5","3","","","4","3","6","6","Yes"
"2019/09/23 9:30:17 PM GMT+1","6","6","5","5","6","7","6","4","6","6","4","","5","5","2","5","8","No"
"2019/09/23 9:38:51 PM GMT+1","6","6","6","6","8","5","4","3","2","7","5","5","6","4","4","4","5","Yes"
"2019/09/23 9:45:33 PM GMT+1","7","6","6","5","9","6","4","3","3","4","4","3","5","2","1","4","6","Yes"
"2019/09/23 9:45:53 PM GMT+1","4","1","5","4","7","8","1","3","2","6","3","5","5","2","1","1","5","Yes"
"2019/09/23 10:05:44 PM GMT+1","6","5","4","4","6","5","3","2","3","5","5","3","4","2","1","3","4","No"
"2019/09/23 10:05:48 PM GMT+1","7","7","8","6","9","9","5","5","5","7","6","6","7","5","1","6","6","Yes"
"2019/09/23 10:26:07 PM GMT+1","5","7","6","6","7","8","6","4","4","6","4","2","7","4","1","3","6","Yes"
"2019/09/23 10:26:22 PM GMT+1","5","5","5","4","6","5","4","3","3","5","4","3","5","3","3","4","6","Yes"
"2019/09/23 10:27:11 PM GMT+1","6","5","6","5","7","6","5","6","5","5","4","5","6","4","1","5","7","Yes"
"2019/09/23 10:28:59 PM GMT+1","6","5","5","5","8","6","5","5","4","7","5","5","7","3","3","4","6","Yes"
"2019/09/23 10:34:01 PM GMT+1","6","6","7","7","7","6","5","4","4","6","4","","","4","1","7","7",""
"2019/09/23 10:44:44 PM GMT+1","6","4","7","6","6","2","7","5","6","3","4","","","5","7","5","8","Yes"
"2019/09/23 10:55:56 PM GMT+1","5","2","5","4","6","3","2","2","3","6","2","2","","3","3","2","7","Yes"
"2019/09/23 11:04:27 PM GMT+1","8","4","6","4","6","6","4","5","3","5","5","","","3","3","3","8",""
"2019/09/23 11:33:54 PM GMT+1","7","5","4","4","6","5","4","5","3","5","3","","","3","1","2","6","Yes"
"2019/09/23 11:40:50 PM GMT+1","5","5","5","5","6","5","5","4","4","6","5","5","5","3","3","2","5","Yes"
"2019/09/23 11:46:47 PM GMT+1","6","5","5","5","6","5","3","4","4","6","5","4","","4","4","4","7","Yes"
"2019/09/23 11:58:02 PM GMT+1","5","5","5","5","6","5","6","3","3","7","5","4","4","3","1","2","6","Yes"
"2019/09/24 12:02:22 AM GMT+1","5","1","5","4","5","5","2","3","3","4","2","1","5","3","1","4","7","No"
"2019/09/24 12:03:48 AM GMT+1","5","4","5","5","7","6","4","4","3","6","4","4","4","1","1","4","6","No"
"2019/09/24 12:47:12 AM GMT+1","7","4","6","5","7","7","4","3","3","6","3","3","","3","2","6","7","Yes"
"2019/09/24 12:52:28 AM GMT+1","7","6","6","6","7","6","5","6","5","7","6","6","7","3","3","6","6","Yes"
"2019/09/24 1:42:05 AM GMT+1","5","5","5","6","6","6","3","3","2","5","3","1","5","2","1","1","6","Yes"
"2019/09/24 1:54:45 AM GMT+1","5","6","5","5","7","7","5","5","5","6","4","4","6","4","3","3","7","Yes"
"2019/09/24 2:04:19 AM GMT+1","7","6","6","6","9","7","6","7","6","8","6","6","6","4","3","5","5","Yes"
"2019/09/24 2:25:32 AM GMT+1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","4","Yes"
"2019/09/24 2:46:24 AM GMT+1","7","5","5","5","7","6","5","4","3","5","5","3","6","3","3","5","8","Yes"
"2019/09/24 3:05:59 AM GMT+1","7","5","7","6","7","6","8","4","1","8","7","","","6","6","5","8","Yes"
"2019/09/24 3:26:06 AM GMT+1","5","5","4","4","6","3","1","4","1","4","3","","","2","1","4","6","Yes"
"2019/09/24 4:14:50 AM GMT+1","6","5","6","5","7","5","5","5","5","5","4","5","6","3","2","3","7","Yes"
"2019/09/24 4:32:39 AM GMT+1","10","2","1","1","6","4","4","2","2","4","1","","","8","8","1","5",""
"2019/09/24 5:05:06 AM GMT+1","6","2","3","3","4","4","3","5","4","4","3","4","3","1","1","2","5","Yes"
"2019/09/24 5:16:34 AM GMT+1","6","7","7","6","9","6","4","5","6","5","5","8","8","3","3","3","8","Yes"
"2019/09/24 6:27:13 AM GMT+1","7","6","5","6","7","6","5","7","4","6","4","5","5","4","2","3","7","Yes"
"2019/09/24 7:20:48 AM GMT+1","5","4","5","4","5","5","5","5","5","5","4","4","4","4","1","5","6","Yes"
"2019/09/24 8:05:01 AM GMT+1","5","4","5","5","6","7","4","5","4","5","5","5","6","3","2","3","6","No"
"2019/09/24 8:07:36 AM GMT+1","6","5","5","5","6","5","5","5","3","4","4","5","7","5","2","4","7","No"
"2019/09/24 8:46:01 AM GMT+1","6","5","4","5","7","5","5","4","3","5","3","4","4","2","2","2","7","Yes"
"2019/09/24 9:31:14 AM GMT+1","6","5","6","6","5","6","6","6","5","6","5","5","6","4","3","5","7","Yes"
"2019/09/24 9:56:33 AM GMT+1","6","5","6","5","7","5","4","4","4","6","3","3","6","4","1","3","5","Yes"
"2019/09/24 10:46:02 AM GMT+1","5","7","5","5","8","6","4","5","2","6","5","5","7","2","1","5","7","Yes"
"2019/09/24 12:50:58 PM GMT+1","6","4","5","5","4","5","5","5","3","5","4","5","5","4","1","3","5","Yes"
"2019/09/24 3:41:20 PM GMT+1","6","6","6","6","6","7","6","6","6","6","6","6","6","4","2","5","7",""
"2019/09/24 5:24:35 PM GMT+1","6","5","5","4","5","5","2","4","2","6","4","2","4","3","1","6","7","Yes"
"2019/09/24 5:32:49 PM GMT+1","5","5","5","5","5","5","4","3","4","5","4","4","5","3","3","5","6","Yes"
"2019/09/24 6:14:00 PM GMT+1","5","4","5","5","6","4","4","5","5","6","4","4","4","3","1","5","7","Yes"
"2019/09/24 10:30:07 PM GMT+1","6","6","4","4","6","4","3","5","5","5","3","1","1","1","1","1","5","Yes"