"Timestamp","De Gea","Shaw","Maguire","Lindelof","Wan-Bissaka","Fred","McTominay","Rashford","Pereira","Greenwood","Martial","Pogba (optional)","Lingard (optional)","Mata (optional)","Team Performance","Final Result","Ole","Newcastle","Did the ref/VAR do a good job? "
"2019/12/27 4:05:24 PM GMT+1","6","7","7","6","7","7","6","7","7","7","8","7","6","6","7","8","7","7","Yes"
"2019/12/27 4:07:24 PM GMT+1","6","7","7","7","7","6","6","7","8","9","9","7","6","7","8","8","7","3","Yes"
"2019/12/27 4:08:34 PM GMT+1","6","6","8","8","8","8","6","8","6","8","8","7","6","6","9","10","8","1","Yes"
"2019/12/27 4:08:44 PM GMT+1","6","6","6","6","9","6","6","8","7","8","9","7","6","6","8","9","8","4","Yes"
"2019/12/27 4:10:13 PM GMT+1","7","6","7","6","7","7","6","7","8","8","8","7","6","7","7","8","8","5","Yes"
"2019/12/27 4:10:33 PM GMT+1","6","6","5","5","8","7","6","7","7","8","9","7","6","6","9","9","8","3","Yes"
"2019/12/27 4:10:47 PM GMT+1","7","6","7","8","9","8","8","10","7","10","10","8","7","7","10","10","10","3","Yes"
"2019/12/27 4:12:45 PM GMT+1","8","8","7","8","9","8","9","9","7","9","9","9","4","6","8","8","8","7","Yes"
"2019/12/27 4:12:59 PM GMT+1","7","6","7","7","9","8","6","9","8","9","9","9","6","6","9","10","9","3","No"
"2019/12/27 4:13:12 PM GMT+1","6","5","6","4","8","8","8","8","6","8","10","8","3","4","8","9","8","2","No"
"2019/12/27 4:13:18 PM GMT+1","6","5","6","6","7","7","6","7","7","8","9","7","6","6","8","9","7","4","Yes"
"2019/12/27 4:14:35 PM GMT+1","6","6","6","5","7","8","6","6","6","7","9","7","4","6","8","9","8","7","Yes"
"2019/12/27 4:15:21 PM GMT+1","6","6","8","6","8","6","7","7","5","8","8","6","5","6","8","8","6","7","Yes"
"2019/12/27 4:16:04 PM GMT+1","6","6","6","7","8","9","7","8","7","9","9","8","6","8","8","8","8","2","Yes"
"2019/12/27 4:18:16 PM GMT+1","5","6","8","7","9","8","7","8","6","9","10","8","5","6","8","8","9","3",""
"2019/12/27 4:19:39 PM GMT+1","6","7","8","7","8","8","7","8","7","9","10","8","6","7","9","10","8","4","No"
"2019/12/27 4:24:57 PM GMT+1","7","7","7","7","8","8","7","8","5","8","9","8","","","8","9","8","5","No"
"2019/12/27 4:25:06 PM GMT+1","5","6","7","7","8","7","7","8","6","8","9","6","5","5","7","9","7","10","Yes"
"2019/12/27 4:26:31 PM GMT+1","7","7","8","7","8","6","6","8","7","8","9","7","6","6","8","9","6","2","No"
"2019/12/27 4:27:35 PM GMT+1","6","6","8","6","7","7","7","7","7","8","9","7","6","6","8","8","8","4","Yes"
"2019/12/27 4:27:47 PM GMT+1","6","7","8","7","10","9","8","10","7","10","10","8","1","1","8","10","10","1","No"
"2019/12/27 4:28:12 PM GMT+1","7","10","8","7","8","9","6","8","7","9","9","8","5","6","9","9","10","4","Yes"
"2019/12/27 4:28:25 PM GMT+1","5","4","6","5","6","8","6","7","6","8","9","7","","","7","8","9","8","Yes"
"2019/12/27 4:28:52 PM GMT+1","6","6","6","6","7","8","6","7","6","7","9","6","5","6","7","8","7","5","Yes"
"2019/12/27 4:29:10 PM GMT+1","6","6","7","6","7","8","4","7","6","8","9","8","6","5","7","9","8","8","Yes"
"2019/12/27 4:30:11 PM GMT+1","7","6","8","7","8","8","7","8","7","8","8","8","7","7","7","9","10","7","Yes"
"2019/12/27 4:31:05 PM GMT+1","4","5","6","4","7","6","6","7","1","8","8","6","5","5","7","9","7","2","Yes"
"2019/12/27 4:33:01 PM GMT+1","6","6","7","5","5","5","4","7","4","7","9","5","","","8","8","7","3","No"
"2019/12/27 4:34:26 PM GMT+1","6","5","6","5","7","6","5","7","5","8","9","7","4","4","8","10","6","5","Yes"
"2019/12/27 4:36:25 PM GMT+1","5","5","7","7","8","9","8","8","7","7","9","8","5","5","8","8","9","7","Yes"
"2019/12/27 4:37:02 PM GMT+1","7","8","9","8","9","10","7","9","8","10","10","9","8","8","9","9","10","5","Yes"
"2019/12/27 4:37:17 PM GMT+1","7","8","8","7","8","8","7","8","8","9","9","8","7","7","8","10","8","6","Yes"
"2019/12/27 4:37:18 PM GMT+1","7","7","6","8","9","10","5","8","7","8","10","9","5","6","9","10","8","5","No"
"2019/12/27 4:37:50 PM GMT+1","8","8","9","9","9","8","6","8","7","8","9","9","8","7","6","10","7","3","Yes"
"2019/12/27 4:38:11 PM GMT+1","5","7","7","5","8","8","5","7","7","8","9","8","6","7","8","8","9","3","Yes"
"2019/12/27 4:41:21 PM GMT+1","7","8","8","7","8","8","6","8","6","9","10","6","","","8","10","10","2","No"
"2019/12/27 4:41:51 PM GMT+1","6","7","6","6","8","7","6","7","6","7","8","7","6","","7","8","8","5","Yes"
"2019/12/27 4:42:08 PM GMT+1","5","6","6","6","7","6","6","7","7","8","9","7","5","6","7","7","6","4","Yes"
"2019/12/27 4:42:10 PM GMT+1","5","5","6","5","6","6","6","7","6","8","8","6","5","5","7","6","6","4","Yes"
"2019/12/27 4:42:55 PM GMT+1","6","7","8","6","6","8","6","7","8","8","10","7","1","7","8","10","7","5","Yes"
"2019/12/27 4:42:58 PM GMT+1","6","6","8","7","8","8","6","9","7","9","10","8","6","7","8","9","9","2","Yes"
"2019/12/27 4:45:48 PM GMT+1","6","6","7","7","8","7","7","8","8","9","9","7","6","7","8","8","8","3","Yes"
"2019/12/27 4:46:00 PM GMT+1","6","7","6","6","7","8","5","7","7","7","8","7","5","6","7","9","7","3","Yes"
"2019/12/27 4:46:53 PM GMT+1","7","7","8","7","8","7","6","7","6","7","9","8","5","6","8","9","10","2","Yes"
"2019/12/27 4:51:08 PM GMT+1","6","5","7","6","7","8","6","7","7","8","9","7","5","5","7","7","7","4","No"
"2019/12/27 4:52:05 PM GMT+1","7","7","6","7","8","9","6","7","7","8","9","8","5","5","8","10","10","5","Yes"
"2019/12/27 4:52:51 PM GMT+1","6","7","7","5","6","6","6","7","5","7","8","8","6","7","6","6","5","4","Yes"
"2019/12/27 4:54:13 PM GMT+1","5","6","6","6","8","8","4","7","6","7","8","7","5","6","7","7","6","4","Yes"
"2019/12/27 4:55:19 PM GMT+1","6","7","8","7","7","7","7","8","6","8","9","7","5","6","8","6","6","3","No"
"2019/12/27 4:56:27 PM GMT+1","5","5","7","7","8","8","6","8","7","8","8","8","1","6","9","9","9","3","Yes"
"2019/12/27 4:57:17 PM GMT+1","7","6","7","6","8","8","7","8","8","7","7","9","","","7","8","8","3","Yes"
"2019/12/27 5:03:26 PM GMT+1","6","7","8","7","7","6","5","7","8","7","8","","","","7","9","10","7","Yes"
"2019/12/27 5:06:06 PM GMT+1","6","6","4","6","7","9","5","5","4","8","10","7","","","8","8","6","3","Yes"
"2019/12/27 5:16:43 PM GMT+1","6","6","7","6","8","8","6","9","7","8","10","8","6","6","8","10","7","6","Yes"
"2019/12/27 5:20:29 PM GMT+1","4","4","8","6","8","7","5","7","8","9","8","7","6","7","8","9","8","5","No"
"2019/12/27 5:22:48 PM GMT+1","6","8","9","9","9","8","6","9","9","9","9","9","","","7","7","10","6","Yes"
"2019/12/27 5:23:23 PM GMT+1","5","6","7","5","7","6","5","7","5","6","7","7","5","5","7","7","7","3","Yes"
"2019/12/27 5:24:51 PM GMT+1","6","7","7","7","8","8","6","7","6","8","9","7","","","8","10","8","2","No"
"2019/12/27 5:27:26 PM GMT+1","6","7","8","7","8","7","7","8","8","8","9","8","6","","8","9","9","4","No"
"2019/12/27 5:31:22 PM GMT+1","6","8","7","7","7","8","7","8","9","9","9","7","3","6","8","10","7","6","Yes"
"2019/12/27 5:31:32 PM GMT+1","6","6","7","7","8","7","6","8","7","9","9","7","6","6","7","9","7","3","Yes"
"2019/12/27 5:31:34 PM GMT+1","6","6","9","8","8","7","6","5","6","8","9","7","6","6","7","8","7","1","No"
"2019/12/27 5:32:28 PM GMT+1","7","5","7","7","7","9","8","7","4","7","9","8","6","6","8","9","8","3","Yes"
"2019/12/27 5:32:40 PM GMT+1","7","6","8","7","8","7","6","8","7","8","8","8","7","7","7","8","7","6","Yes"
"2019/12/27 5:35:20 PM GMT+1","6","6","7","6","8","7","6","8","7","8","9","9","6","6","8","10","9","5","Yes"
"2019/12/27 5:35:50 PM GMT+1","8","7","9","9","9","8","7","8","7","8","9","10","7","7","9","9","8","5","Yes"
"2019/12/27 5:37:09 PM GMT+1","6","6","7","7","7","7","7","8","7","8","8","7","6","7","8","8","8","4","Yes"
"2019/12/27 5:38:22 PM GMT+1","6","5","6","5","7","7","7","8","8","9","9","10","9","9","7","8","6","5","Yes"
"2019/12/27 5:38:47 PM GMT+1","7","7","8","7","8","7","7","9","8","10","10","8","","","8","10","8","4","No"
"2019/12/27 5:41:24 PM GMT+1","6","6","7","7","8","9","5","8","7","8","9","8","5","7","7","8","8","6","Yes"
"2019/12/27 5:41:35 PM GMT+1","6","6","8","7","9","8","7","9","7","9","9","8","6","5","8","9","7","2","Yes"
"2019/12/27 5:42:28 PM GMT+1","7","8","8","8","9","8","6","9","7","9","9","8","6","6","9","9","9","6","Yes"
"2019/12/27 5:44:50 PM GMT+1","7","7","8","8","8","9","3","8","8","9","10","8","7","2","9","9","10","6","Yes"
"2019/12/27 5:46:50 PM GMT+1","5","6","6","6","7","7","6","8","7","8","8","6","5","6","7","10","6","5","Yes"
"2019/12/27 5:47:03 PM GMT+1","6","6","7","6","8","8","5","7","7","7","8","7","6","","8","8","8","3","Yes"
"2019/12/27 5:53:54 PM GMT+1","7","8","7","7","8","8","7","8","7","9","10","7","6","6","9","9","9","4","No"
"2019/12/27 5:54:05 PM GMT+1","6","6","6","5","7","8","5","7","6","7","9","8","5","6","8","9","8","3","Yes"
"2019/12/27 6:03:37 PM GMT+1","6","6","7","6","9","7","7","8","7","8","9","","","","8","10","8","3","Yes"
"2019/12/27 6:05:50 PM GMT+1","7","6","7","7","8","9","6","10","7","10","10","8","","","8","10","9","6","Yes"
"2019/12/27 6:09:08 PM GMT+1","7","8","8","8","8","9","6","8","7","8","9","8","5","7","9","8","7","2",""
"2019/12/27 6:13:14 PM GMT+1","7","5","7","7","8","9","6","8","6","8","10","9","7","7","8","9","9","3","No"
"2019/12/27 6:13:31 PM GMT+1","8","6","8","8","8","6","6","8","4","8","8","7","6","5","8","9","7","7","Yes"
"2019/12/27 6:17:44 PM GMT+1","6","7","7","7","8","8","6","7","7","8","9","7","","","9","9","8","4","Yes"
"2019/12/27 6:21:53 PM GMT+1","7","5","4","7","8","6","6","7","7","9","8","8","5","5","7","9","4","2","Yes"
"2019/12/27 6:23:50 PM GMT+1","7","6","9","7","7","8","6","8","7","8","8","7","6","6","8","9","10","3","No"
"2019/12/27 6:24:38 PM GMT+1","7","6","8","8","8","9","8","9","7","10","10","8","3","5","10","10","10","1","Yes"
"2019/12/27 6:26:21 PM GMT+1","8","6","8","8","9","8","7","8","7","9","9","8","6","7","8","9","9","4","Yes"
"2019/12/27 6:27:12 PM GMT+1","6","7","8","6","8","7","6","7","7","8","9","7","6","6","8","8","9","3","Yes"
"2019/12/27 6:29:19 PM GMT+1","6","7","8","7","9","7","5","8","8","9","10","8","6","7","7","8","7","2","Yes"
"2019/12/27 6:31:38 PM GMT+1","7","6","7","7","7","8","7","8","7","9","9","8","5","7","8","9","8","5","Yes"
"2019/12/27 6:35:19 PM GMT+1","6","4","6","6","7","7","6","8","6","8","9","8","5","6","8","9","6","3","Yes"
"2019/12/27 6:36:36 PM GMT+1","6","7","7","6","7","7","5","8","7","8","8","7","4","5","8","8","8","5","Yes"
"2019/12/27 6:36:57 PM GMT+1","5","7","8","7","8","8","8","9","8","9","9","6","6","6","9","10","9","6","Yes"
"2019/12/27 6:40:01 PM GMT+1","6","6","7","7","7","8","7","9","8","9","9","8","7","7","8","9","9","6","Yes"
"2019/12/27 6:41:31 PM GMT+1","7","6","8","7","7","7","7","8","6","7","9","8","6","6","7","8","8","5","Yes"
"2019/12/27 6:44:51 PM GMT+1","7","8","8","8","8","9","6","8","8","8","9","8","7","7","9","8","8","6","Yes"
"2019/12/27 6:46:38 PM GMT+1","6","7","8","7","7","9","6","8","7","8","10","","","","8","10","8","7",""
"2019/12/27 6:47:12 PM GMT+1","7","7","8","8","8","9","7","9","8","8","10","9","","","8","9","7","3","Yes"
"2019/12/27 6:48:33 PM GMT+1","6","7","7","7","9","9","7","9","7","9","9","8","7","7","8","10","8","4","Yes"
"2019/12/27 6:50:37 PM GMT+1","5","7","7","7","8","8","6","9","7","8","9","7","6","6","8","8","7","3","Yes"
"2019/12/27 6:50:56 PM GMT+1","6","7","9","7","7","7","7","6","6","8","7","7","","","7","9","7","3","Yes"
"2019/12/27 7:02:23 PM GMT+1","7","7","7","7","8","7","8","9","7","10","10","","","","8","9","9","4","Yes"
"2019/12/27 7:06:10 PM GMT+1","7","6","8","7","7","9","6","8","7","9","7","7","4","6","8","9","8","3","Yes"
"2019/12/27 7:06:46 PM GMT+1","8","8","9","8","9","9","8","9","9","9","10","8","7","7","9","9","9","10",""
"2019/12/27 7:06:48 PM GMT+1","7","7","6","6","7","7","6","8","7","8","9","8","6","7","8","9","8","6","Yes"
"2019/12/27 7:07:03 PM GMT+1","8","8","8","7","7","8","7","9","8","9","10","8","6","5","8","8","7","4","Yes"
"2019/12/27 7:11:13 PM GMT+1","8","7","8","7","8","7","6","9","7","9","10","9","6","6","9","9","9","1","Yes"
"2019/12/27 7:11:30 PM GMT+1","7","6","7","7","7","7","7","8","5","8","9","6","4","","7","9","6","3","No"
"2019/12/27 7:11:40 PM GMT+1","6","8","7","7","8","8","6","8","7","9","9","7","7","8","8","8","8","6","Yes"
"2019/12/27 7:13:17 PM GMT+1","7","8","8","8","9","9","8","9","9","10","10","9","","","8","9","8","9","Yes"
"2019/12/27 7:19:32 PM GMT+1","6","7","7","7","7","7","4","7","7","7","9","6","6","5","7","8","6","2","Yes"
"2019/12/27 7:22:14 PM GMT+1","6","7","7","7","8","7","7","10","8","7","9","8","7","8","9","10","9","3","Yes"
"2019/12/27 7:22:40 PM GMT+1","7","7","7","7","8","8","7","9","8","9","9","8","7","7","8","9","9","5","Yes"
"2019/12/27 7:26:45 PM GMT+1","6","5","6","5","7","8","5","7","6","8","9","7","5","5","7","8","5","4","Yes"
"2019/12/27 7:33:25 PM GMT+1","7","7","7","7","7","9","6","7","7","8","10","8","5","","7","9","7","4",""
"2019/12/27 7:36:34 PM GMT+1","4","6","6","5","5","7","3","8","7","7","9","8","3","4","7","8","5","3","Yes"
"2019/12/27 7:38:56 PM GMT+1","6","6","6","6","7","7","6","7","6","7","8","","","","8","9","8","2","Yes"
"2019/12/27 7:43:19 PM GMT+1","6","7","7","6","7","6","6","8","7","8","9","8","5","","8","9","9","7","Yes"
"2019/12/27 7:54:39 PM GMT+1","7","6","8","8","7","7","6","8","7","9","10","7","6","6","10","10","7","2","Yes"
"2019/12/27 7:56:50 PM GMT+1","6","6","7","6","8","8","5","8","7","8","9","7","","","7","8","8","3","No"
"2019/12/27 7:57:26 PM GMT+1","7","7","8","8","9","8","8","9","7","8","10","9","6","6","10","10","9","10","Yes"
"2019/12/27 7:58:21 PM GMT+1","6","7","6","7","8","8","7","9","7","8","9","","","","7","9","7","4","Yes"
"2019/12/27 8:03:03 PM GMT+1","6","6","7","7","8","8","6","8","7","8","8","7","6","6","8","8","9","6","No"
"2019/12/27 8:03:18 PM GMT+1","5","4","6","6","7","6","4","7","6","7","9","6","4","","6","8","6","3","Yes"
"2019/12/27 8:11:00 PM GMT+1","6","6","7","6","7","10","7","8","10","8","8","7","6","6","7","10","8","6","Yes"
"2019/12/27 8:14:37 PM GMT+1","6","8","7","6","7","8","7","9","7","10","10","8","","","8","10","8","4","Yes"
"2019/12/27 8:15:39 PM GMT+1","5","6","6","6","7","7","5","7","5","8","8","8","5","5","6","8","6","4","Yes"
"2019/12/27 8:29:12 PM GMT+1","6","8","8","7","9","9","8","8","7","9","10","8","8","7","9","9","9","2","Yes"
"2019/12/27 8:30:42 PM GMT+1","6","7","7","6","8","8","6","8","7","8","9","8","6","6","9","10","8","2","Yes"
"2019/12/27 8:31:31 PM GMT+1","6","7","7","6","7","7","6","7","6","7","8","7","","","9","10","8","5","Yes"
"2019/12/27 8:34:15 PM GMT+1","8","8","8","6","9","7","8","9","8","9","10","10","7","7","10","10","10","5","Yes"
"2019/12/27 8:36:06 PM GMT+1","7","6","8","7","8","7","7","8","8","8","9","7","7","6","7","9","8","1","Yes"
"2019/12/27 8:36:09 PM GMT+1","6","6","7","5","8","7","5","7","7","8","8","7","6","6","7","8","7","5","Yes"
"2019/12/27 8:36:45 PM GMT+1","8","6","7","6","8","8","8","7","4","7","8","","4","7","6","9","5","3","Yes"
"2019/12/27 8:40:08 PM GMT+1","6","7","7","7","8","8","7","8","7","8","9","9","7","7","8","8","9","4","Yes"
"2019/12/27 8:42:28 PM GMT+1","6","8","7","7","9","8","6","9","8","9","10","8","6","6","8","9","8","3","Yes"
"2019/12/27 8:48:43 PM GMT+1","4","5","6","6","6","8","6","6","6","7","9","7","5","5","4","9","8","6","Yes"
"2019/12/27 8:50:45 PM GMT+1","6","7","7","7","8","7","7","8","7","7","9","8","7","7","9","9","10","3","Yes"
"2019/12/27 8:53:56 PM GMT+1","7","5","5","5","7","6","7","7","6","8","9","8","6","4","7","9","6","2","Yes"
"2019/12/27 9:01:57 PM GMT+1","6","7","8","6","8","6","6","8","7","9","10","8","4","6","10","9","8","3","Yes"
"2019/12/27 9:12:09 PM GMT+1","8","8","9","8","9","8","9","8","7","8","8","10","","","8","9","10","8","Yes"
"2019/12/27 9:14:21 PM GMT+1","6","7","8","6","8","7","6","7","7","8","8","7","6","6","7","8","8","5","No"
"2019/12/27 9:23:11 PM GMT+1","7","8","9","7","8","8","7","9","6","9","9","9","","","9","10","8","3","Yes"
"2019/12/27 9:24:44 PM GMT+1","6","6","7","7","8","8","7","8","7","8","9","7","6","6","8","9","8","4","Yes"
"2019/12/27 9:28:22 PM GMT+1","7","6","8","7","9","9","7","9","8","8","10","7","6","","9","10","8","4","Yes"
"2019/12/27 9:33:17 PM GMT+1","6","6","7","7","6","8","6","8","6","7","8","7","","","7","8","6","3","Yes"
"2019/12/27 9:37:04 PM GMT+1","7","5","8","7","8","6","5","8","6","9","10","7","6","6","8","9","8","4","Yes"
"2019/12/27 9:41:43 PM GMT+1","8","8","9","8","8","8","8","10","8","10","10","10","7","7","9","10","10","10","Yes"
"2019/12/27 9:47:14 PM GMT+1","6","8","7","7","9","9","6","8","8","9","7","7","6","6","8","9","8","7","No"
"2019/12/27 9:49:37 PM GMT+1","7","6","7","6","8","7","6","8","7","8","9","8","6","6","8","9","8","3","Yes"
"2019/12/27 9:51:07 PM GMT+1","6","6","7","7","7","6","5","7","6","8","9","7","6","","8","8","7","4","No"
"2019/12/27 9:51:46 PM GMT+1","6","6","8","8","8","8","6","8","8","8","8","8","6","6","9","10","9","4","Yes"
"2019/12/27 9:51:48 PM GMT+1","8","8","8","8","9","8","8","9","8","10","9","8","8","8","9","9","8","3","Yes"
"2019/12/27 9:52:17 PM GMT+1","7","7","8","8","8","8","7","9","8","9","10","8","7","8","9","10","10","7","Yes"
"2019/12/27 9:52:36 PM GMT+1","9","9","10","10","10","10","9","10","10","9","10","10","9","9","10","9","9","9","No"
"2019/12/27 9:59:00 PM GMT+1","6","6","7","7","7","8","5","7","6","7","8","7","5","5","7","8","7","4","Yes"
"2019/12/27 10:02:15 PM GMT+1","7","7","9","9","9","8","8","8","7","9","10","9","4","5","9","10","9","6","Yes"
"2019/12/27 10:07:28 PM GMT+1","6","7","8","6","6","8","5","7","6","8","9","8","","","8","10","8","6","Yes"
"2019/12/27 10:11:05 PM GMT+1","6","8","7","7","8","8","6","7","8","7","8","7","5","5","7","8","7","4","No"
"2019/12/27 10:14:47 PM GMT+1","6","6","8","7","8","8","7","7","6","8","9","7","7","6","8","9","9","3","Yes"