"Timestamp","De  Gea","Shaw","Bailly","Maguire","Williams","Matic","Fred","AWB","Bruno","Martial","Dan James","Pereira (optional)","Team Performance","Final Result","Ole","Chelsea","Did the ref do a good job?","Did VAR do a good job?"
"2020/02/19 6:37:02 PM GMT+1","6","6","7","9","5","6","8","9","8","7","5","6","6","9","7","3","Yes","No"
"2020/02/19 6:37:56 PM GMT+1","8","9","9","10","8","8","10","9","10","8","8","7","10","10","10","7","Yes","Yes"
"2020/02/19 6:40:42 PM GMT+1","7","7","9","10","8","8","10","8","9","7","8","","8","10","7","5","No","No"
"2020/02/19 6:41:20 PM GMT+1","8","8","9","9","7","7","8","9","8","8","7","5","9","10","9","4","No","No"
"2020/02/19 6:41:29 PM GMT+1","8","7","9","9","6","8","9","8","8","8","6","5","7","9","8","5","Yes","Yes"
"2020/02/19 6:42:47 PM GMT+1","7","7","7","8","7","7","8","7","8","6","5","","7","9","9","4","Yes","Yes"
"2020/02/19 6:43:56 PM GMT+1","6","6","8","8","6","6","8","8","9","8","6","5","8","8","8","7","No","Yes"
"2020/02/19 6:44:17 PM GMT+1","7","7","8","9","6","5","9","8","9","7","5","","6","9","9","5","No","No"
"2020/02/19 6:45:39 PM GMT+1","6","7","8","8","5","7","8","8","8","7","5","6","5","9","8","5","Yes","No"
"2020/02/19 6:45:39 PM GMT+1","7","7","8","8","7","6","8","8","8","7","4","","7","9","7","6","No","No"
"2020/02/19 6:45:42 PM GMT+1","6","7","8","8","7","5","9","7","8","8","5","3","8","9","8","4","Yes","Yes"
"2020/02/19 6:46:50 PM GMT+1","6","7","8","9","6","6","7","7","8","6","5","","8","10","8","5","Yes","Yes"
"2020/02/19 6:47:48 PM GMT+1","7","6","6","9","8","7","7","8","8","6","6","","8","9","9","4","No","No"
"2020/02/19 6:48:00 PM GMT+1","6","7","8","8","6","6","7","5","6","8","5","5","6","9","7","6","Yes","Yes"
"2020/02/19 6:48:25 PM GMT+1","6","7","7","8","6","6","8","7","7","6","5","5","7","9","6","7","Yes","Yes"
"2020/02/19 6:48:48 PM GMT+1","6","6","8","8","6","6","9","7","8","7","5","5","7","9","8","5","No","No"
"2020/02/19 6:50:51 PM GMT+1","7","8","7","9","7","6","8","8","9","7","6","6","7","9","8","4","Yes","Yes"
"2020/02/19 6:50:52 PM GMT+1","7","7","8","8","7","7","8","8","8","8","5","","5","8","7","5","",""
"2020/02/19 6:52:07 PM GMT+1","6","7","8","9","7","7","9","9","8","8","6","6","6","9","8","3","Yes","Yes"
"2020/02/19 6:53:59 PM GMT+1","6","7","8","9","8","7","9","8","8","7","6","4","7","10","6","6","Yes","Yes"
"2020/02/19 6:54:26 PM GMT+1","7","8","9","9","8","7","8","8","8","8","6","5","8","9","9","3","Yes","Yes"
"2020/02/19 6:57:53 PM GMT+1","6","7","8","8","6","7","9","8","8","7","6","","7","9","8","3","Yes","Yes"
"2020/02/19 6:58:03 PM GMT+1","6","7","8","9","7","7","10","7","8","6","5","","6","7","6","3","Yes","Yes"
"2020/02/19 6:58:41 PM GMT+1","7","7","9","8","5","7","8","7","8","4","2","5","5","10","5","2","Yes","Yes"
"2020/02/19 6:58:49 PM GMT+1","6","7","9","8","6","6","9","8","8","7","2","","7","7","7","5","No","No"
"2020/02/19 6:58:59 PM GMT+1","8","7","9","9","7","7","10","8","9","6","7","","8","9","9","6","Yes","No"
"2020/02/19 6:59:10 PM GMT+1","7","6","8","9","7","6","9","8","8","7","5","4","8","10","9","4","Yes","Yes"
"2020/02/19 7:00:48 PM GMT+1","7","8","8","8","6","6","8","7","7","5","4","5","7","8","7","2","Yes","No"
"2020/02/19 7:02:36 PM GMT+1","7","6","10","8","6","6","8","7","7","7","6","3","10","10","8","6","Yes","Yes"
"2020/02/19 7:03:06 PM GMT+1","8","7","7","9","7","7","8","8","8","7","6","6","8","9","8","6","No","No"
"2020/02/19 7:03:35 PM GMT+1","8","7","8","9","8","7","8","8","9","8","6","6","8","10","8","8","Yes","Yes"
"2020/02/19 7:04:02 PM GMT+1","7","8","8","9","7","7","8","7","8","7","6","","8","9","10","7","Yes","No"
"2020/02/19 7:06:17 PM GMT+1","9","7","10","9","8","8","10","10","9","8","5","","8","10","8","7","No","No"
"2020/02/19 7:06:33 PM GMT+1","7","6","8","10","7","6","9","7","8","5","6","","8","10","8","3","No","No"
"2020/02/19 7:06:37 PM GMT+1","8","8","9","9","6","7","8","8","8","8","6","6","7","8","7","5","No","No"
"2020/02/19 7:06:54 PM GMT+1","7","7","8","8","6","6","8","8","8","7","6","","7","10","9","6","Yes","Yes"
"2020/02/19 7:06:57 PM GMT+1","7","7","8","9","7","6","8","7","8","7","5","","7","8","8","4","No","No"
"2020/02/19 7:08:50 PM GMT+1","6","7","8","9","7","8","9","8","8","7","6","5","8","10","10","4","Yes","Yes"
"2020/02/19 7:10:59 PM GMT+1","7","8","8","8","7","7","9","8","10","7","7","6","9","10","8","1","No","No"
"2020/02/19 7:11:30 PM GMT+1","7","7","8","8","6","7","8","8","9","7","6","","7","9","8","6","Yes","Yes"
"2020/02/19 7:11:44 PM GMT+1","7","7","8","8","7","7","10","9","8","7","7","6","8","9","8","8","No","No"
"2020/02/19 7:13:42 PM GMT+1","9","8","9","9","6","6","10","10","9","8","8","6","8","10","8","5","Yes","Yes"
"2020/02/19 7:14:54 PM GMT+1","7","8","8","8","8","6","8","7","8","7","6","","8","9","8","7","No","No"
"2020/02/19 7:15:00 PM GMT+1","7","8","9","9","7","7","8","8","9","8","6","7","9","10","8","5","Yes","No"
"2020/02/19 7:18:31 PM GMT+1","7","7","7","8","6","6","8","8","8","7","6","","7","8","8","6","No","Yes"
"2020/02/19 7:18:32 PM GMT+1","8","6","8","8","6","7","9","9","8","7","5","","7","10","9","6","Yes","No"
"2020/02/19 7:18:44 PM GMT+1","7","7","8","9","7","6","8","6","9","7","6","","7","9","9","5","Yes","No"
"2020/02/19 7:19:25 PM GMT+1","7","8","8","9","7","6","9","8","7","7","7","7","7","9","8","5","",""
"2020/02/19 7:19:36 PM GMT+1","5","7","8","8","7","7","8","7","6","6","6","","8","8","9","4","Yes","Yes"
"2020/02/19 7:19:55 PM GMT+1","7","6","8","8","7","7","9","7","9","5","5","6","7","8","7","5","Yes","No"
"2020/02/19 7:21:01 PM GMT+1","7","7","8","9","7","7","9","8","8","7","5","6","8","10","8","6","Yes","Yes"
"2020/02/19 7:21:29 PM GMT+1","7","7","8","9","7","7","9","8","8","8","7","","8","9","9","7","Yes","No"
"2020/02/19 7:21:32 PM GMT+1","8","6","7","8","5","6","8","8","8","6","6","","7","8","7","6","No","Yes"
"2020/02/19 7:21:56 PM GMT+1","7","7","9","8","7","7","10","8","8","7","6","","6","8","8","5","Yes","Yes"
"2020/02/19 7:22:32 PM GMT+1","7","7","7","8","7","7","8","7","7","7","7","6","8","9","8","6","No","Yes"
"2020/02/19 7:23:36 PM GMT+1","6","7","9","9","7","6","9","8","9","8","6","4","7","10","6","7","Yes","Yes"
"2020/02/19 7:24:02 PM GMT+1","8","8","9","9","8","7","9","9","9","8","6","","8","8","8","6","Yes","Yes"
"2020/02/19 7:24:28 PM GMT+1","7","7","8","9","8","7","8","8","8","7","6","6","8","9","8","6","No","No"
"2020/02/19 7:24:31 PM GMT+1","6","7","7","9","7","7","8","8","7","6","5","","7","10","8","7","Yes","No"
"2020/02/19 7:25:20 PM GMT+1","5","7","7","7","5","5","7","6","7","6","5","","8","9","8","4","Yes","Yes"
"2020/02/19 7:25:58 PM GMT+1","9","8","10","8","7","8","9","9","9","8","6","6","8","10","8","6","Yes","Yes"
"2020/02/19 7:26:34 PM GMT+1","7","8","9","10","7","8","9","9","9","9","6","","8","10","10","6","Yes","Yes"
"2020/02/19 7:27:48 PM GMT+1","7","6","7","8","6","5","8","7","7","6","5","5","8","10","6","4","Yes","Yes"
"2020/02/19 7:28:03 PM GMT+1","7","7","8","8","6","7","8","8","8","7","6","","7","9","8","4","Yes","Yes"
"2020/02/19 7:29:00 PM GMT+1","8","8","7","8","7","5","8","7","7","5","4","","7","8","8","5","No","Yes"
"2020/02/19 7:29:05 PM GMT+1","8","9","6","10","5","6","10","9","10","7","5","","10","10","10","5","Yes","Yes"
"2020/02/19 7:29:19 PM GMT+1","7","6","7","7","6","6","7","7","7","6","6","6","7","8","8","4","No","No"
"2020/02/19 7:30:28 PM GMT+1","7","8","8","10","8","7","9","9","9","8","7","","8","10","9","1","Yes","Yes"
"2020/02/19 7:31:22 PM GMT+1","6","7","7","9","5","7","7","8","7","7","5","5","6","9","7","6","Yes","Yes"
"2020/02/19 7:32:59 PM GMT+1","6","7","8","8","5","6","8","7","8","7","6","","6","9","6","7","Yes","No"
"2020/02/19 7:34:02 PM GMT+1","7","6","8","8","6","4","9","7","7","8","7","","7","8","7","4","Yes","No"
"2020/02/19 7:36:27 PM GMT+1","7","8","7","7","7","8","8","8","8","8","6","5","7","7","7","8","Yes","Yes"
"2020/02/19 7:36:50 PM GMT+1","6","5","8","8","6","8","6","8","8","7","5","","7","10","6","3","Yes","Yes"
"2020/02/19 7:36:50 PM GMT+1","8","9","10","9","8","6","9","8","9","7","6","1","9","10","8","2","Yes","Yes"
"2020/02/19 7:37:19 PM GMT+1","8","8","9","9","7","6","8","8","9","8","7","","8","10","9","6","Yes","Yes"
"2020/02/19 7:38:32 PM GMT+1","6","6","7","7","6","5","8","6","7","7","4","5","6","7","7","5","Yes","Yes"
"2020/02/19 7:39:47 PM GMT+1","7","7","8","9","7","7","8","8","8","7","6","6","6","8","7","7","","Yes"
"2020/02/19 7:40:10 PM GMT+1","8","7","8","8","5","7","9","8","9","7","5","","9","10","8","7","Yes","Yes"
"2020/02/19 7:40:10 PM GMT+1","7","7","8","8","7","7","7","7","8","7","6","5","7","7","8","5","Yes","No"
"2020/02/19 7:41:31 PM GMT+1","7","6","8","9","7","6","7","8","8","8","6","","7","9","7","7","No","No"
"2020/02/19 7:42:36 PM GMT+1","7","7","8","9","7","6","9","8","8","7","6","","8","10","8","5","No","No"
"2020/02/19 7:44:48 PM GMT+1","8","9","8","9","8","8","9","9","9","8","7","7","9","9","9","7","Yes","Yes"
"2020/02/19 7:46:08 PM GMT+1","6","5","8","8","5","6","7","8","8","7","5","","6","9","6","5","No","No"
"2020/02/19 7:46:57 PM GMT+1","6","7","8","9","6","5","8","6","7","7","6","6","7","9","9","7","Yes","Yes"
"2020/02/19 7:48:11 PM GMT+1","6","7","7","8","6","6","7","8","7","6","5","","7","8","7","6","Yes","Yes"
"2020/02/19 7:49:43 PM GMT+1","8","9","9","9","7","7","9","8","9","6","6","5","6","9","9","5","No","No"
"2020/02/19 7:50:26 PM GMT+1","8","8","8","9","5","7","8","8","8","7","6","","7","10","8","6","No","No"
"2020/02/19 7:51:01 PM GMT+1","7","8","9","9","5","7","9","8","8","6","5","10","8","10","10","1","No","No"
"2020/02/19 7:51:57 PM GMT+1","8","7","7","8","7","7","8","8","9","6","6","5","8","10","9","3","Yes","Yes"
"2020/02/19 7:54:53 PM GMT+1","7","7","8","8","7","7","8","9","8","8","6","5","9","10","9","5","Yes","Yes"
"2020/02/19 7:55:27 PM GMT+1","7","7","8","9","7","8","9","8","9","7","7","","8","9","7","4","Yes","Yes"
"2020/02/19 7:55:36 PM GMT+1","8","8","9","9","7","7","9","9","10","8","7","","8","9","9","6","Yes","No"
"2020/02/19 7:55:36 PM GMT+1","7","8","9","8","7","6","9","8","8","8","6","8","7","9","8","3","Yes","No"
"2020/02/19 7:56:18 PM GMT+1","7","8","9","8","8","7","8","8","8","8","7","6","7","8","8","6","Yes","Yes"
"2020/02/19 7:56:41 PM GMT+1","7","7","8","8","7","7","8","8","8","7","6","","8","9","8","3","No","No"
"2020/02/19 7:57:54 PM GMT+1","7","8","8","9","8","7","9","8","9","7","6","6","8","8","7","5","Yes","No"
"2020/02/19 8:01:12 PM GMT+1","7","7","8","8","7","8","8","9","9","7","5","","6","9","8","5","No","No"
"2020/02/19 8:02:15 PM GMT+1","7","8","8","9","7","7","9","7","8","7","6","5","8","10","9","7","Yes","Yes"
"2020/02/19 8:02:19 PM GMT+1","6","7","8","7","6","6","7","7","8","6","5","5","6","8","6","5","Yes","No"
"2020/02/19 8:02:40 PM GMT+1","8","7","9","7","7","7","9","8","9","7","7","5","7","10","8","4","Yes","Yes"
"2020/02/19 8:03:26 PM GMT+1","6","8","9","9","7","7","9","8","9","7","7","","9","10","8","6","No","No"
"2020/02/19 8:04:47 PM GMT+1","9","9","10","9","7","8","9","9","9","9","6","5","8","9","8","5","Yes","Yes"
"2020/02/19 8:04:55 PM GMT+1","7","8","8","9","7","7","9","8","9","6","6","6","8","9","8","6","No","Yes"
"2020/02/19 8:05:38 PM GMT+1","8","9","8","8","7","7","8","9","7","8","6","","7","9","9","7","Yes","No"
"2020/02/19 8:06:27 PM GMT+1","7","7","7","7","7","7","9","7","8","7","4","","8","10","8","3","No","No"
"2020/02/19 8:08:42 PM GMT+1","9","7","10","10","7","7","10","9","9","8","7","","8","10","7","6","Yes","No"
"2020/02/19 8:08:58 PM GMT+1","7","7","8","8","7","6","9","8","8","6","5","5","9","10","8","4","Yes","No"
"2020/02/19 8:09:02 PM GMT+1","8","7","7","10","6","7","8","9","9","7","6","","7","8","9","6","Yes","Yes"
"2020/02/19 8:10:41 PM GMT+1","8","8","8","9","7","7","10","7","9","8","6","6","7","10","8","5","No","No"
"2020/02/19 8:11:21 PM GMT+1","7","7","9","8","6","6","7","8","8","6","4","","6","7","7","3","No","No"
"2020/02/19 8:16:48 PM GMT+1","7","6","8","9","8","6","8","7","8","6","4","","7","10","6","6","Yes","Yes"
"2020/02/19 8:16:51 PM GMT+1","6","6","7","8","7","5","8","7","8","6","6","5","6","7","5","3","Yes","No"
"2020/02/19 8:17:25 PM GMT+1","7","7","7","8","6","7","8","8","8","7","6","","7","10","7","5","No","No"
"2020/02/19 8:18:29 PM GMT+1","7","8","7","10","7","6","9","8","9","8","6","6","8","10","9","4","Yes","Yes"
"2020/02/19 8:22:50 PM GMT+1","7","7","8","8","6","6","7","7","7","6","6","7","8","9","8","4","Yes","Yes"
"2020/02/19 8:23:39 PM GMT+1","8","7","9","9","8","8","8","9","8","8","6","","8","10","8","4","No","Yes"
"2020/02/19 8:25:31 PM GMT+1","7","7","8","8","7","7","10","8","9","8","7","7","9","10","8","6","No","No"
"2020/02/19 8:25:33 PM GMT+1","7","6","9","9","8","7","8","9","8","9","7","2","8","9","9","6","Yes","Yes"
"2020/02/19 8:30:48 PM GMT+1","7","7","9","8","6","6","8","8","8","8","3","5","7","7","6","5","Yes","No"
"2020/02/19 8:31:22 PM GMT+1","6","8","9","9","6","7","8","6","9","5","3","","7","6","7","6","No","No"
"2020/02/19 8:32:10 PM GMT+1","6","7","8","8","7","6","8","8","8","7","6","6","7","7","8","6","Yes","Yes"
"2020/02/19 8:32:44 PM GMT+1","6","7","8","9","6","6","8","7","8","7","6","","7","9","8","5","Yes","No"
"2020/02/19 8:38:23 PM GMT+1","6","8","9","9","6","7","9","9","9","8","6","4","8","10","9","5","Yes","Yes"
"2020/02/19 8:39:17 PM GMT+1","7","8","9","8","7","7","9","8","8","8","6","6","8","9","7","5","Yes","No"
"2020/02/19 8:40:21 PM GMT+1","7","6","8","8","6","6","8","8","8","6","6","1","10","10","10","4","Yes","Yes"
"2020/02/19 8:41:21 PM GMT+1","9","9","8","10","6","4","10","7","9","5","5","","7","9","8","6","Yes","Yes"
"2020/02/19 8:41:30 PM GMT+1","8","7","8","7","7","6","10","9","9","3","4","1","7","8","8","6","Yes","Yes"
"2020/02/19 8:45:16 PM GMT+1","8","9","9","7","8","7","9","9","9","7","5","","7","10","9","8","No","No"
"2020/02/19 8:46:00 PM GMT+1","8","8","9","10","8","8","9","9","10","8","7","6","10","10","10","1","No","Yes"
"2020/02/19 8:48:49 PM GMT+1","5","5","8","9","8","4","6","8","9","8","5","","6","9","9","4","Yes","Yes"
"2020/02/19 8:51:09 PM GMT+1","7","8","9","9","7","7","9","8","9","7","5","6","8","10","8","3","No","No"
"2020/02/19 8:58:00 PM GMT+1","7","7","8","8","6","7","8","8","8","7","4","","8","8","9","6","Yes","No"
"2020/02/19 8:59:39 PM GMT+1","7","8","9","9","7","8","8","8","8","8","6","6","9","10","9","4","Yes","Yes"
"2020/02/19 9:00:31 PM GMT+1","7","7","8","8","7","7","8","8","8","6","5","","7","10","8","4","No","Yes"
"2020/02/19 9:02:31 PM GMT+1","6","7","8","8","6","6","8","8","8","7","6","","7","9","9","5","Yes","Yes"
"2020/02/19 9:05:56 PM GMT+1","7","7","7","7","6","6","7","7","7","6","5","6","7","10","6","6","Yes","Yes"
"2020/02/19 9:07:39 PM GMT+1","6","8","9","9","7","7","6","8","8","7","6","","6","10","10","6","Yes","Yes"
"2020/02/19 9:08:22 PM GMT+1","6","7","9","8","6","7","8","7","9","8","6","5","7","9","7","6","No","Yes"
"2020/02/19 9:12:21 PM GMT+1","6","7","9","8","6","7","8","7","8","7","5","","8","9","9","7","No","No"
"2020/02/19 9:13:35 PM GMT+1","6","7","8","7","7","7","9","7","8","7","5","","7","10","8","4","No","No"
"2020/02/19 9:19:03 PM GMT+1","7","7","8","8","5","7","9","8","8","7","6","","7","9","8","7","Yes","Yes"
"2020/02/19 9:19:23 PM GMT+1","7","7","8","8","7","5","9","8","9","7","4","1","6","10","8","6","Yes","Yes"
"2020/02/19 9:27:30 PM GMT+1","6","7","7","8","7","7","8","7","9","7","6","4","8","8","9","7","Yes","Yes"
"2020/02/19 9:27:33 PM GMT+1","8","7","6","9","8","7","8","9","9","8","6","5","9","10","10","4","Yes","Yes"
"2020/02/19 9:31:05 PM GMT+1","6","7","8","9","7","5","7","8","9","6","4","","7","10","8","6","Yes","No"
"2020/02/19 9:32:50 PM GMT+1","7","8","8","10","6","7","8","8","8","7","5","5","6","8","6","4","No","No"
"2020/02/19 9:36:19 PM GMT+1","7","8","8","8","6","6","8","7","7","5","4","4","8","9","8","6","No","Yes"
"2020/02/19 9:37:25 PM GMT+1","7","8","8","9","6","7","8","9","9","8","6","5","8","9","7","5","Yes","No"
"2020/02/19 9:41:22 PM GMT+1","7","7","7","8","7","5","6","6","8","6","4","6","7","7","6","4","No","No"
"2020/02/19 9:42:18 PM GMT+1","6","7","8","8","6","6","8","8","8","7","6","","6","9","8","6","Yes","Yes"
"2020/02/19 9:47:41 PM GMT+1","7","7","9","8","6","6","8","8","8","7","6","","7","9","7","7","Yes","Yes"
"2020/02/19 9:47:45 PM GMT+1","7","7","8","9","7","7","9","8","9","7","6","5","8","10","7","4","Yes","Yes"
"2020/02/19 9:48:50 PM GMT+1","8","7","7","8","7","5","8","8","7","5","3","","7","9","9","4","Yes","Yes"
"2020/02/19 9:50:04 PM GMT+1","8","7","8","9","8","6","8","8","9","7","2","5","8","8","10","7","Yes","Yes"
"2020/02/19 9:50:25 PM GMT+1","6","6","7","8","7","6","8","7","7","7","5","5","8","9","8","6","No","Yes"
"2020/02/19 9:50:56 PM GMT+1","7","6","8","8","8","7","9","8","8","6","6","5","8","10","10","3","Yes","Yes"
"2020/02/19 9:56:27 PM GMT+1","6","6","8","8","7","7","9","8","8","6","6","5","7","9","7","5","No","No"
"2020/02/19 10:08:53 PM GMT+1","7","8","10","10","7","7","9","10","9","8","5","1","8","8","7","4","Yes","Yes"
