"Timestamp","David de Gea","Ashley Young","Harry Maguire","Victor Lindelof","Aaron Wan-Bissaka","Scott McTominay","Paul Pogba","Andreas Pereira","Juan Mata","Daniel James","Marcus Rashford","Jesse Lingard (sub for Pereira/optional)","Nemanja Matic (sub for Mata/optional)","Rate team performance?","Rate final result?","Ole Gunnar Soslkjaer (only this match)","Rate opponent - Southampton (only by this performance)","Were you happy with the referee? (optional)"
"2019/08/31 8:40:55 PM GMT+1","5","7","7","4","9","4","4","4","7","8","4","5","5","5","3","4","3","Yes"
"2019/08/31 8:42:26 PM GMT+1","5","3","2","2","2","2","1","2","2","6","1","1","5","1","10","1","1","Yes"
"2019/08/31 8:43:07 PM GMT+1","7","4","7","5","8","6","5","5","7","8","3","4","5","4","3","4","8","Yes"
"2019/08/31 8:43:31 PM GMT+1","6","4","5","3","6","3","3","2","3","7","1","2","1","3","2","3","5","Yes"
"2019/08/31 8:43:32 PM GMT+1","5","5","6","4","7","5","5","3","6","7","2","2","6","4","4","4","5","Yes"
"2019/08/31 8:43:58 PM GMT+1","6","6","7","5","7","5","6","3","7","8","4","4","6","6","3","5","5","Yes"
"2019/08/31 8:44:17 PM GMT+1","6","7","8","7","8","6","4","5","5","9","7","4","6","5","2","6","7","No"
"2019/08/31 8:44:41 PM GMT+1","4","5","6","4","6","6","4","1","2","7","4","1","3","3","6","2","7","Yes"
"2019/08/31 8:44:44 PM GMT+1","6","7","6","3","7","6","5","5","6","7","3","5","6","5","1","5","5",""
"2019/08/31 8:44:46 PM GMT+1","6","7","6","6","7","5","7","5","8","4","6","4","3","5","5","3","8","No"
"2019/08/31 8:44:59 PM GMT+1","6","5","6","3","7","5","3","1","7","8","2","2","7","4","2","3","5","Yes"
"2019/08/31 8:45:12 PM GMT+1","6","5","7","4","8","6","6","4","5","8","4","5","6","6","6","8","7","Yes"
"2019/08/31 8:45:45 PM GMT+1","8","6","8","7","9","6","5","3","5","9","5","3","3","6","6","7","5","Yes"
"2019/08/31 8:46:42 PM GMT+1","6","5","7","6","8","7","5","5","5","9","6","6","8","7","6","10","9","No"
"2019/08/31 8:46:46 PM GMT+1","5","2","8","6","10","7","6","4","6","8","3","1","4","5","2","7","5","Yes"
"2019/08/31 8:46:48 PM GMT+1","6","6","6","4","8","6","5","5","7","8","4","4","5","4","2","5","6","Yes"
"2019/08/31 8:48:43 PM GMT+1","6","5","5","4","7","5","5","4","7","7","3","2","3","4","3","5","4","Yes"
"2019/08/31 8:49:11 PM GMT+1","6","6","7","5","8","8","6","6","7","7","5","6","6","5","6","6","5","Yes"
"2019/08/31 8:49:18 PM GMT+1","6","7","7","5","7","5","5","4","8","8","6","6","5","5","1","2","5","Yes"
"2019/08/31 8:49:30 PM GMT+1","7","5","5","6","7","7","6","6","7","8","6","","","6","3","6","8","Yes"
"2019/08/31 8:49:39 PM GMT+1","6","7","6","4","7","6","5","5","6","9","3","3","6","7","4","6","4","Yes"
"2019/08/31 8:50:11 PM GMT+1","7","10","7","10","8","8","4","3","6","10","5","5","7","6","1","10","7","Yes"
"2019/08/31 8:50:17 PM GMT+1","6","5","6","6","9","4","6","3","5","7","4","1","1","4","1","3","6","Yes"
"2019/08/31 8:50:39 PM GMT+1","7","7","7","6","8","7","6","5","8","8","5","4","5","6","4","5","5","Yes"
"2019/08/31 8:51:51 PM GMT+1","7","6","7","5","6","7","6","4","6","8","5","4","4","6","5","5","6","Yes"
"2019/08/31 8:52:09 PM GMT+1","6","6","5","5","6","6","5","5","6","8","4","5","","5","3","4","2","Yes"
"2019/08/31 8:52:55 PM GMT+1","6","5","6","4","6","5","4","5","6","7","2","1","5","5","3","3","4","Yes"
"2019/08/31 8:53:59 PM GMT+1","6","7","7","5","7","6","4","4","6","7","3","4","4","5","2","6","6","Yes"
"2019/08/31 8:54:51 PM GMT+1","5","5","6","4","7","5","6","5","7","8","5","6","5","5","1","6","7","No"
"2019/08/31 8:55:03 PM GMT+1","6","6","6","5","7","6","5","3","4","8","5","5","4","6","1","5","1","Yes"
"2019/08/31 8:55:35 PM GMT+1","3","4","5","4","6","3","6","3","4","7","1","2","3","4","1","1","6","No"
"2019/08/31 8:55:56 PM GMT+1","4","5","4","2","6","6","4","3","4","8","2","2","2","2","1","3","4","Yes"
"2019/08/31 8:56:07 PM GMT+1","7","7","9","6","8","9","8","7","6","9","8","6","6","6","4","7","8","Yes"
"2019/08/31 8:56:40 PM GMT+1","5","5","6","4","6","4","5","5","6","7","3","3","3","4","2","4","6","Yes"
"2019/08/31 8:57:02 PM GMT+1","6","5","6","5","6","5","4","4","6","7","5","5","6","5","1","3","7",""
"2019/08/31 8:57:43 PM GMT+1","5","1","6","6","6","3","5","3","5","7","2","2","2","4","4","5","6","Yes"
"2019/08/31 8:57:47 PM GMT+1","7","6","7","5","8","6","3","4","5","8","3","3","3","5","2","5","5","Yes"
"2019/08/31 8:58:10 PM GMT+1","6","6","7","5","7","5","5","3","6","8","4","2","5","6","3","5","7","Yes"
"2019/08/31 8:58:20 PM GMT+1","5","5","6","4","7","4","6","4","6","7","4","3","5","4","4","6","6","Yes"
"2019/08/31 8:58:29 PM GMT+1","4","5","5","3","7","5","3","3","7","6","4","2","2","5","1","4","6","Yes"
"2019/08/31 8:59:46 PM GMT+1","7","7","7","5","8","6","4","6","8","8","4","6","","5","4","6","7",""
"2019/08/31 9:00:15 PM GMT+1","6","6","6","6","7","6","4","5","6","8","4","5","5","4","3","5","6","Yes"
"2019/08/31 9:00:25 PM GMT+1","6","6","6","5","6","5","4","2","6","7","4","3","5","4","3","4","6","Yes"
"2019/08/31 9:00:43 PM GMT+1","7","6","7","5","7","7","5","5","6","8","5","6","6","6","4","6","8","Yes"
"2019/08/31 9:01:15 PM GMT+1","6","6","7","5","7","5","6","2","6","8","1","2","5","5","3","1","7","Yes"
"2019/08/31 9:01:37 PM GMT+1","5","3","3","1","3","2","2","2","2","6","1","1","1","1","1","1","2","Yes"
"2019/08/31 9:01:52 PM GMT+1","6","6","5","7","7","7","6","3","6","8","2","","","4","1","3","3","Yes"
"2019/08/31 9:02:05 PM GMT+1","5","6","6","1","7","5","2","1","3","8","1","1","1","2","1","1","6","Yes"
"2019/08/31 9:03:26 PM GMT+1","6","6","7","3","6","6","4","2","7","8","2","2","4","2","1","2","6","Yes"
"2019/08/31 9:03:31 PM GMT+1","4","3","7","3","7","2","5","3","6","6","1","1","5","1","1","1","7","No"
"2019/08/31 9:04:14 PM GMT+1","6","5","6","8","8","7","1","2","6","8","1","4","4","4","4","6","7","Yes"
"2019/08/31 9:04:23 PM GMT+1","3","9","3","8","2","9","10","10","8","2","10","10","10","9","9","9","7","Yes"
"2019/08/31 9:05:39 PM GMT+1","6","6","7","5","8","7","5","4","6","9","3","4","5","5","3","4","6","Yes"
"2019/08/31 9:06:21 PM GMT+1","6","3","9","4","6","5","3","2","3","8","1","2","2","5","3","2","5","Yes"
"2019/08/31 9:06:36 PM GMT+1","8","9","9","6","8","7","4","5","5","10","4","5","4","6","4","5","7","Yes"
"2019/08/31 9:07:27 PM GMT+1","7","4","8","6","8","7","3","3","7","8","5","5","4","4","2","6","4","Yes"
"2019/08/31 9:07:49 PM GMT+1","5","5","7","4","9","6","5","4","5","9","3","2","1","4","2","5","5","No"
"2019/08/31 9:07:59 PM GMT+1","6","7","5","4","8","5","4","2","4","8","3","2","2","4","3","4","5","Yes"
"2019/08/31 9:08:32 PM GMT+1","6","6","6","4","8","7","4","6","6","9","4","5","5","5","5","4","3","Yes"
"2019/08/31 9:08:39 PM GMT+1","6","5","6","4","7","5","6","2","5","8","2","1","4","4","2","3","6","Yes"
"2019/08/31 9:09:01 PM GMT+1","6","6","7","5","9","5","3","3","5","7","4","","","4","2","4","6","Yes"
"2019/08/31 9:09:27 PM GMT+1","6","5","6","5","6","6","6","5","4","7","4","3","5","5","4","6","6","Yes"
"2019/08/31 9:09:31 PM GMT+1","5","6","6","5","8","5","6","3","6","8","4","4","3","6","3","4","8","Yes"
"2019/08/31 9:09:32 PM GMT+1","8","7","7","7","9","8","8","6","7","9","7","7","7","6","10","6","7","Yes"
"2019/08/31 9:09:43 PM GMT+1","6","5","6","5","6","4","4","4","4","7","2","4","5","3","3","3","6","No"
"2019/08/31 9:09:48 PM GMT+1","5","7","6","4","6","7","5","3","6","8","6","5","5","5","4","5","6","No"
"2019/08/31 9:10:16 PM GMT+1","7","7","7","6","7","6","4","5","6","8","3","1","5","3","1","3","6","Yes"
"2019/08/31 9:10:30 PM GMT+1","5","5","7","4","8","5","5","2","4","7","3","3","5","3","3","6","4","Yes"
"2019/08/31 9:10:45 PM GMT+1","5","5","6","3","6","5","4","1","5","9","1","3","4","4","5","6","8","Yes"
"2019/08/31 9:10:47 PM GMT+1","5","5","6","5","7","4","6","3","5","8","1","1","2","4","3","2","3","Yes"
"2019/08/31 9:10:56 PM GMT+1","5","5","6","6","7","5","4","3","6","8","3","","","6","3","7","6","Yes"
"2019/08/31 9:12:00 PM GMT+1","6","3","7","4","8","6","3","2","7","8","4","2","","4","1","2","7","Yes"
"2019/08/31 9:12:34 PM GMT+1","7","4","7","4","8","6","5","4","6","9","2","2","4","4","4","5","6","Yes"
"2019/08/31 9:12:52 PM GMT+1","5","6","6","5","6","6","4","4","7","7","4","3","6","5","1","6","7","Yes"
"2019/08/31 9:12:57 PM GMT+1","6","5","6","5","8","6","5","4","6","7","4","4","5","5","3","4","4","Yes"
"2019/08/31 9:13:08 PM GMT+1","7","7","7","5","7","6","6","6","6","8","4","4","5","6","6","5","5","Yes"
"2019/08/31 9:13:35 PM GMT+1","6","7","6","6","8","9","4","3","7","8","4","5","7","4","3","2","10","Yes"
"2019/08/31 9:14:02 PM GMT+1","6","4","6","3","6","6","5","2","3","7","4","4","3","3","1","1","5","No"
"2019/08/31 9:14:33 PM GMT+1","7","6","7","6","8","6","4","4","6","6","3","6","5","6","4","6","6","Yes"
"2019/08/31 9:14:35 PM GMT+1","5","6","6","5","6","6","4","5","6","7","3","","","4","3","5","3","Yes"
"2019/08/31 9:14:52 PM GMT+1","6","5","7","4","7","9","4","3","8","10","1","1","1","5","1","4","6","Yes"
"2019/08/31 9:15:04 PM GMT+1","6","4","5","5","7","6","5","4","5","8","5","","","6","4","5","5",""
"2019/08/31 9:15:08 PM GMT+1","6","4","6","3","5","6","1","2","6","8","2","3","3","2","1","1","5","Yes"
"2019/08/31 9:15:28 PM GMT+1","6","7","7","7","8","7","3","5","7","9","2","5","7","4","1","5","7","Yes"
"2019/08/31 9:16:15 PM GMT+1","5","5","5","4","7","5","4","3","6","7","4","2","4","4","3","6","4","Yes"
"2019/08/31 9:17:19 PM GMT+1","5","7","4","8","8","8","3","2","7","8","1","2","2","2","1","3","6","Yes"
"2019/08/31 9:17:53 PM GMT+1","5","5","6","4","9","7","6","3","5","9","4","3","3","8","3","5","7","Yes"
"2019/08/31 9:17:59 PM GMT+1","7","6","7","6","8","6","4","3","7","8","3","3","6","3","3","4","6","Yes"
"2019/08/31 9:18:57 PM GMT+1","7","5","6","5","6","5","5","4","6","7","4","5","5","4","1","7","3","No"
"2019/08/31 9:19:30 PM GMT+1","5","6","5","3","6","4","6","4","5","7","1","1","4","3","1","1","6","No"
"2019/08/31 9:20:15 PM GMT+1","6","7","7","6","7","6","5","6","6","8","5","6","6","6","4","6","6","No"
"2019/08/31 9:20:27 PM GMT+1","5","7","5","3","5","7","3","3","6","8","4","5","3","4","3","5","5","Yes"
"2019/08/31 9:20:41 PM GMT+1","5","5","6","3","6","4","5","3","6","7","3","5","5","4","4","5","7","Yes"
"2019/08/31 9:21:25 PM GMT+1","6","6","6","6","7","7","5","5","6","8","4","","","5","4","5","3","Yes"
"2019/08/31 9:22:29 PM GMT+1","7","6","6","5","7","6","6","5","6","8","5","5","5","5","5","5","5","Yes"
"2019/08/31 9:23:19 PM GMT+1","5","6","6","4","6","4","5","4","7","8","4","5","7","3","4","5","8","Yes"
"2019/08/31 9:23:20 PM GMT+1","7","6","5","3","4","5","5","2","4","7","2","3","5","3","1","4","5","Yes"
"2019/08/31 9:24:17 PM GMT+1","6","6","7","7","9","8","4","2","7","9","3","2","5","4","1","5","4","Yes"
"2019/08/31 9:25:08 PM GMT+1","4","5","8","8","7","7","4","4","6","7","3","1","5","5","1","4","3","Yes"
"2019/08/31 9:25:14 PM GMT+1","6","6","5","5","7","6","3","6","5","7","3","1","3","4","2","4","5","Yes"
"2019/08/31 9:25:16 PM GMT+1","5","5","6","4","7","5","4","4","7","8","5","5","6","6","6","6","5","Yes"
"2019/08/31 9:26:12 PM GMT+1","8","6","6","2","8","6","3","4","2","8","1","5","1","2","1","3","7","Yes"
"2019/08/31 9:26:54 PM GMT+1","8","7","6","4","8","7","6","6","7","8","5","4","5","6","4","6","7","Yes"
"2019/08/31 9:27:39 PM GMT+1","6","6","7","6","8","6","8","4","7","9","4","3","6","5","3","7","6","Yes"
"2019/08/31 9:27:46 PM GMT+1","5","4","7","3","8","6","5","4","7","9","4","4","6","6","3","3","5","Yes"
"2019/08/31 9:27:47 PM GMT+1","6","7","6","3","8","2","5","7","7","9","1","3","3","5","2","3","5","Yes"
"2019/08/31 9:28:04 PM GMT+1","6","6","6","5","7","6","6","3","7","8","2","3","5","5","3","3","6","Yes"
"2019/08/31 9:28:15 PM GMT+1","7","6","8","6","9","6","5","3","7","9","3","2","2","6","1","4","4","Yes"
"2019/08/31 9:30:27 PM GMT+1","6","7","6","6","7","7","7","6","8","9","3","4","5","5","1","3","5","Yes"
"2019/08/31 9:30:28 PM GMT+1","7","5","7","4","6","6","6","4","6","8","1","1","4","4","1","4","6","Yes"
"2019/08/31 9:31:36 PM GMT+1","7","7","6","5","7","7","5","5","6","8","1","2","4","4","1","4","6","Yes"
"2019/08/31 9:32:11 PM GMT+1","5","5","5","3","6","5","4","2","3","8","4","5","1","5","5","5","7","Yes"
"2019/08/31 9:33:37 PM GMT+1","5","4","6","4","8","6","4","4","7","9","4","4","4","6","3","6","4","Yes"
"2019/08/31 9:33:46 PM GMT+1","5","5","6","4","9","6","5","5","5","9","4","4","4","5","3","5","5","Yes"
"2019/08/31 9:34:17 PM GMT+1","7","5","6","4","5","6","4","5","5","7","5","6","6","6","3","7","8","Yes"
"2019/08/31 9:34:47 PM GMT+1","5","6","6","3","7","7","6","2","6","8","2","4","6","4","3","3","5","No"
"2019/08/31 9:35:18 PM GMT+1","7","8","8","5","9","7","8","6","8","9","5","2","5","6","5","6","7","Yes"
"2019/08/31 9:36:02 PM GMT+1","7","6","6","5","8","7","7","5","6","7","6","4","3","5","1","6","4","Yes"
"2019/08/31 9:36:25 PM GMT+1","5","6","6","4","7","6","6","4","7","7","4","4","5","5","1","1","7","Yes"
"2019/08/31 9:36:28 PM GMT+1","6","6","7","5","7","6","5","4","7","8","5","4","5","6","1","5","6","No"
"2019/08/31 9:37:06 PM GMT+1","5","7","6","6","8","6","5","3","6","9","5","5","6","7","3","6","4",""
"2019/08/31 9:37:18 PM GMT+1","7","4","7","5","8","6","4","2","4","8","3","2","1","6","4","5","8","Yes"
"2019/08/31 9:38:07 PM GMT+1","5","6","7","5","8","7","5","6","8","9","1","1","6","6","1","6","5","No"
"2019/08/31 9:40:28 PM GMT+1","7","7","7","6","6","7","5","4","6","8","5","3","3","6","4","7","8","Yes"
"2019/08/31 9:41:02 PM GMT+1","5","5","5","3","6","6","6","5","6","8","6","5","4","4","5","6","6","Yes"
"2019/08/31 9:41:04 PM GMT+1","6","6","7","5","7","7","4","2","6","7","2","2","6","5","4","5","3","Yes"
"2019/08/31 9:47:12 PM GMT+1","6","6","6","6","7","8","5","5","6","8","4","4","5","4","3","5","6","Yes"
"2019/08/31 9:50:31 PM GMT+1","5","7","7","6","8","5","7","6","4","8","6","3","5","5","3","5","8","Yes"
"2019/08/31 9:52:50 PM GMT+1","5","5","5","4","6","4","5","3","6","7","5","5","6","6","3","5","4","Yes"
"2019/08/31 9:52:57 PM GMT+1","6","5","6","4","6","4","5","4","5","7","4","4","4","5","1","2","2","Yes"
"2019/08/31 9:53:37 PM GMT+1","8","7","7","6","9","9","6","5","7","10","5","5","5","4","4","5","8","Yes"
"2019/08/31 9:55:08 PM GMT+1","7","7","7","7","6","6","4","5","8","9","3","3","4","6","4","7","6","Yes"
"2019/08/31 9:56:02 PM GMT+1","7","5","6","4","8","6","7","6","6","8","7","5","4","6","5","7","6","Yes"
"2019/08/31 9:56:37 PM GMT+1","7","6","5","4","6","5","6","4","5","7","3","3","5","4","1","4","4","Yes"
"2019/08/31 9:57:16 PM GMT+1","5","5","5","3","5","5","5","4","5","9","5","2","2","1","1","1","7","Yes"
"2019/08/31 9:57:32 PM GMT+1","6","6","7","5","7","5","3","3","6","8","4","3","6","5","10","10","1","Yes"
"2019/08/31 9:58:06 PM GMT+1","5","4","3","6","8","7","6","5","2","7","3","2","5","4","2","3","2","Yes"
"2019/08/31 9:58:34 PM GMT+1","4","5","6","5","8","5","6","2","3","7","2","3","4","4","8","5","5","No"
"2019/08/31 9:58:55 PM GMT+1","6","6","5","6","8","6","3","5","7","8","4","","","5","1","4","7","Yes"
"2019/08/31 9:59:03 PM GMT+1","6","6","4","3","6","5","2","3","3","8","4","4","3","5","3","4","7","Yes"
"2019/08/31 9:59:41 PM GMT+1","6","6","7","5","7","7","6","5","7","8","5","6","6","6","4","7","4","Yes"
"2019/08/31 10:00:28 PM GMT+1","6","5","6","5","7","6","7","4","6","7","4","","","5","3","4","6","Yes"
"2019/08/31 10:03:30 PM GMT+1","5","5","6","4","7","5","3","3","6","9","2","2","1","4","1","5","4","No"
"2019/08/31 10:04:26 PM GMT+1","6","5","7","3","8","6","6","6","6","8","4","6","6","5","2","4","6","Yes"
"2019/08/31 10:04:51 PM GMT+1","4","6","6","3","7","4","3","3","6","8","2","4","4","3","3","3","5","No"
"2019/08/31 10:06:20 PM GMT+1","8","5","6","5","8","8","6","4","6","8","3","4","5","4","3","4","7","No"
"2019/08/31 10:09:51 PM GMT+1","7","5","6","4","8","6","6","4","7","8","6","1","5","6","4","6","6","No"
"2019/08/31 10:09:52 PM GMT+1","6","5","6","4","8","5","2","2","6","8","1","2","3","2","1","3","4","Yes"
"2019/08/31 10:10:03 PM GMT+1","6","6","7","6","8","8","6","4","7","8","2","4","5","3","1","3","7","Yes"
"2019/08/31 10:11:03 PM GMT+1","6","6","6","6","7","8","8","4","6","9","3","4","5","6","2","6","5","Yes"
"2019/08/31 10:11:22 PM GMT+1","5","5","6","2","6","4","2","1","4","8","3","2","2","3","1","3","5","Yes"
"2019/08/31 10:11:37 PM GMT+1","5","6","7","3","6","5","5","1","5","8","1","3","5","5","1","6","5","Yes"
"2019/08/31 10:12:14 PM GMT+1","5","6","5","5","6","7","3","3","5","7","3","3","5","5","4","3","6","Yes"
"2019/08/31 10:12:52 PM GMT+1","5","6","6","3","7","5","3","3","4","8","3","3","4","5","3","3","2","Yes"
"2019/08/31 10:13:05 PM GMT+1","6","7","6","4","7","7","7","3","8","8","2","6","6","3","1","2","6","Yes"
"2019/08/31 10:13:40 PM GMT+1","6","6","6","5","7","5","6","3","6","8","2","2","4","4","6","4","6","Yes"
"2019/08/31 10:13:59 PM GMT+1","7","8","8","6","9","7","7","6","8","9","7","","","7","5","6","5","Yes"
"2019/08/31 10:14:20 PM GMT+1","6","5","5","4","7","5","8","4","6","8","5","3","4","4","1","4","5","Yes"
"2019/08/31 10:16:18 PM GMT+1","6","6","6","5","6","8","3","3","6","8","2","1","5","4","4","4","6","Yes"
