"Timestamp","David de Gea","Axel Tuanzebe","Harry Maguire","Victor Lindelof","Ashley Young","Scott McTominay","Paul Pogba","Daniel James","Jesse Lingard","Andreas Pereira","Marcus Rashford","Fred (Optional)","Mason Greenwood (Optional)","Rate performance","Rate final result","Rate Ole","Rate Arsenal","Were you happy with the referee? (Optional)"
"2019/10/02 1:55:14 PM GMT+1","9","7","8","8","6","8","7","6","5","5","6","6","6","6","5","6","6","No"
"2019/10/02 1:55:26 PM GMT+1","6","1","1","2","3","8","1","7","10","1","1","10","10","1","1","1","1","No"
"2019/10/02 1:55:49 PM GMT+1","1","1","1","1","1","10","1","4","10","1","1","1","1","1","1","1","1","No"
"2019/10/02 1:56:39 PM GMT+1","7","7","7","7","7","9","7","8","3","6","7","7","5","7","6","7","5","No"
"2019/10/02 1:56:40 PM GMT+1","7","6","6","5","4","7","6","6","2","4","3","5","5","6","4","3","2","No"
"2019/10/02 1:56:41 PM GMT+1","7","7","7","7","7","9","7","8","3","6","7","7","5","7","6","7","5","No"
"2019/10/02 1:57:10 PM GMT+1","7","4","5","5","5","8","5","6","2","3","2","","","4","4","3","4","Yes"
"2019/10/02 1:57:15 PM GMT+1","7","2","7","9","4","9","5","6","1","3","3","5","5","3","3","4","3","No"
"2019/10/02 1:57:30 PM GMT+1","6","4","6","6","4","7","6","7","3","6","4","4","3","5","6","6","4","No"
"2019/10/02 1:57:40 PM GMT+1","6","7","6","5","4","8","6","6","1","6","2","5","4","6","5","4","8","No"
"2019/10/02 1:57:42 PM GMT+1","6","5","6","5","5","7","7","7","1","6","1","","","2","1","1","4","No"
"2019/10/02 1:58:23 PM GMT+1","6","7","7","6","5","8","6","6","1","5","4","5","5","5","4","4","2","No"
"2019/10/02 1:58:29 PM GMT+1","8","7","7","5","5","7","7","9","3","7","3","6","6","5","4","4","3","No"
"2019/10/02 1:58:44 PM GMT+1","8","7","7","7","7","9","5","6","1","2","1","4","2","1","1","1","4","No"
"2019/10/02 1:58:56 PM GMT+1","6","6","6","6","1","8","6","7","4","2","1","","","5","5","2","3","No"
"2019/10/02 1:59:10 PM GMT+1","8","7","6","7","6","8","7","5","5","5","6","8","6","4","6","6","2","No"
"2019/10/02 2:00:20 PM GMT+1","6","5","6","3","3","7","5","5","2","2","1","5","5","3","3","2","5","No"
"2019/10/02 2:00:41 PM GMT+1","7","8","7","6","5","10","6","7","5","6","5","7","7","6","6","6","5","No"
"2019/10/02 2:01:00 PM GMT+1","5","7","6","5","4","8","5","6","1","5","1","","","5","4","1","4","No"
"2019/10/02 2:03:13 PM GMT+1","8","8","8","7","9","9","6","8","9","8","8","7","8","8","8","10","2","No"
"2019/10/02 2:03:16 PM GMT+1","7","6","6","6","4","7","4","6","4","4","4","","","4","6","5","7","No"
"2019/10/02 2:03:50 PM GMT+1","8","5","6","5","4","7","6","6","3","6","6","6","6","6","4","7","5","No"
"2019/10/02 2:04:34 PM GMT+1","7","7","7","7","6","9","7","8","5","5","6","7","6","7","7","8","7","No"
"2019/10/02 2:05:20 PM GMT+1","7","6","7","7","6","8","6","7","5","7","5","","","6","5","7","4",""
"2019/10/02 2:05:52 PM GMT+1","6","7","6","6","3","8","5","8","4","5","2","","","3","5","6","3","No"
"2019/10/02 2:06:34 PM GMT+1","6","6","6","6","4","8","6","6","2","3","3","5","5","6","6","7","5","No"
"2019/10/02 2:06:39 PM GMT+1","6","7","6","6","6","8","6","5","2","4","3","","","5","4","4","4","No"
"2019/10/02 2:07:35 PM GMT+1","8","8","6","6","4","8","8","7","3","6","6","","","5","4","8","5","No"
"2019/10/02 2:08:39 PM GMT+1","5","7","5","5","5","7","6","6","4","5","4","6","5","6","5","6","5","No"
"2019/10/02 2:08:59 PM GMT+1","7","6","6","5","6","6","4","5","1","3","1","5","3","3","1","1","3","No"
"2019/10/02 2:09:15 PM GMT+1","8","7","7","6","8","10","4","8","1","5","5","7","6","4","2","5","1","No"
"2019/10/02 2:09:29 PM GMT+1","6","5","6","4","6","8","6","6","3","4","2","6","7","4","2","3","4","Yes"
"2019/10/02 2:09:45 PM GMT+1","8","7","7","7","5","8","6","7","3","6","3","","","5","5","4","5","Yes"
"2019/10/02 2:10:01 PM GMT+1","7","8","7","7","9","9","8","9","6","8","8","9","7","6","5","4","5","No"
"2019/10/02 2:10:16 PM GMT+1","6","7","6","6","4","7","6","6","6","6","5","6","6","6","5","5","6","No"
"2019/10/02 2:10:45 PM GMT+1","6","6","5","5","4","7","6","6","4","4","4","5","4","6","4","5","5","No"
"2019/10/02 2:11:02 PM GMT+1","7","6","7","7","5","8","7","7","6","6","6","","","6","6","7","6","No"
"2019/10/02 2:11:42 PM GMT+1","6","4","6","6","5","7","5","6","5","6","6","5","5","5","5","5","5","Yes"
"2019/10/02 2:11:54 PM GMT+1","8","7","7","6","7","9","6","7","3","7","6","6","5","6","2","6","3","No"
"2019/10/02 2:11:55 PM GMT+1","6","5","6","6","6","7","5","7","4","5","5","5","5","6","5","4","6","No"
"2019/10/02 2:12:26 PM GMT+1","7","7","6","6","4","8","4","5","4","5","5","7","6","7","2","5","3","No"
"2019/10/02 2:13:49 PM GMT+1","6","6","7","7","5","8","6","6","3","4","4","5","5","6","5","5","4","No"
"2019/10/02 2:13:56 PM GMT+1","6","4","6","5","5","7","5","6","4","6","3","","","3","4","3","3","No"
"2019/10/02 2:14:15 PM GMT+1","8","7","7","8","5","8","6","7","1","2","1","5","5","3","4","3","2","No"
"2019/10/02 2:14:18 PM GMT+1","6","7","7","6","5","8","7","8","5","7","6","7","6","6","6","6","5","No"
"2019/10/02 2:14:54 PM GMT+1","8","6","7","7","7","8","3","5","4","3","4","4","4","6","6","6","4","Yes"
"2019/10/02 2:15:05 PM GMT+1","8","6","7","6","5","10","7","10","2","4","5","8","5","6","4","5","5","No"
"2019/10/02 2:16:04 PM GMT+1","6","6","6","8","5","8","6","7","5","7","5","6","5","7","5","6","4","No"
"2019/10/02 2:16:13 PM GMT+1","8","6","7","6","5","8","7","7","4","5","4","","","5","5","5","5","No"
"2019/10/02 2:16:15 PM GMT+1","8","6","7","7","7","8","7","7","3","6","3","6","6","6","4","6","4","No"
"2019/10/02 2:17:12 PM GMT+1","6","7","6","5","4","7","6","7","3","4","3","5","6","5","4","4","4","No"
"2019/10/02 2:17:26 PM GMT+1","8","5","6","6","5","8","6","7","3","6","4","5","5","6","5","5","6","No"
"2019/10/02 2:17:39 PM GMT+1","7","6","9","6","7","8","8","8","2","5","2","4","7","4","3","3","2","No"
"2019/10/02 2:18:15 PM GMT+1","7","8","8","8","7","10","8","9","5","6","7","","","4","8","7","6",""
"2019/10/02 2:18:22 PM GMT+1","4","4","5","4","2","6","4","6","1","2","2","5","4","2","2","2","4","No"
"2019/10/02 2:19:20 PM GMT+1","8","7","7","6","5","9","7","7","3","5","4","5","","7","5","6","4","No"
"2019/10/02 2:20:12 PM GMT+1","7","6","6","5","4","8","7","6","3","5","3","5","","5","4","3","3","No"
"2019/10/02 2:21:52 PM GMT+1","7","6","7","7","5","8","5","6","2","3","2","5","5","3","2","2","3","No"
"2019/10/02 2:23:21 PM GMT+1","7","6","6","6","5","7","5","7","4","5","4","5","5","6","3","4","6","No"
"2019/10/02 2:25:20 PM GMT+1","6","6","7","6","4","8","7","6","4","5","5","6","6","5","5","4","5","No"
"2019/10/02 2:25:41 PM GMT+1","7","1","5","4","3","7","4","6","3","4","4","5","","4","6","5","5","No"
"2019/10/02 2:25:42 PM GMT+1","6","4","6","6","5","7","4","5","4","4","3","5","5","5","3","4","4","No"
"2019/10/02 2:26:06 PM GMT+1","7","7","7","6","5","7","7","7","4","6","5","6","6","6","5","4","5","No"
"2019/10/02 2:28:11 PM GMT+1","8","6","8","7","4","8","6","7","3","4","5","","","5","4","2","3","No"
"2019/10/02 2:28:39 PM GMT+1","7","7","7","6","4","8","7","7","5","5","2","","","6","6","6","5","No"
"2019/10/02 2:29:19 PM GMT+1","6","6","6","6","5","7","5","4","3","4","4","5","5","6","5","6","5","No"
"2019/10/02 2:29:43 PM GMT+1","8","6","6","6","4","8","4","7","2","1","5","","","3","1","4","4","No"
"2019/10/02 2:29:48 PM GMT+1","7","7","6","6","6","8","6","8","5","6","6","6","6","6","6","6","6","No"
"2019/10/02 2:29:51 PM GMT+1","7","7","6","6","4","7","5","7","4","4","4","","","6","5","5","5","Yes"
"2019/10/02 2:30:50 PM GMT+1","6","6","7","6","2","8","8","6","4","5","5","7","6","6","6","4","4","No"
"2019/10/02 2:31:15 PM GMT+1","5","4","5","4","3","6","4","6","4","3","1","6","6","5","4","5","5","Yes"
"2019/10/02 2:31:18 PM GMT+1","8","7","7","4","3","8","7","7","3","3","4","6","6","3","2","2","6","No"
"2019/10/02 2:31:31 PM GMT+1","6","5","5","5","5","8","5","6","3","6","2","5","5","6","4","5","3","No"
"2019/10/02 2:32:04 PM GMT+1","7","8","7","6","5","7","5","6","3","6","5","4","5","5","2","5","3","No"
"2019/10/02 2:33:53 PM GMT+1","6","6","6","6","4","5","6","5","2","2","2","5","5","4","1","1","5","No"
"2019/10/02 2:36:56 PM GMT+1","7","7","7","7","2","8","6","7","5","5","6","5","5","6","5","5","1","No"
"2019/10/02 2:37:08 PM GMT+1","6","6","5","4","3","7","4","5","3","5","3","4","3","3","2","4","2","No"
"2019/10/02 2:38:36 PM GMT+1","6","7","6","6","4","7","6","8","2","6","2","6","5","4","4","4","4","No"
"2019/10/02 2:39:51 PM GMT+1","6","6","7","5","6","7","5","6","4","4","4","6","5","5","4","5","4","No"
"2019/10/02 2:42:09 PM GMT+1","4","4","6","6","4","7","6","8","1","5","1","5","5","3","5","1","6","No"
"2019/10/02 2:42:29 PM GMT+1","6","7","5","5","4","5","5","6","2","3","3","5","6","5","4","4","6","No"
"2019/10/02 2:42:35 PM GMT+1","7","7","7","6","3","8","6","7","4","6","5","6","6","7","4","6","6","No"
"2019/10/02 2:42:40 PM GMT+1","6","5","6","6","5","7","6","7","4","4","3","4","5","4","3","2","2","No"
"2019/10/02 2:43:08 PM GMT+1","8","7","8","8","6","9","7","7","7","7","7","7","","7","6","7","4","No"
"2019/10/02 2:44:14 PM GMT+1","7","6","6","5","3","7","6","7","3","5","3","4","5","5","4","5","5","No"
"2019/10/02 2:45:28 PM GMT+1","6","7","6","5","5","8","5","5","5","4","4","5","","5","3","4","3","No"
"2019/10/02 2:45:46 PM GMT+1","8","7","7","8","5","7","6","7","2","2","2","6","6","5","3","4","4","No"
"2019/10/02 2:47:08 PM GMT+1","6","3","4","5","2","5","6","5","1","4","1","6","4","2","2","1","2","Yes"
"2019/10/02 2:48:01 PM GMT+1","7","5","6","8","5","8","5","7","3","4","5","6","6","6","5","7","6","No"
"2019/10/02 2:48:17 PM GMT+1","7","6","6","6","6","7","6","6","2","3","3","7","7","6","6","5","5","No"
"2019/10/02 2:48:38 PM GMT+1","7","6","6","6","5","8","4","7","4","5","4","","","6","1","6","4","No"
"2019/10/02 2:51:35 PM GMT+1","6","2","7","4","1","8","7","7","1","6","2","","","4","3","2","5","No"
"2019/10/02 2:52:31 PM GMT+1","6","6","5","4","4","7","5","5","2","4","4","4","4","5","3","4","1","No"
"2019/10/02 2:53:43 PM GMT+1","7","7","6","6","5","7","5","7","4","5","5","","","5","5","6","5","No"
"2019/10/02 2:54:19 PM GMT+1","6","4","6","6","5","7","6","7","4","6","4","6","5","6","5","6","4","No"
"2019/10/02 2:54:56 PM GMT+1","6","6","6","5","4","7","4","6","4","6","5","6","5","6","5","5","5","No"
"2019/10/02 2:56:21 PM GMT+1","9","8","8","8","8","8","9","7","4","7","6","8","7","7","5","7","5","No"
"2019/10/02 2:56:30 PM GMT+1","6","7","7","6","5","7","6","6","5","5","5","","8","5","3","6","5","No"
"2019/10/02 2:56:34 PM GMT+1","7","7","7","7","7","8","7","8","6","5","4","6","6","4","2","5","3","No"
"2019/10/02 2:56:50 PM GMT+1","7","6","7","5","4","9","6","6","4","7","6","7","6","5","7","6","7","Yes"
"2019/10/02 2:57:30 PM GMT+1","6","6","5","5","4","6","4","6","2","3","2","5","5","5","4","5","4","No"
"2019/10/02 2:58:56 PM GMT+1","4","7","6","6","6","10","7","6","2","4","4","7","5","6","6","3","6","No"
"2019/10/02 3:00:00 PM GMT+1","7","7","6","6","4","6","4","6","2","3","4","","","3","5","4","3","No"
"2019/10/02 3:01:53 PM GMT+1","7","6","6","6","6","8","5","7","4","6","4","5","5","6","5","5","4","No"
"2019/10/02 3:03:07 PM GMT+1","6","6","6","6","3","7","5","6","1","3","1","5","5","4","5","3","2","No"
"2019/10/02 3:03:38 PM GMT+1","5","7","5","4","3","7","7","6","1","1","1","4","6","2","2","1","2","No"
"2019/10/02 3:06:20 PM GMT+1","7","6","6","5","5","8","7","7","4","5","5","6","5","5","5","5","3","No"
"2019/10/02 3:07:06 PM GMT+1","9","5","2","2","2","8","2","2","1","1","1","","","10","10","10","2",""
"2019/10/02 3:11:20 PM GMT+1","7","7","6","6","6","7","5","6","5","6","5","6","","6","5","6","4","No"
"2019/10/02 3:14:35 PM GMT+1","6","5","7","6","4","7","7","7","5","6","5","6","5","6","5","6","4","No"
"2019/10/02 3:14:45 PM GMT+1","7","6","6","6","3","7","6","6","2","3","2","7","5","5","3","3","5","No"
"2019/10/02 3:15:37 PM GMT+1","6","5","7","5","4","7","6","5","4","4","4","5","5","3","7","4","4","Yes"
"2019/10/02 3:16:40 PM GMT+1","6","8","7","6","5","8","5","6","2","5","2","5","6","4","3","5","2","No"
"2019/10/02 3:17:03 PM GMT+1","6","7","6","6","3","8","5","6","1","2","3","4","5","5","5","4","4","No"
"2019/10/02 3:17:14 PM GMT+1","7","6","6","6","5","8","6","8","3","5","5","","","5","3","5","3","Yes"
"2019/10/02 3:18:29 PM GMT+1","8","5","6","7","5","8","6","8","5","6","6","6","6","6","9","7","6","No"
"2019/10/02 3:18:46 PM GMT+1","7","8","8","8","8","8","7","8","7","7","7","7","7","7","5","10","7",""
"2019/10/02 3:19:03 PM GMT+1","6","6","6","5","3","7","6","6","3","5","4","4","4","4","5","3","4","No"
"2019/10/02 3:19:28 PM GMT+1","7","6","7","7","6","8","6","7","5","5","5","","","6","7","7","5","No"
"2019/10/02 3:20:20 PM GMT+1","6","6","6","6","6","8","6","6","1","5","3","5","5","6","6","4","5","No"
"2019/10/02 3:23:39 PM GMT+1","10","1","8","10","8","10","4","10","5","4","7","1","7","7","7","10","6","No"
"2019/10/02 3:24:22 PM GMT+1","7","5","7","5","4","7","6","6","4","5","5","6","6","6","4","5","4","No"
"2019/10/02 3:24:26 PM GMT+1","10","1","7","10","7","10","5","10","5","3","6","1","7","6","6","10","7","No"
"2019/10/02 3:24:53 PM GMT+1","8","7","6","6","5","8","5","6","2","3","3","","","4","4","4","4","No"
"2019/10/02 3:27:41 PM GMT+1","5","8","7","6","6","8","6","7","4","2","3","3","5","5","7","5","4","No"
"2019/10/02 3:28:31 PM GMT+1","7","5","6","6","3","8","5","6","1","2","2","5","5","2","1","4","4","No"
"2019/10/02 3:31:26 PM GMT+1","6","4","5","4","4","7","5","6","3","4","3","5","5","3","2","5","2","No"
"2019/10/02 3:32:15 PM GMT+1","6","6","6","5","5","7","6","7","1","2","3","4","5","5","5","5","6","No"
"2019/10/02 3:32:42 PM GMT+1","7","6","7","6","3","9","6","7","2","6","2","5","5","5","6","6","1","No"
"2019/10/02 3:33:06 PM GMT+1","9","7","7","6","5","7","7","8","4","5","4","5","6","6","5","5","4","No"
"2019/10/02 3:33:22 PM GMT+1","7","4","7","7","3","8","4","7","1","5","5","6","5","6","6","7","6","No"
"2019/10/02 3:33:46 PM GMT+1","7","4","6","5","2","8","6","6","3","3","3","5","6","5","4","5","5","No"
"2019/10/02 3:34:28 PM GMT+1","6","6","6","6","6","7","7","7","3","5","3","4","4","4","4","4","5","Yes"
"2019/10/02 3:35:27 PM GMT+1","6","7","6","6","5","6","7","7","3","6","4","6","6","5","4","6","4","No"
"2019/10/02 3:35:49 PM GMT+1","7","7","7","6","4","8","5","7","4","6","6","6","7","6","6","6","7","No"
"2019/10/02 3:36:51 PM GMT+1","5","5","6","4","5","7","5","7","4","6","3","","","4","5","4","4","No"
"2019/10/02 3:37:07 PM GMT+1","7","5","7","6","6","8","6","7","4","6","5","","","5","5","6","4","No"
"2019/10/02 3:40:00 PM GMT+1","10","9","6","4","5","9","7","8","4","5","5","5","6","5","3","4","8","Yes"
"2019/10/02 3:41:22 PM GMT+1","7","8","9","7","6","10","7","8","2","4","5","8","5","3","5","8","4","No"
"2019/10/02 3:41:37 PM GMT+1","5","4","5","5","4","7","4","7","1","6","4","5","6","4","3","5","3","No"
"2019/10/02 3:42:54 PM GMT+1","7","8","6","6","6","8","6","6","3","5","4","7","6","3","5","3","5","Yes"
"2019/10/02 3:43:30 PM GMT+1","5","4","5","5","2","7","4","5","2","2","3","5","5","3","4","2","4","No"
"2019/10/02 3:43:41 PM GMT+1","6","8","6","4","3","8","6","7","2","5","2","7","6","4","4","1","5","No"
"2019/10/02 3:44:37 PM GMT+1","7","6","8","7","5","8","6","7","3","5","4","6","6","6","6","7","5","No"
"2019/10/02 3:44:40 PM GMT+1","4","8","6","5","6","9","5","7","4","5","4","","","5","3","4","6","No"
"2019/10/02 3:47:06 PM GMT+1","9","7","6","5","3","7","7","5","2","2","2","6","5","3","1","5","4","No"
"2019/10/02 3:47:34 PM GMT+1","8","6","7","6","5","8","6","7","5","5","5","","","6","5","6","6","No"
"2019/10/02 3:47:57 PM GMT+1","6","2","6","5","2","5","3","6","1","2","1","1","5","4","3","5","3","No"
"2019/10/02 3:48:02 PM GMT+1","6","7","7","7","6","8","5","6","4","4","4","6","6","6","3","5","3","No"
"2019/10/02 3:48:45 PM GMT+1","7","7","7","7","4","7","5","6","5","5","5","","","5","5","6","6","No"
"2019/10/02 3:51:03 PM GMT+1","6","6","6","6","6","8","6","6","5","6","5","","","6","6","6","5","No"
"2019/10/02 3:51:27 PM GMT+1","6","6","5","4","4","6","5","5","1","4","2","4","","4","4","2","4","No"
"2019/10/02 3:52:06 PM GMT+1","7","8","6","5","4","8","6","7","4","6","3","6","5","4","5","4","4","No"
"2019/10/02 3:53:35 PM GMT+1","4","6","6","6","4","8","7","7","4","4","4","5","5","5","5","4","5","No"
"2019/10/02 3:54:54 PM GMT+1","6","7","7","5","5","8","7","7","3","6","4","7","6","7","6","6","6","No"
"2019/10/02 3:55:37 PM GMT+1","6","5","7","6","5","8","7","7","5","6","5","3","3","7","5","6","5","No"
"2019/10/02 3:56:36 PM GMT+1","7","8","6","6","6","8","6","7","3","5","4","5","5","6","5","5","4","No"
"2019/10/02 3:57:01 PM GMT+1","5","5","6","5","4","7","6","5","1","2","1","3","4","3","1","1","3","No"
"2019/10/02 3:58:55 PM GMT+1","8","7","6","6","2","8","3","6","5","6","4","4","6","2","7","7","1","No"
"2019/10/02 3:59:05 PM GMT+1","7","7","7","6","6","7","7","4","5","6","4","4","5","6","6","4","5","No"
"2019/10/02 3:59:44 PM GMT+1","8","7","7","7","5","9","6","7","5","6","5","7","6","8","5","8","6","No"
"2019/10/02 4:02:28 PM GMT+1","8","6","6","7","6","9","7","7","2","7","4","","","6","5","7","6","No"
"2019/10/02 4:02:41 PM GMT+1","8","7","6","5","5","8","7","8","6","7","6","6","6","6","6","6","5","No"
"2019/10/02 4:03:05 PM GMT+1","8","6","6","5","6","8","7","7","3","5","3","6","6","6","5","4","3","No"
"2019/10/02 4:04:53 PM GMT+1","8","5","8","7","4","7","5","7","1","3","3","4","","3","3","4","3","No"
"2019/10/02 4:05:05 PM GMT+1","7","4","6","6","5","8","6","7","4","5","5","6","6","5","4","5","5","No"
"2019/10/02 4:05:37 PM GMT+1","5","7","5","4","4","8","6","9","6","5","4","","","6","3","9","6","No"
"2019/10/02 4:05:50 PM GMT+1","7","6","7","6","6","9","6","7","2","5","4","","","7","3","6","2","No"
"2019/10/02 4:08:15 PM GMT+1","6","7","7","6","6","8","5","8","4","5","5","6","5","6","6","6","6","No"
"2019/10/02 4:09:29 PM GMT+1","8","7","6","5","4","8","5","6","3","5","4","7","6","5","5","4","5","No"
"2019/10/02 4:10:43 PM GMT+1","7","6","6","5","6","8","6","7","5","6","5","6","5","5","5","6","4","No"
"2019/10/02 4:12:52 PM GMT+1","8","8","7","8","4","9","8","9","4","5","5","5","6","5","4","6","2","Yes"
"2019/10/02 4:13:28 PM GMT+1","6","3","6","6","5","7","5","6","2","5","2","","7","3","3","2","3","No"
"2019/10/02 4:13:54 PM GMT+1","8","7","6","6","6","9","6","7","4","6","5","7","5","6","5","6","5","No"
"2019/10/02 4:15:09 PM GMT+1","7","7","7","7","6","9","7","6","4","6","3","7","6","5","1","1","5","No"
"2019/10/02 4:15:39 PM GMT+1","8","7","7","7","5","8","6","6","5","6","3","","","6","2","5","3","No"
"2019/10/02 4:16:47 PM GMT+1","6","5","4","4","2","7","5","7","2","5","2","5","5","2","2","2","2",""
"2019/10/02 4:17:15 PM GMT+1","7","6","5","5","5","7","4","6","3","4","3","5","","5","4","5","4","No"
"2019/10/02 4:17:56 PM GMT+1","8","5","8","6","4","9","6","6","5","7","4","","","5","4","8","4","No"
"2019/10/02 4:19:27 PM GMT+1","7","7","6","6","4","8","6","7","3","5","4","6","6","6","6","6","6","No"
"2019/10/02 4:20:14 PM GMT+1","6","6","6","6","5","8","3","6","4","7","5","","","6","5","6","6","No"
"2019/10/02 4:20:50 PM GMT+1","7","6","6","5","4","8","7","8","2","3","5","4","5","4","7","3","3","No"
"2019/10/02 4:21:25 PM GMT+1","6","5","6","4","3","6","5","7","3","3","3","","","4","4","4","2","Yes"
"2019/10/02 4:22:05 PM GMT+1","6","7","7","7","1","9","6","7","2","4","5","7","8","6","3","6","6","No"
"2019/10/02 4:23:03 PM GMT+1","8","5","7","7","6","7","6","8","3","4","5","5","4","7","6","6","7","No"
"2019/10/02 4:24:48 PM GMT+1","8","6","6","5","4","7","6","7","4","6","5","7","6","5","2","3","4","No"
"2019/10/02 4:24:54 PM GMT+1","6","8","6","4","7","8","6","6","6","6","5","","","5","4","7","5","No"
"2019/10/02 4:26:54 PM GMT+1","8","5","8","8","6","8","6","7","2","7","2","6","6","6","7","7","5","No"
"2019/10/02 4:30:03 PM GMT+1","5","6","5","5","5","8","5","5","2","6","4","5","4","7","5","4","6","No"
"2019/10/02 4:30:12 PM GMT+1","4","6","7","7","3","8","5","7","5","6","3","1","","2","2","1","1","No"
"2019/10/02 4:30:16 PM GMT+1","7","8","7","7","4","9","6","7","2","5","6","4","7","5","4","7","6","No"
"2019/10/02 4:31:23 PM GMT+1","6","6","6","6","5","7","4","6","5","6","4","5","5","5","4","7","6","No"
"2019/10/02 4:32:09 PM GMT+1","7","6","7","6","2","7","7","7","1","2","1","6","7","3","4","4","4","No"
"2019/10/02 4:35:08 PM GMT+1","7","6","7","7","3","8","7","6","3","5","4","6","7","7","5","7","4","No"
"2019/10/02 4:35:21 PM GMT+1","7","6","8","6","5","8","7","7","3","4","5","6","6","6","5","6","5","No"
"2019/10/02 4:35:32 PM GMT+1","6","5","6","6","5","8","7","7","5","6","5","","","7","1","6","5","No"
"2019/10/02 4:42:02 PM GMT+1","6","7","6","5","4","7","6","6","5","5","5","4","5","5","6","6","5","No"
"2019/10/02 4:42:43 PM GMT+1","7","7","7","9","6","9","6","7","6","6","6","6","","6","5","6","5","No"
"2019/10/02 4:43:40 PM GMT+1","7","4","6","7","5","8","5","6","4","6","4","","","6","5","5","4","No"
"2019/10/02 4:45:10 PM GMT+1","7","6","7","7","6","8","5","7","4","5","3","6","7","5","6","4","4","No"
"2019/10/02 4:45:17 PM GMT+1","5","6","5","5","3","7","6","8","4","6","5","5","5","4","5","5","4","No"
"2019/10/02 4:46:54 PM GMT+1","6","7","6","6","6","7","5","8","3","7","5","6","5","6","5","7","5","No"
"2019/10/02 4:47:16 PM GMT+1","7","6","6","6","6","8","6","7","5","5","4","5","6","5","4","4","5","No"
"2019/10/02 4:47:29 PM GMT+1","8","6","5","5","4","8","6","6","2","2","2","5","5","4","5","1","4","Yes"
"2019/10/02 4:50:32 PM GMT+1","6","6","8","6","6","8","4","6","6","6","6","2","6","6","6","8","7","No"
"2019/10/02 4:52:03 PM GMT+1","7","6","6","6","4","8","5","7","1","5","2","6","6","3","5","4","5","No"
"2019/10/02 4:52:03 PM GMT+1","7","7","6","6","5","7","7","7","4","7","4","6","5","6","7","5","5","No"
"2019/10/02 4:52:15 PM GMT+1","9","6","7","5","4","7","6","7","5","6","5","6","5","6","6","7","5","No"
"2019/10/02 4:52:17 PM GMT+1","7","7","7","5","6","8","6","7","5","5","4","4","","5","4","6","4","Yes"
"2019/10/02 4:52:19 PM GMT+1","9","6","7","5","4","7","6","7","5","6","5","6","5","6","6","7","5","No"
"2019/10/02 4:52:25 PM GMT+1","7","6","7","7","4","8","7","7","5","5","4","5","6","6","3","6","6","Yes"
