"Timestamp","David de Gea","Ashley Young","Harry Maguire","Alex Tuanzebe","Diogo Dalot","Fred","Scott McTominay","Daniel James","Juan Mata","Andreas Pereira","Marcus Rashford","Marcos Rojo (optional)","Mason Greenwood (optional)","Performance","Final Result","Ole","Opponent - Newcastle  ","Were you happy with the ref? (optional)"
"2019/10/07 3:36:34 PM GMT+1","5","5","5","5","3","1","4","4","2","2","2","2","4","1","1","1","5","Yes"
"2019/10/07 3:37:50 PM GMT+1","7","6","6","6","6","3","5","5","3","3","3","3","4","4","1","6","5","No"
"2019/10/07 3:38:46 PM GMT+1","7","1","5","5","4","1","2","3","1","1","1","1","3","1","1","1","5","No"
"2019/10/07 3:39:16 PM GMT+1","10","1","8","7","5","1","6","6","1","1","1","1","5","1","1","1","1","Yes"
"2019/10/07 3:39:27 PM GMT+1","5","5","5","5","4","3","4","3","2","1","3","3","2","2","1","2","6","Yes"
"2019/10/07 3:39:40 PM GMT+1","6","4","5","6","3","2","4","4","3","2","1","","","3","1","1","4","Yes"
"2019/10/07 3:39:42 PM GMT+1","6","4","6","7","5","5","6","6","4","3","5","6","6","3","1","4","1","Yes"
"2019/10/07 3:40:11 PM GMT+1","7","5","6","7","6","2","5","6","2","3","2","5","6","1","1","2","4","Yes"
"2019/10/07 3:40:23 PM GMT+1","7","7","6","8","5","5","6","6","3","3","6","","","4","2","7","8","No"
"2019/10/07 3:40:31 PM GMT+1","7","6","6","4","4","2","3","4","3","3","3","","4","3","3","3","3","Yes"
"2019/10/07 3:40:32 PM GMT+1","7","6","7","7","5","7","6","7","5","6","6","","","6","5","6","6","Yes"
"2019/10/07 3:40:40 PM GMT+1","7","5","7","6","5","2","5","5","4","4","8","6","6","3","2","3","7","Yes"
"2019/10/07 3:43:04 PM GMT+1","6","5","5","7","4","3","4","4","4","5","4","3","","3","3","6","5","No"
"2019/10/07 3:43:22 PM GMT+1","6","5","7","6","5","2","4","5","4","3","4","4","4","1","1","3","5","Yes"
"2019/10/07 3:43:41 PM GMT+1","5","3","6","7","5","3","5","5","4","4","4","5","5","5","3","4","6","Yes"
"2019/10/07 3:44:01 PM GMT+1","9","9","10","10","9","7","10","9","9","9","10","9","9","9","1","10","6",""
"2019/10/07 3:44:11 PM GMT+1","7","5","6","7","5","4","6","6","5","5","4","4","5","2","4","5","5","Yes"
"2019/10/07 3:44:57 PM GMT+1","7","7","8","8","5","5","6","6","5","6","5","5","5","6","1","6","6","No"
"2019/10/07 3:44:57 PM GMT+1","5","1","4","6","2","1","6","3","1","1","1","4","1","1","1","1","2","No"
"2019/10/07 3:46:50 PM GMT+1","6","5","5","8","4","5","7","6","6","7","5","5","6","3","3","3","4","No"
"2019/10/07 3:46:57 PM GMT+1","6","4","6","6","5","4","5","5","4","3","3","5","5","1","1","1","8","No"
"2019/10/07 3:47:40 PM GMT+1","4","3","4","4","3","2","3","4","1","1","1","1","2","1","1","1","3","No"
"2019/10/07 3:48:31 PM GMT+1","5","4","6","6","4","2","5","6","3","1","4","4","5","1","1","3","6","Yes"
"2019/10/07 3:48:37 PM GMT+1","4","2","7","6","1","2","6","3","2","1","3","5","2","3","5","1","7","Yes"
"2019/10/07 3:48:56 PM GMT+1","6","4","5","6","5","3","5","5","4","4","4","","","5","3","5","6","Yes"
"2019/10/07 3:50:24 PM GMT+1","5","3","6","6","4","2","5","4","2","3","3","4","4","3","1","3","5","Yes"
"2019/10/07 3:50:49 PM GMT+1","7","5","4","6","5","2","4","3","2","2","2","3","3","2","1","2","6","Yes"
"2019/10/07 3:53:04 PM GMT+1","6","5","6","6","5","3","4","5","4","3","4","5","5","4","2","2","4","Yes"
"2019/10/07 3:53:55 PM GMT+1","5","1","4","6","3","1","5","4","1","2","1","","","1","1","1","6","Yes"
"2019/10/07 3:54:53 PM GMT+1","6","7","6","5","4","3","5","7","7","3","2","","","1","1","1","3",""
"2019/10/07 3:54:56 PM GMT+1","4","3","4","3","2","1","3","3","2","1","2","2","2","1","1","1","4",""
"2019/10/07 3:55:02 PM GMT+1","7","6","6","6","5","2","6","6","2","1","3","4","5","1","1","1","2","No"
"2019/10/07 3:55:57 PM GMT+1","6","4","3","4","3","1","4","3","2","2","2","3","3","2","1","2","5","Yes"
"2019/10/07 3:57:02 PM GMT+1","4","4","4","4","4","4","5","5","4","4","4","4","5","4","1","5","6","No"
"2019/10/07 3:58:43 PM GMT+1","5","3","3","5","4","4","5","4","3","3","4","4","4","3","2","5","3","Yes"
"2019/10/07 3:59:09 PM GMT+1","7","4","6","7","3","1","4","4","2","3","3","5","4","2","1","1","6","Yes"
"2019/10/07 3:59:53 PM GMT+1","6","6","5","5","6","3","5","4","3","4","3","5","2","3","1","2","3","Yes"
"2019/10/07 3:59:59 PM GMT+1","5","2","4","4","4","1","5","5","3","4","2","4","4","1","1","1","5","Yes"
"2019/10/07 4:01:14 PM GMT+1","4","3","5","4","4","1","4","4","4","2","3","3","3","2","2","3","5","No"
"2019/10/07 4:02:19 PM GMT+1","6","6","5","8","4","2","7","6","3","3","3","4","","2","1","3","5","No"
"2019/10/07 4:02:31 PM GMT+1","6","3","5","7","5","2","4","4","3","3","3","4","5","2","1","2","6",""
"2019/10/07 4:05:35 PM GMT+1","5","5","5","5","4","2","4","5","4","3","5","4","4","2","1","4","5","Yes"
"2019/10/07 4:06:37 PM GMT+1","7","5","6","7","5","3","6","9","4","4","3","5","5","3","1","3","5","Yes"
"2019/10/07 4:06:53 PM GMT+1","8","4","5","8","6","1","4","5","5","4","1","6","5","3","3","1","7","Yes"
"2019/10/07 4:07:26 PM GMT+1","6","5","7","8","7","3","6","6","5","5","3","7","6","1","1","1","5","Yes"
"2019/10/07 4:07:33 PM GMT+1","6","6","6","6","4","3","4","4","3","3","3","5","5","3","3","3","6","Yes"
"2019/10/07 4:07:41 PM GMT+1","6","3","5","7","6","3","6","7","5","3","5","3","5","4","2","6","8","No"
"2019/10/07 4:09:11 PM GMT+1","4","1","4","6","3","1","4","3","1","1","1","3","3","2","3","1","6","Yes"
"2019/10/07 4:09:30 PM GMT+1","6","5","5","7","5","4","5","5","4","4","4","5","5","3","1","3","8","Yes"
"2019/10/07 4:10:52 PM GMT+1","6","5","5","7","6","3","5","4","4","3","6","6","5","2","2","2","5","No"
"2019/10/07 4:12:10 PM GMT+1","6","4","4","4","4","1","3","3","3","2","1","1","1","2","1","1","8","Yes"
"2019/10/07 4:12:51 PM GMT+1","5","5","6","7","5","2","5","5","3","3","3","4","4","2","1","2","3","Yes"
"2019/10/07 4:13:11 PM GMT+1","6","5","6","8","4","3","5","6","2","3","4","5","5","2","1","4","7","Yes"
"2019/10/07 4:13:15 PM GMT+1","5","1","5","4","3","1","5","5","1","1","1","1","2","1","1","1","5","No"
"2019/10/07 4:13:45 PM GMT+1","6","9","8","7","6","1","4","5","1","1","4","4","4","1","1","3","3","Yes"
"2019/10/07 4:14:13 PM GMT+1","6","3","6","5","3","2","5","3","3","3","3","3","","3","1","3","6","Yes"
"2019/10/07 4:16:30 PM GMT+1","5","4","4","4","3","1","4","4","2","2","2","3","3","1","1","1","4","No"
"2019/10/07 4:16:35 PM GMT+1","5","5","6","6","7","4","5","6","4","5","5","4","5","3","1","6","7","Yes"
"2019/10/07 4:16:53 PM GMT+1","6","5","6","7","4","3","5","6","3","4","3","5","4","2","2","4","7","Yes"
"2019/10/07 4:16:56 PM GMT+1","10","2","2","2","2","2","2","2","2","2","2","","","10","10","10","2",""
"2019/10/07 4:17:22 PM GMT+1","7","5","6","6","6","3","6","5","5","4","3","","","4","2","3","5","Yes"
"2019/10/07 4:17:25 PM GMT+1","10","10","1","1","1","1","10","1","10","10","1","10","1","8","1","1","10","Yes"
"2019/10/07 4:17:28 PM GMT+1","6","2","1","5","5","1","4","3","2","5","2","3","3","1","1","1","2","Yes"
"2019/10/07 4:17:38 PM GMT+1","5","3","5","6","3","2","5","4","2","3","2","2","3","2","1","3","6","No"
"2019/10/07 4:17:47 PM GMT+1","4","1","4","8","4","2","4","4","3","1","1","3","3","1","1","1","5","Yes"
"2019/10/07 4:18:02 PM GMT+1","6","5","5","7","5","3","3","4","3","4","2","","","1","10","1","7",""
"2019/10/07 4:18:48 PM GMT+1","8","5","8","8","6","4","7","7","5","3","3","6","5","6","3","4","7","No"
"2019/10/07 4:19:17 PM GMT+1","7","4","6","7","4","2","5","5","4","3","4","","","1","1","4","8","No"
"2019/10/07 4:19:42 PM GMT+1","5","3","5","6","5","2","4","4","3","3","2","4","5","1","1","2","4","Yes"
"2019/10/07 4:20:18 PM GMT+1","6","6","6","8","6","4","5","5","4","3","3","4","4","3","2","2","4","Yes"
"2019/10/07 4:20:19 PM GMT+1","8","4","7","7","5","1","7","7","5","5","7","6","5","2","1","1","5","Yes"
"2019/10/07 4:20:24 PM GMT+1","5","1","3","7","3","1","3","5","1","1","1","3","3","1","1","1","4","Yes"
"2019/10/07 4:22:26 PM GMT+1","5","1","4","6","2","1","3","3","2","1","2","3","2","1","1","2","7","Yes"
"2019/10/07 4:23:33 PM GMT+1","7","3","4","6","5","3","5","5","4","4","4","3","4","4","1","3","6","Yes"
"2019/10/07 4:23:34 PM GMT+1","7","5","6","7","6","1","5","7","3","7","6","6","6","1","1","1","7","Yes"
"2019/10/07 4:23:56 PM GMT+1","6","3","6","6","4","3","5","6","3","3","4","","","3","1","3","8","Yes"
"2019/10/07 4:24:28 PM GMT+1","7","5","7","7","5","2","5","6","4","4","4","","","3","1","2","7","Yes"
"2019/10/07 4:24:42 PM GMT+1","4","1","5","8","6","1","4","5","1","3","4","4","5","2","1","1","6","Yes"
"2019/10/07 4:24:47 PM GMT+1","7","5","6","6","5","5","6","6","5","5","5","5","5","5","4","4","7","Yes"
"2019/10/07 4:25:35 PM GMT+1","5","4","7","9","7","4","6","6","4","6","5","5","4","1","1","1","5","Yes"
"2019/10/07 4:26:04 PM GMT+1","6","5","4","6","5","3","4","4","3","6","2","","","2","1","2","4","No"
"2019/10/07 4:26:16 PM GMT+1","4","4","4","4","2","1","4","4","2","2","1","2","2","2","2","1","6","Yes"
"2019/10/07 4:27:57 PM GMT+1","4","3","4","5","3","1","6","4","2","1","2","2","","2","1","2","7","Yes"
"2019/10/07 4:30:47 PM GMT+1","7","5","9","4","3","1","9","3","2","2","1","1","2","1","1","1","7","Yes"
"2019/10/07 4:32:00 PM GMT+1","7","7","7","7","5","3","5","6","5","5","5","6","5","4","1","6","4","Yes"
"2019/10/07 4:32:02 PM GMT+1","4","4","5","5","4","2","5","4","3","3","2","","","2","1","2","5","Yes"
"2019/10/07 4:32:20 PM GMT+1","7","2","7","7","5","3","6","6","5","5","4","6","5","3","1","5","7","Yes"
"2019/10/07 4:32:43 PM GMT+1","5","5","6","6","5","3","4","5","4","4","4","","","3","3","4","6","Yes"
"2019/10/07 4:33:10 PM GMT+1","7","4","8","7","6","2","7","7","3","2","2","4","4","4","1","3","4","No"
"2019/10/07 4:33:11 PM GMT+1","2","1","2","1","3","1","4","2","2","2","2","1","1","1","1","1","2","No"
"2019/10/07 4:33:52 PM GMT+1","6","4","6","7","5","1","5","6","2","3","2","5","6","3","3","4","5","No"
"2019/10/07 4:34:53 PM GMT+1","6","5","6","7","5","3","4","4","3","3","3","4","4","4","5","6","7","Yes"
"2019/10/07 4:35:00 PM GMT+1","6","3","5","7","4","1","4","4","3","4","1","2","2","1","1","2","5","No"
"2019/10/07 4:36:45 PM GMT+1","6","2","5","5","2","1","5","4","2","2","2","2","2","2","1","2","5","Yes"
"2019/10/07 4:37:16 PM GMT+1","4","2","4","5","3","2","5","4","1","1","2","","","2","1","3","4","No"
"2019/10/07 4:38:08 PM GMT+1","7","5","5","6","3","1","6","4","2","1","1","","","2","2","4","3","No"
"2019/10/07 4:38:11 PM GMT+1","8","7","7","7","5","4","7","6","5","4","4","7","","3","1","3","6","Yes"
"2019/10/07 4:39:05 PM GMT+1","7","8","7","6","5","3","5","6","2","3","1","4","4","1","1","2","4","Yes"
"2019/10/07 4:42:56 PM GMT+1","6","6","6","6","5","3","3","5","3","3","2","5","5","1","1","5","6","No"
"2019/10/07 4:43:07 PM GMT+1","5","2","4","5","4","1","4","4","3","2","2","4","4","1","1","1","5","Yes"
"2019/10/07 4:44:07 PM GMT+1","5","3","4","6","4","4","4","4","3","3","4","3","4","4","3","3","6","Yes"
"2019/10/07 4:44:19 PM GMT+1","5","5","6","6","5","3","4","5","4","2","2","","3","1","1","3","7","Yes"
"2019/10/07 4:44:47 PM GMT+1","6","4","6","6","4","3","4","5","3","3","3","3","5","3","1","6","8","Yes"
"2019/10/07 4:48:23 PM GMT+1","4","4","3","6","3","2","4","3","3","4","2","3","2","1","1","2","6","No"
"2019/10/07 4:49:00 PM GMT+1","5","6","6","6","5","2","4","5","4","4","4","4","5","2","3","2","6","Yes"
"2019/10/07 4:51:58 PM GMT+1","5","4","5","7","4","1","5","4","2","3","3","5","3","3","4","3","8","Yes"
"2019/10/07 4:53:26 PM GMT+1","7","4","6","4","3","2","3","4","3","4","1","3","4","1","2","1","5","Yes"
"2019/10/07 4:53:36 PM GMT+1","4","4","2","8","2","1","4","3","1","2","2","3","3","1","2","1","3","Yes"
"2019/10/07 4:53:37 PM GMT+1","5","4","6","6","3","1","4","4","4","3","1","","","3","1","1","8","Yes"
"2019/10/07 4:53:55 PM GMT+1","5","4","6","7","5","4","6","5","4","4","4","4","5","3","1","4","5","Yes"
"2019/10/07 4:55:14 PM GMT+1","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","1","Yes"
"2019/10/07 4:56:45 PM GMT+1","7","5","9","7","5","7","3","5","3","4","4","5","5","3","1","5","5","Yes"
"2019/10/07 4:56:56 PM GMT+1","5","5","5","6","4","3","4","4","4","3","5","","","4","1","1","6","No"
"2019/10/07 4:57:39 PM GMT+1","7","7","6","7","3","2","5","4","2","6","5","7","3","1","1","4","6","Yes"
"2019/10/07 4:57:54 PM GMT+1","8","5","7","8","3","6","6","6","1","1","1","4","6","1","1","1","4","No"
"2019/10/07 4:58:21 PM GMT+1","4","3","2","5","3","2","3","3","3","2","1","","","2","2","1","6","Yes"
"2019/10/07 4:58:45 PM GMT+1","5","4","5","6","4","3","3","5","2","3","2","5","4","1","1","1","2","Yes"
"2019/10/07 4:58:49 PM GMT+1","6","4","5","5","5","1","4","4","2","3","1","5","5","1","1","1","5","Yes"
"2019/10/07 4:59:52 PM GMT+1","9","8","8","9","6","2","4","6","4","5","5","5","4","3","1","8","7","Yes"
"2019/10/07 5:02:01 PM GMT+1","5","3","6","6","4","2","4","5","2","3","3","5","4","3","3","3","5","Yes"
"2019/10/07 5:05:23 PM GMT+1","6","3","4","5","5","1","3","4","3","4","4","","","1","1","2","4","Yes"
"2019/10/07 5:06:19 PM GMT+1","6","3","5","6","4","1","5","6","1","2","2","","","1","1","1","6",""
"2019/10/07 5:06:42 PM GMT+1","6","4","6","6","4","3","4","3","3","3","3","","","3","4","2","4","Yes"
"2019/10/07 5:10:21 PM GMT+1","6","6","5","6","5","4","4","4","2","2","3","","","1","1","1","6","Yes"
"2019/10/07 5:12:22 PM GMT+1","8","10","10","1","7","4","10","10","2","3","8","9","7","4","1","10","6","No"
"2019/10/07 5:12:29 PM GMT+1","5","4","4","6","3","1","5","5","1","3","1","3","3","1","1","4","3","No"
"2019/10/07 5:14:25 PM GMT+1","5","1","5","1","1","1","5","5","1","1","1","1","1","1","1","1","5","Yes"
"2019/10/07 5:19:40 PM GMT+1","8","3","6","4","4","3","5","6","3","4","3","","","1","1","3","5","Yes"
"2019/10/07 5:19:46 PM GMT+1","6","3","4","4","2","1","4","3","1","1","1","3","1","1","1","1","6","Yes"
"2019/10/07 5:20:59 PM GMT+1","2","4","4","5","2","1","4","4","2","2","2","","","1","1","1","4",""
"2019/10/07 5:23:42 PM GMT+1","5","5","6","7","4","2","3","3","2","3","2","3","3","2","2","1","7","No"
"2019/10/07 5:25:16 PM GMT+1","5","5","5","7","4","1","2","4","2","2","1","5","5","1","1","1","4","Yes"
"2019/10/07 5:26:42 PM GMT+1","6","4","5","5","4","1","6","7","5","6","4","3","3","2","2","1","7","Yes"
"2019/10/07 5:27:23 PM GMT+1","5","4","5","8","4","2","3","4","2","3","3","4","4","2","1","2","6","Yes"
"2019/10/07 5:28:43 PM GMT+1","6","5","4","6","2","1","4","5","2","1","2","3","5","1","1","1","4","No"
"2019/10/07 5:29:10 PM GMT+1","7","6","7","7","5","2","4","6","2","3","3","","","4","1","3","3",""
"2019/10/07 5:31:20 PM GMT+1","6","3","7","9","6","1","8","6","1","1","2","4","6","2","1","1","5","Yes"
"2019/10/07 5:32:47 PM GMT+1","6","6","7","6","6","3","3","4","3","3","4","","","2","5","4","7","Yes"
"2019/10/07 5:33:51 PM GMT+1","7","5","6","7","5","5","5","5","5","5","5","5","5","3","1","4","6","No"
"2019/10/07 5:34:20 PM GMT+1","6","5","6","6","5","3","6","7","5","4","3","","","3","5","3","6",""
"2019/10/07 5:35:12 PM GMT+1","4","5","6","5","3","1","4","5","2","4","3","5","4","1","1","2","3","Yes"
"2019/10/07 5:35:48 PM GMT+1","6","2","5","6","4","2","4","4","3","2","2","5","5","3","1","2","5","No"
"2019/10/07 5:37:56 PM GMT+1","5","5","5","5","6","4","4","3","2","2","2","","","3","3","3","6",""
"2019/10/07 5:42:00 PM GMT+1","6","5","6","7","5","4","5","6","5","5","4","5","","2","1","4","7",""
"2019/10/07 5:43:04 PM GMT+1","7","6","7","8","5","3","5","5","3","2","4","","","3","2","4","8","Yes"
