"Timestamp","David de Gea","Ashley Young","Harry Maguire","Alex Tuanzebe","Diogo Dalot","Fred","Scott McTominay","Daniel James","Juan Mata","Andreas Pereira","Marcus Rashford","Marcos Rojo (optional)","Mason Greenwood (optional)","Performance","Final Result","Ole","Opponent - Newcastle  ","Were you happy with the ref? (optional)"
"2019/10/07 5:43:20 PM GMT+1","5","5","4","5","4","3","5","4","4","3","2","4","4","5","2","4","6",""
"2019/10/07 5:46:40 PM GMT+1","5","5","2","5","3","3","4","5","3","4","2","5","5","1","1","2","9","No"
"2019/10/07 5:46:53 PM GMT+1","5","3","5","6","3","1","4","4","1","2","2","","","3","1","4","4","Yes"
"2019/10/07 5:47:27 PM GMT+1","5","5","5","5","5","4","5","5","4","4","4","5","5","4","3","4","6","Yes"
"2019/10/07 5:50:12 PM GMT+1","6","3","6","7","5","3","6","4","4","4","5","5","6","2","2","3","5","Yes"
"2019/10/07 5:50:21 PM GMT+1","4","5","6","6","5","2","4","4","3","3","2","2","2","1","1","4","10","Yes"
"2019/10/07 5:50:23 PM GMT+1","6","3","5","4","3","1","1","1","1","1","1","1","1","1","1","1","7","Yes"
"2019/10/07 5:51:16 PM GMT+1","5","4","5","6","4","3","5","5","4","3","4","4","4","2","5","2","2","Yes"
"2019/10/07 5:52:05 PM GMT+1","2","3","2","5","2","3","4","3","2","2","2","","","2","1","3","6","Yes"
"2019/10/07 5:53:25 PM GMT+1","6","2","4","7","3","1","4","6","1","1","2","3","6","1","1","1","4","Yes"
"2019/10/07 5:54:09 PM GMT+1","5","2","3","4","2","1","2","4","2","1","1","3","3","2","1","1","5","Yes"
"2019/10/07 5:56:21 PM GMT+1","6","2","6","6","5","1","6","6","2","4","2","","","1","1","3","5","Yes"
"2019/10/07 5:57:34 PM GMT+1","6","2","4","5","4","1","3","5","2","1","1","3","5","1","1","1","8","Yes"
"2019/10/07 5:58:55 PM GMT+1","5","3","3","4","4","2","4","4","5","3","3","4","4","3","3","3","6",""
"2019/10/07 5:59:31 PM GMT+1","5","4","6","7","3","1","5","4","3","2","3","3","","3","2","3","5","Yes"
"2019/10/07 6:05:13 PM GMT+1","6","3","5","6","3","2","3","4","2","2","1","5","5","1","1","2","5","Yes"
"2019/10/07 6:06:32 PM GMT+1","6","2","7","7","5","2","7","6","4","5","1","6","5","1","1","3","6","Yes"
"2019/10/07 6:07:37 PM GMT+1","6","3","5","6","4","2","5","4","2","3","2","4","3","3","1","2","7","Yes"
"2019/10/07 6:08:51 PM GMT+1","5","3","4","4","3","1","3","4","4","2","2","1","3","2","1","1","6","Yes"
"2019/10/07 6:09:51 PM GMT+1","4","4","5","5","5","1","2","3","1","1","1","3","1","1","1","1","2","No"
"2019/10/07 6:10:25 PM GMT+1","5","5","4","4","5","2","4","5","3","1","2","2","","1","1","3","6","Yes"
"2019/10/07 6:11:42 PM GMT+1","5","5","6","6","4","3","6","5","4","5","5","5","5","4","2","3","5","Yes"
"2019/10/07 6:13:16 PM GMT+1","6","4","5","6","4","2","6","5","2","3","3","2","2","1","1","1","2","Yes"
"2019/10/07 6:17:21 PM GMT+1","6","5","6","6","4","2","4","5","5","4","4","4","5","1","1","1","6","No"
"2019/10/07 6:17:51 PM GMT+1","7","5","5","6","2","1","5","4","1","1","1","","","1","1","1","9","Yes"
"2019/10/07 6:18:12 PM GMT+1","4","1","1","4","2","1","4","4","1","1","1","","","1","1","1","7","Yes"
"2019/10/07 6:20:12 PM GMT+1","6","5","7","7","5","2","4","5","1","2","2","4","","1","2","4","8","No"
"2019/10/07 6:22:18 PM GMT+1","3","3","4","4","3","1","3","4","3","3","1","3","3","1","2","1","4","Yes"
"2019/10/07 6:23:39 PM GMT+1","6","2","4","3","8","9","4","3","8","6","9","7","3","3","2","9","9","Yes"
"2019/10/07 6:24:56 PM GMT+1","9","1","3","5","2","2","4","2","2","1","3","","","1","1","1","10",""
"2019/10/07 6:27:46 PM GMT+1","5","2","4","5","2","1","2","4","2","2","1","","","1","1","1","8","Yes"
"2019/10/07 6:27:46 PM GMT+1","7","2","4","4","4","1","5","6","2","2","2","","","1","1","2","7",""
"2019/10/07 6:29:10 PM GMT+1","6","6","6","7","6","4","6","6","5","4","5","5","6","3","1","4","5","Yes"
"2019/10/07 6:33:40 PM GMT+1","6","5","5","6","4","3","3","4","4","5","2","5","4","1","1","1","6","Yes"
"2019/10/07 6:34:18 PM GMT+1","5","4","4","4","4","1","3","3","2","1","2","4","4","2","1","2","6","Yes"
"2019/10/07 6:37:21 PM GMT+1","6","5","5","5","5","2","4","4","2","2","2","4","","3","2","2","5","No"
"2019/10/07 6:38:52 PM GMT+1","7","5","7","6","5","4","6","7","5","5","5","6","6","4","4","5","5","Yes"
"2019/10/07 6:42:53 PM GMT+1","5","4","4","7","4","1","3","4","1","2","2","2","5","1","1","1","6","Yes"
"2019/10/07 6:43:26 PM GMT+1","4","7","6","6","5","4","6","5","5","5","5","6","6","2","1","1","8","Yes"
"2019/10/07 6:52:53 PM GMT+1","4","3","4","5","3","2","6","4","3","2","3","","","4","2","3","7","Yes"
"2019/10/07 6:53:28 PM GMT+1","5","4","5","5","4","4","6","5","4","2","2","4","3","2","2","4","5","Yes"
"2019/10/07 7:00:22 PM GMT+1","4","2","8","6","2","1","5","4","3","2","2","6","4","2","1","2","4","No"
"2019/10/07 7:00:31 PM GMT+1","6","6","6","6","6","5","5","5","5","6","5","6","6","4","2","5","5","Yes"
"2019/10/07 7:02:12 PM GMT+1","5","5","5","7","3","1","3","3","2","2","2","4","4","1","2","2","4","Yes"
"2019/10/07 7:04:04 PM GMT+1","5","5","6","5","3","1","4","4","2","1","1","3","5","4","1","1","7","No"
"2019/10/07 7:16:07 PM GMT+1","6","4","4","5","5","2","4","5","3","2","3","4","3","4","1","3","6","No"
"2019/10/07 7:22:57 PM GMT+1","6","7","5","6","5","5","6","6","4","4","3","5","4","3","2","3","6",""
"2019/10/07 7:28:35 PM GMT+1","5","5","7","6","5","3","5","5","4","3","4","4","4","3","1","3","7","Yes"
"2019/10/07 7:37:10 PM GMT+1","7","4","6","6","4","1","4","5","4","3","3","4","4","2","1","3","5","No"
"2019/10/07 7:37:12 PM GMT+1","6","4","6","6","5","2","3","5","3","2","3","2","4","2","1","6","1","No"
"2019/10/07 7:39:43 PM GMT+1","5","3","5","5","4","1","4","3","2","2","2","2","3","3","1","1","7","Yes"
"2019/10/07 7:46:43 PM GMT+1","5","5","4","5","5","4","5","5","4","4","3","5","5","3","4","3","5","No"
"2019/10/07 7:51:56 PM GMT+1","4","6","4","5","3","1","6","4","3","2","2","4","3","3","1","1","7","Yes"
"2019/10/07 7:54:09 PM GMT+1","7","5","5","6","5","5","4","5","3","4","4","5","5","2","1","3","5","Yes"
"2019/10/07 7:56:04 PM GMT+1","4","6","7","5","3","2","4","5","3","5","1","","","1","1","2","7","Yes"
"2019/10/07 7:59:44 PM GMT+1","7","4","8","7","5","2","6","6","4","5","5","6","5","4","2","2","5","Yes"
"2019/10/07 8:00:14 PM GMT+1","3","3","4","4","3","1","3","4","3","2","2","4","3","2","2","1","7","Yes"
"2019/10/07 8:04:52 PM GMT+1","6","4","4","7","4","4","5","5","2","3","2","5","3","2","1","3","3","Yes"
"2019/10/07 8:06:45 PM GMT+1","5","2","4","6","2","2","4","4","2","2","3","4","4","1","2","1","7","Yes"
"2019/10/07 8:10:47 PM GMT+1","5","4","4","4","4","1","4","5","3","2","3","","","2","1","2","7","Yes"
"2019/10/07 8:20:28 PM GMT+1","7","5","6","6","4","2","5","4","3","4","5","4","4","1","1","4","5","Yes"
"2019/10/07 8:20:50 PM GMT+1","5","3","7","7","5","5","5","5","3","3","3","6","5","2","2","7","5","Yes"
"2019/10/07 8:24:39 PM GMT+1","6","6","6","8","6","3","4","4","4","2","2","4","5","2","1","2","6","No"
"2019/10/07 8:28:01 PM GMT+1","5","4","5","6","5","4","5","5","3","3","3","4","4","3","2","2","5","Yes"
"2019/10/07 8:30:41 PM GMT+1","5","6","7","6","6","2","4","3","2","4","3","","","4","1","3","7","Yes"
"2019/10/07 8:36:18 PM GMT+1","7","5","7","6","4","3","6","6","4","4","5","","","3","7","6","7","Yes"
"2019/10/07 8:40:03 PM GMT+1","7","5","6","6","5","2","6","4","4","3","4","5","4","2","2","2","6","Yes"
"2019/10/07 8:47:38 PM GMT+1","7","5","6","6","6","5","6","7","5","4","5","6","6","4","4","3","4","Yes"
"2019/10/07 8:48:21 PM GMT+1","7","4","6","7","4","1","5","5","2","2","2","5","5","1","1","1","1","Yes"
"2019/10/07 8:49:52 PM GMT+1","6","3","4","3","3","1","6","5","4","2","2","3","3","1","1","2","6","Yes"
"2019/10/07 8:51:44 PM GMT+1","4","4","5","7","5","4","4","5","4","5","3","5","4","3","2","3","4","Yes"
"2019/10/07 8:53:23 PM GMT+1","4","3","4","5","2","1","5","4","1","1","2","1","","1","1","1","3","Yes"
"2019/10/07 9:03:37 PM GMT+1","7","4","5","6","3","3","6","5","3","2","4","3","5","5","2","2","6","No"
"2019/10/07 9:13:06 PM GMT+1","7","4","5","6","6","3","3","3","3","4","3","4","4","3","1","1","6","Yes"
"2019/10/07 9:13:48 PM GMT+1","7","6","6","7","5","5","7","6","5","5","5","5","5","3","2","4","6","Yes"
"2019/10/07 9:19:39 PM GMT+1","7","5","7","6","5","3","6","3","2","2","1","3","5","2","1","3","6","Yes"
"2019/10/07 9:20:56 PM GMT+1","7","6","7","7","5","4","5","5","4","5","4","6","5","3","1","4","7","No"
"2019/10/07 9:22:30 PM GMT+1","6","5","5","5","5","2","6","6","3","6","3","6","4","2","1","2","7","No"
"2019/10/07 9:31:49 PM GMT+1","6","3","5","5","3","1","6","6","3","2","2","","","2","3","3","5","Yes"
"2019/10/07 9:38:53 PM GMT+1","5","4","5","4","5","3","5","6","5","4","3","","","3","2","3","7",""
"2019/10/07 9:39:14 PM GMT+1","6","4","6","6","4","3","3","5","3","4","4","5","5","1","2","2","6","Yes"
"2019/10/07 9:45:37 PM GMT+1","6","1","2","6","5","1","2","3","2","2","2","3","4","1","1","1","3","No"
"2019/10/07 9:46:24 PM GMT+1","6","6","8","7","6","2","6","6","2","1","4","","","3","2","4","5","Yes"
"2019/10/07 9:56:34 PM GMT+1","5","2","5","5","5","2","5","3","2","4","3","4","4","2","1","2","6","Yes"
"2019/10/07 10:00:19 PM GMT+1","7","3","5","6","5","3","4","5","4","2","2","","","3","1","3","7","Yes"
"2019/10/07 10:00:21 PM GMT+1","5","5","5","6","4","2","4","2","2","1","2","","","2","1","1","4",""
"2019/10/07 10:01:59 PM GMT+1","7","5","7","7","7","8","4","6","6","7","5","6","7","6","7","5","4","No"
"2019/10/07 10:14:51 PM GMT+1","5","6","6","6","5","1","3","7","5","4","3","","","1","1","1","6","Yes"
"2019/10/07 10:17:28 PM GMT+1","4","1","7","7","4","1","2","4","1","1","2","","","2","10","1","5","Yes"
"2019/10/07 10:19:23 PM GMT+1","5","3","5","6","4","1","2","3","3","2","1","4","4","2","2","2","5","Yes"
"2019/10/07 10:35:52 PM GMT+1","4","2","4","5","3","2","4","3","2","2","1","2","3","2","2","2","3","No"
"2019/10/07 10:37:50 PM GMT+1","5","2","5","5","3","1","3","4","1","2","1","1","3","1","1","2","3","No"
"2019/10/07 10:40:47 PM GMT+1","9","1","3","4","2","1","7","3","2","1","1","","","1","1","1","5","No"
"2019/10/07 10:41:09 PM GMT+1","6","5","5","5","6","1","5","5","3","3","1","2","","1","1","1","7","Yes"
"2019/10/07 10:41:35 PM GMT+1","2","10","2","10","10","10","2","10","2","10","10","10","10","10","10","10","10","Yes"
"2019/10/07 10:56:09 PM GMT+1","6","7","7","7","6","4","7","6","4","5","5","7","8","5","1","5","7","Yes"
"2019/10/07 11:02:47 PM GMT+1","6","4","5","7","1","1","4","4","1","1","1","3","4","1","1","1","1","No"
"2019/10/07 11:27:33 PM GMT+1","10","1","5","5","3","2","5","4","3","2","2","","","1","1","2","5",""
"2019/10/07 11:31:08 PM GMT+1","6","3","5","7","4","1","3","4","2","2","3","3","5","3","2","2","5","Yes"
"2019/10/07 11:33:15 PM GMT+1","5","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","5",""
"2019/10/07 11:42:56 PM GMT+1","5","3","4","5","3","2","3","4","2","2","2","","","1","2","5","5","Yes"
"2019/10/08 12:04:07 AM GMT+1","6","6","5","6","5","4","6","5","4","5","4","4","4","4","2","6","6","Yes"
"2019/10/08 12:11:29 AM GMT+1","5","4","4","5","4","1","3","3","1","1","3","","","1","1","1","4",""
"2019/10/08 12:29:33 AM GMT+1","6","3","7","5","6","4","3","5","3","2","4","","","2","1","2","5","Yes"
"2019/10/08 12:29:38 AM GMT+1","5","4","4","6","3","3","4","3","3","3","1","","","2","1","1","8","Yes"
"2019/10/08 12:43:21 AM GMT+1","4","3","3","6","5","1","4","5","1","2","3","2","5","3","1","1","6","Yes"
"2019/10/08 12:50:18 AM GMT+1","6","6","7","6","5","2","6","5","4","4","5","5","6","1","1","5","7","Yes"
"2019/10/08 1:02:01 AM GMT+1","8","2","8","7","5","2","5","7","4","6","4","10","4","3","1","1","6","No"
"2019/10/08 1:02:35 AM GMT+1","5","3","6","7","3","2","5","4","4","3","2","","","5","3","4","7","Yes"
"2019/10/08 1:06:35 AM GMT+1","7","5","5","6","5","3","6","4","3","4","5","5","4","3","2","3","7","Yes"
"2019/10/08 1:10:04 AM GMT+1","7","6","7","6","5","1","5","5","3","3","3","5","","2","1","3","4",""
"2019/10/08 1:34:00 AM GMT+1","4","6","5","6","4","3","4","5","5","4","4","","","4","1","3","7","Yes"
"2019/10/08 2:18:08 AM GMT+1","5","2","5","6","3","2","5","4","3","3","4","","","2","2","3","5","No"
"2019/10/08 2:25:00 AM GMT+1","3","2","5","7","3","1","5","4","3","5","3","6","","4","1","4","7","Yes"
"2019/10/08 3:18:41 AM GMT+1","5","4","6","6","6","2","5","4","3","3","3","4","3","3","3","3","6","Yes"
"2019/10/08 3:19:45 AM GMT+1","6","5","7","6","7","2","7","6","5","4","4","","","2","1","1","6","Yes"
"2019/10/08 3:24:49 AM GMT+1","7","6","6","6","6","4","5","6","6","5","5","6","","2","2","4","5",""
"2019/10/08 3:39:00 AM GMT+1","6","4","4","6","2","1","2","3","2","3","1","","","2","1","2","8","Yes"
"2019/10/08 3:55:07 AM GMT+1","6","3","5","7","5","2","3","5","4","4","2","3","4","1","1","1","5",""
"2019/10/08 4:50:34 AM GMT+1","7","6","6","5","5","2","3","4","4","2","2","2","2","2","2","2","6","Yes"
"2019/10/08 5:37:46 AM GMT+1","5","5","4","4","4","2","4","4","4","5","4","","","2","1","1","7",""
"2019/10/08 5:45:06 AM GMT+1","5","6","5","6","4","1","2","2","2","3","1","2","4","1","1","1","5","Yes"
"2019/10/08 6:05:13 AM GMT+1","6","6","6","6","6","4","6","7","4","6","5","6","6","4","4","5","7","No"
"2019/10/08 6:33:26 AM GMT+1","5","1","3","4","1","1","3","3","2","1","1","4","4","2","1","2","6","Yes"
"2019/10/08 6:45:53 AM GMT+1","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","Yes"
"2019/10/08 6:54:18 AM GMT+1","4","2","3","4","1","1","3","4","1","1","1","1","1","1","1","1","6","Yes"
"2019/10/08 7:59:51 AM GMT+1","3","4","3","5","5","2","6","5","2","3","2","4","4","2","3","2","6","Yes"
"2019/10/08 8:40:46 AM GMT+1","6","4","6","7","3","1","1","5","1","1","1","","","1","1","1","7","No"
"2019/10/08 8:56:56 AM GMT+1","5","4","5","6","5","3","4","4","2","2","2","4","4","2","1","3","5","Yes"
"2019/10/08 9:17:12 AM GMT+1","7","4","6","7","5","2","6","6","2","2","4","","","2","3","4","6","Yes"
"2019/10/08 9:45:41 AM GMT+1","7","2","4","6","5","1","3","3","2","3","3","4","3","2","1","3","7",""
"2019/10/08 9:56:17 AM GMT+1","5","7","2","6","4","2","1","6","6","5","5","2","5","4","4","4","4","Yes"
"2019/10/08 10:05:01 AM GMT+1","6","4","6","5","4","2","3","3","2","2","2","3","4","1","1","3","7","Yes"
"2019/10/08 10:21:54 AM GMT+1","8","5","5","6","5","3","3","5","1","1","4","","","2","1","1","5","Yes"
"2019/10/08 10:26:11 AM GMT+1","2","1","5","4","2","1","1","1","1","1","1","","","1","1","1","10",""
"2019/10/08 10:34:34 AM GMT+1","5","3","4","4","4","2","4","5","4","3","3","5","5","1","1","3","4","Yes"
"2019/10/08 11:38:33 AM GMT+1","8","6","8","8","3","2","7","6","2","3","5","4","6","4","3","7","8","Yes"
"2019/10/08 12:09:44 PM GMT+1","6","3","4","4","3","1","4","4","3","3","1","3","3","2","2","3","7","Yes"
"2019/10/08 1:17:57 PM GMT+1","6","6","6","7","2","4","6","5","5","3","4","","","3","1","4","7","Yes"
"2019/10/08 2:51:09 PM GMT+1","5","4","6","5","4","3","4","4","4","3","1","","","1","1","1","4","No"
"2019/10/08 2:52:38 PM GMT+1","6","5","5","4","3","1","3","4","4","2","1","","","1","1","1","3","No"
"2019/10/08 3:26:55 PM GMT+1","6","5","5","6","6","1","6","7","4","5","3","5","5","3","2","4","5","Yes"
"2019/10/08 4:32:55 PM GMT+1","5","3","5","7","2","1","4","6","3","3","2","","","2","2","3","5","Yes"
"2019/10/08 4:50:13 PM GMT+1","1","1","1","1","1","1","1","1","1","1","1","1","4","1","1","1","6","Yes"
"2019/10/08 7:12:13 PM GMT+1","7","4","7","5","5","2","4","7","4","3","3","6","4","3","2","2","5","Yes"
"2019/10/08 7:28:53 PM GMT+1","5","5","6","6","5","1","3","4","3","3","1","4","4","2","1","2","5","Yes"
"2019/10/09 12:57:09 AM GMT+1","6","4","7","6","3","3","3","3","2","2","2","2","2","1","1","3","7","Yes"
"2019/10/09 10:56:44 AM GMT+1","7","3","5","6","5","1","5","3","2","2","1","1","","2","1","1","4","Yes"
"2019/10/09 11:00:29 AM GMT+1","6","4","5","7","5","2","3","4","2","4","9","3","7","2","1","9","5","Yes"
"2019/10/09 4:04:34 PM GMT+1","7","6","7","7","3","2","3","4","5","5","3","3","","2","1","4","10","Yes"