"Timestamp","David de Gea","Luke Shaw","Harry Maguire","Victor Lindelof","Aaron Wan-Bissaka","Fred","Scott McTominay","Marcus Rashford","Jesse Lingard","Daniel James","Anthony Martial","Andreas Pereira (optional)","Team Performance","Final Result","Ole","Man City","Did the ref/VAR do a good job? (optional) (please be unbiased)"
"2019/12/08 3:32:20 PM GMT+1","8","8","9","9","8","10","9","10","8","9","8","6","9","9","10","8","Yes"
"2019/12/08 3:32:42 PM GMT+1","8","8","8","8","10","9","9","9","9","9","8","6","9","9","10","7","Yes"
"2019/12/08 3:32:49 PM GMT+1","9","6","6","7","10","9","9","9","7","7","8","5","7","10","7","6","Yes"
"2019/12/08 3:32:59 PM GMT+1","9","8","7","7","9","8","8","8","7","7","8","6","8","10","8","5","Yes"
"2019/12/08 3:34:25 PM GMT+1","10","8","7","7","10","9","9","10","8","9","9","6","8","8","7","4","Yes"
"2019/12/08 3:35:34 PM GMT+1","9","7","8","10","10","10","10","10","9","9","9","7","10","10","10","1","Yes"
"2019/12/08 3:36:02 PM GMT+1","9","8","8","7","10","9","9","9","8","8","8","","9","8","9","7","Yes"
"2019/12/08 3:36:45 PM GMT+1","8","7","7","8","10","9","8","10","8","8","9","6","10","9","8","5","Yes"
"2019/12/08 3:37:09 PM GMT+1","8","6","7","7","8","8","8","7","7","7","7","6","9","10","8","7","Yes"
"2019/12/08 3:37:42 PM GMT+1","8","7","9","10","10","10","10","10","7","8","8","","10","10","10","3",""
"2019/12/08 3:39:11 PM GMT+1","8","8","8","8","10","9","8","8","8","9","7","6","8","7","9","7","Yes"
"2019/12/08 3:39:53 PM GMT+1","9","8","9","10","10","9","10","9","8","9","9","7","10","10","10","5","Yes"
"2019/12/08 3:40:02 PM GMT+1","8","7","8","8","10","9","9","9","9","9","8","1","8","10","9","4","Yes"
"2019/12/08 3:41:12 PM GMT+1","8","6","7","7","9","8","7","8","6","8","7","1","8","8","8","4","Yes"
"2019/12/08 3:41:26 PM GMT+1","8","7","7","7","10","8","8","8","7","9","8","6","10","10","9","1","Yes"
"2019/12/08 3:42:00 PM GMT+1","8","7","7","7","9","8","9","8","7","8","5","6","9","10","9","5","Yes"
"2019/12/08 3:42:16 PM GMT+1","8","7","7","7","8","8","7","8","7","7","8","6","9","9","8","5","Yes"
"2019/12/08 3:43:00 PM GMT+1","7","6","7","8","9","8","8","7","5","7","9","3","10","10","8","4","No"
"2019/12/08 3:45:03 PM GMT+1","8","7","6","8","9","9","7","8","7","7","8","6","10","8","8","7","Yes"
"2019/12/08 3:45:41 PM GMT+1","8","7","7","7","10","8","9","9","6","8","8","5","8","9","8","8","Yes"
"2019/12/08 3:45:55 PM GMT+1","8","7","8","7","9","8","8","9","8","8","8","6","9","10","9","5","Yes"
"2019/12/08 3:46:36 PM GMT+1","10","10","10","10","10","10","10","10","10","10","10","6","10","10","10","7","Yes"
"2019/12/08 3:46:36 PM GMT+1","9","8","8","9","9","10","9","9","9","9","8","8","10","9","10","7","Yes"
"2019/12/08 3:47:10 PM GMT+1","8","7","7","9","10","8","7","8","7","7","9","2","8","10","9","7","Yes"
"2019/12/08 3:48:03 PM GMT+1","7","7","7","8","9","8","8","9","8","8","7","6","9","10","9","4","Yes"
"2019/12/08 3:48:55 PM GMT+1","9","7","8","7","10","8","8","9","8","8","8","","8","8","8","6","Yes"
"2019/12/08 3:50:29 PM GMT+1","8","8","8","9","10","8","7","9","8","9","8","6","9","9","9","5","Yes"
"2019/12/08 3:52:34 PM GMT+1","8","8","7","8","9","9","9","10","8","8","9","5","9","10","10","7","Yes"
"2019/12/08 3:53:16 PM GMT+1","9","7","7","9","10","8","8","8","8","9","8","5","8","10","9","6","Yes"
"2019/12/08 3:53:35 PM GMT+1","8","7","7","8","9","9","8","9","7","8","8","","8","9","9","5","Yes"
"2019/12/08 3:53:37 PM GMT+1","8","6","7","7","10","8","9","8","7","6","8","5","8","7","7","6","Yes"
"2019/12/08 3:54:23 PM GMT+1","8","7","6","8","9","9","7","8","7","8","7","7","9","9","8","1","Yes"
"2019/12/08 3:54:35 PM GMT+1","9","9","8","8","10","10","9","8","7","8","8","6","9","10","10","6","Yes"
"2019/12/08 3:55:16 PM GMT+1","9","9","8","9","10","10","9","8","8","9","9","8","9","8","8","6","Yes"
"2019/12/08 3:55:29 PM GMT+1","8","8","8","8","10","9","9","9","8","8","9","7","10","10","10","5","Yes"
"2019/12/08 3:55:51 PM GMT+1","9","9","7","7","10","9","9","10","7","8","9","8","9","10","10","1","Yes"
"2019/12/08 3:56:17 PM GMT+1","9","7","7","8","9","8","8","10","9","9","9","","8","10","9","7","Yes"
"2019/12/08 3:56:19 PM GMT+1","9","7","9","9","10","10","9","10","7","9","7","3","9","8","9","3","Yes"
"2019/12/08 3:56:29 PM GMT+1","10","9","9","9","10","9","9","9","8","10","8","4","10","10","10","4","Yes"
"2019/12/08 3:56:45 PM GMT+1","9","8","8","9","10","9","8","9","8","8","8","7","7","8","9","5","Yes"
"2019/12/08 3:57:17 PM GMT+1","8","8","9","9","10","10","10","10","9","10","10","8","10","10","10","1","Yes"
"2019/12/08 3:57:27 PM GMT+1","8","7","7","8","9","8","7","8","7","7","7","5","8","10","9","6","Yes"
"2019/12/08 3:57:33 PM GMT+1","8","6","7","7","7","9","8","9","8","8","8","7","7","10","10","7","Yes"
"2019/12/08 3:57:38 PM GMT+1","8","8","8","9","10","9","9","9","8","8","8","","10","8","9","5","Yes"
"2019/12/08 3:59:20 PM GMT+1","9","7","9","10","10","10","9","10","8","8","9","8","10","9","10","6","Yes"
"2019/12/08 3:59:23 PM GMT+1","8","7","8","8","9","8","9","10","9","8","9","7","10","10","10","7","Yes"
"2019/12/08 4:00:02 PM GMT+1","9","8","9","9","10","8","10","10","7","8","9","","9","10","10","6","No"
"2019/12/08 4:00:21 PM GMT+1","8","7","7","8","9","8","7","9","7","8","7","6","10","10","10","7","Yes"
"2019/12/08 4:01:18 PM GMT+1","7","9","9","6","10","9","9","10","7","8","8","6","10","10","10","10","No"
"2019/12/08 4:02:17 PM GMT+1","10","9","9","10","10","10","10","10","9","10","10","7","10","10","10","1","Yes"
"2019/12/08 4:03:18 PM GMT+1","9","7","8","8","10","8","8","9","8","8","8","2","8","9","9","7","No"
"2019/12/08 4:04:04 PM GMT+1","8","8","8","7","9","9","9","9","8","9","8","7","9","9","10","8","Yes"
"2019/12/08 4:04:29 PM GMT+1","9","8","8","8","9","8","9","10","8","8","8","7","9","10","9","3","Yes"
"2019/12/08 4:05:24 PM GMT+1","8","7","8","8","9","8","8","9","8","8","8","7","9","10","9","6","Yes"
"2019/12/08 4:05:26 PM GMT+1","7","8","7","8","10","10","9","8","8","8","8","6","9","10","9","6","Yes"
"2019/12/08 4:05:27 PM GMT+1","9","8","7","7","10","10","9","9","8","8","9","7","9","10","8","4","No"
"2019/12/08 4:06:42 PM GMT+1","8","7","8","8","10","9","8","9","8","8","8","6","9","9","9","7","Yes"
"2019/12/08 4:06:44 PM GMT+1","8","7","8","8","9","9","9","9","7","8","7","","9","9","9","6","Yes"
"2019/12/08 4:07:32 PM GMT+1","8","7","7","7","9","8","7","9","7","7","7","6","8","7","8","7","Yes"
"2019/12/08 4:07:37 PM GMT+1","7","7","7","8","9","9","8","10","8","8","8","6","9","10","8","6","Yes"
"2019/12/08 4:08:56 PM GMT+1","8","8","8","8","10","9","10","9","7","9","9","10","9","10","9","8","Yes"
"2019/12/08 4:09:32 PM GMT+1","8","7","7","8","8","7","7","9","6","8","8","5","8","8","9","7","Yes"
"2019/12/08 4:10:03 PM GMT+1","8","7","7","8","10","9","9","9","7","8","8","6","9","10","10","5","Yes"
"2019/12/08 4:10:20 PM GMT+1","7","7","7","7","10","8","8","8","7","7","7","6","9","9","8","6","Yes"
"2019/12/08 4:11:27 PM GMT+1","8","8","8","8","10","9","9","9","8","8","8","","9","10","9","7","Yes"
"2019/12/08 4:11:28 PM GMT+1","8","7","7","8","9","9","9","9","7","8","9","","10","10","10","3","Yes"
"2019/12/08 4:11:42 PM GMT+1","7","6","7","7","9","7","8","8","6","7","7","","8","8","9","7","Yes"
"2019/12/08 4:14:42 PM GMT+1","10","9","9","9","10","10","10","9","9","9","9","7","10","10","10","8","Yes"
"2019/12/08 4:15:04 PM GMT+1","9","7","8","8","9","8","8","8","7","7","8","7","9","10","10","4","Yes"
"2019/12/08 4:15:20 PM GMT+1","8","7","7","8","9","9","8","9","7","8","9","","9","9","8","6",""
"2019/12/08 4:16:16 PM GMT+1","8","6","7","9","10","9","8","10","8","9","9","6","9","10","9","4","Yes"
"2019/12/08 4:17:50 PM GMT+1","7","6","8","8","9","8","7","10","7","7","8","7","10","10","10","1","Yes"
"2019/12/08 4:19:02 PM GMT+1","9","6","7","8","10","9","10","10","8","9","9","4","9","10","10","6","Yes"
"2019/12/08 4:19:32 PM GMT+1","9","7","8","9","10","9","9","9","6","8","8","5","9","9","10","5","No"
"2019/12/08 4:19:43 PM GMT+1","9","8","7","9","10","9","9","9","8","8","8","7","9","10","9","4","Yes"
"2019/12/08 4:21:06 PM GMT+1","7","7","7","8","9","8","8","9","8","8","8","7","9","9","9","6","Yes"
"2019/12/08 4:22:02 PM GMT+1","8","8","8","7","10","8","9","8","8","8","7","6","10","10","10","6","Yes"
"2019/12/08 4:23:16 PM GMT+1","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","9","Yes"
"2019/12/08 4:23:18 PM GMT+1","7","8","7","8","9","9","8","9","8","8","8","7","9","8","9","4","Yes"
"2019/12/08 4:23:28 PM GMT+1","8","8","7","7","9","10","9","9","7","8","8","5","8","8","9","6","Yes"
"2019/12/08 4:23:32 PM GMT+1","10","8","10","10","10","10","10","10","8","10","10","7","10","10","10","1","Yes"
"2019/12/08 4:23:34 PM GMT+1","8","9","8","9","9","9","8","8","7","8","8","","8","7","8","5","Yes"
"2019/12/08 4:24:02 PM GMT+1","8","9","8","8","10","9","9","9","7","8","7","7","10","10","10","6","Yes"
"2019/12/08 4:24:51 PM GMT+1","8","7","7","8","10","9","9","9","8","9","8","7","9","9","9","6","Yes"
"2019/12/08 4:27:09 PM GMT+1","10","8","8","10","10","10","10","10","9","8","10","7","10","10","10","6","Yes"
"2019/12/08 4:27:51 PM GMT+1","9","6","8","8","10","8","8","8","8","8","8","4","10","10","10","5","Yes"
"2019/12/08 4:30:54 PM GMT+1","8","5","6","7","9","8","8","8","6","7","7","4","9","9","10","6","Yes"
"2019/12/08 4:31:40 PM GMT+1","9","6","7","7","10","8","9","9","7","8","8","6","8","10","7","7","Yes"
"2019/12/08 4:31:46 PM GMT+1","9","8","7","8","10","8","8","9","7","7","7","10","10","7","9","7","No"
"2019/12/08 4:32:00 PM GMT+1","7","6","7","8","9","9","8","9","7","8","8","6","8","9","9","4","Yes"
"2019/12/08 4:32:17 PM GMT+1","8","7","7","8","9","9","8","8","8","8","7","","9","9","10","4","No"
"2019/12/08 4:32:41 PM GMT+1","8","7","8","8","9","8","7","8","7","7","7","4","9","9","9","5","Yes"
"2019/12/08 4:32:48 PM GMT+1","7","7","8","8","9","8","8","8","7","8","7","4","7","10","10","10","Yes"
"2019/12/08 4:32:54 PM GMT+1","8","8","9","9","10","10","10","10","8","9","9","7","10","10","10","8","No"
"2019/12/08 4:33:10 PM GMT+1","7","6","7","8","10","8","8","9","7","6","8","","8","8","9","4","Yes"
"2019/12/08 4:33:45 PM GMT+1","9","8","7","8","10","10","7","9","9","8","8","7","9","8","8","5","Yes"
"2019/12/08 4:34:27 PM GMT+1","10","7","7","7","10","9","9","10","7","8","7","7","10","8","9","1","Yes"
"2019/12/08 4:35:07 PM GMT+1","9","8","8","8","10","10","9","8","8","8","8","6","10","10","10","5","Yes"
"2019/12/08 4:35:35 PM GMT+1","8","8","8","8","10","9","9","9","8","8","9","6","9","8","9","4","Yes"
"2019/12/08 4:35:36 PM GMT+1","9","8","8","9","10","10","9","10","8","8","9","7","10","10","10","8","Yes"
"2019/12/08 4:35:41 PM GMT+1","8","6","9","9","10","8","8","9","7","7","8","","10","10","10","7","Yes"
"2019/12/08 4:36:07 PM GMT+1","8","7","8","8","9","10","9","10","8","8","9","7","9","10","10","5","Yes"
"2019/12/08 4:37:05 PM GMT+1","9","7","7","8","9","9","8","8","7","8","7","7","10","9","9","6","No"
"2019/12/08 4:37:42 PM GMT+1","8","7","7","8","9","9","8","9","8","7","7","5","9","10","9","6","Yes"
"2019/12/08 4:38:10 PM GMT+1","8","7","7","8","10","9","8","8","8","8","8","6","8","10","8","8","Yes"
"2019/12/08 4:39:30 PM GMT+1","9","9","9","10","10","9","9","9","9","9","8","","8","8","9","6","Yes"
"2019/12/08 4:41:11 PM GMT+1","9","7","7","8","9","9","9","9","8","9","9","7","10","8","10","7","Yes"
"2019/12/08 4:42:48 PM GMT+1","8","6","7","7","9","9","8","8","7","8","8","5","9","9","9","5","Yes"
"2019/12/08 4:42:49 PM GMT+1","10","9","8","9","10","10","10","9","8","9","9","7","10","10","10","7","Yes"
"2019/12/08 4:43:27 PM GMT+1","8","7","8","8","10","9","8","9","8","7","9","5","9","9","10","7","Yes"
"2019/12/08 4:44:27 PM GMT+1","8","9","8","9","9","9","9","9","9","9","8","6","10","8","9","6","No"
"2019/12/08 4:45:22 PM GMT+1","8","8","7","8","10","9","9","9","8","9","8","5","9","10","10","6","Yes"
"2019/12/08 4:47:16 PM GMT+1","8","7","7","8","10","9","8","10","7","8","8","6","7","8","8","7","Yes"
"2019/12/08 4:48:07 PM GMT+1","9","7","8","9","10","10","9","10","9","9","9","6","9","10","9","7","Yes"
"2019/12/08 4:48:21 PM GMT+1","8","8","8","9","10","9","9","9","8","9","9","","9","10","8","6","Yes"
"2019/12/08 4:48:49 PM GMT+1","8","7","9","9","10","9","9","9","8","8","8","6","10","10","10","7","Yes"
"2019/12/08 4:50:27 PM GMT+1","8","8","8","8","9","9","9","9","8","8","8","7","8","10","8","7","Yes"
"2019/12/08 4:51:39 PM GMT+1","8","7","8","9","10","10","8","8","8","8","8","","8","7","8","5","Yes"
"2019/12/08 4:52:53 PM GMT+1","9","8","8","9","10","10","9","9","8","8","8","6","9","9","10","2","Yes"
"2019/12/08 4:53:30 PM GMT+1","9","8","8","7","10","9","9","9","8","9","9","8","9","10","10","7","Yes"
"2019/12/08 4:53:48 PM GMT+1","7","7","7","8","9","9","8","8","7","7","8","","9","10","9","7","Yes"
"2019/12/08 4:54:22 PM GMT+1","8","7","7","8","9","9","8","8","7","8","8","","8","9","8","3","Yes"
"2019/12/08 4:55:26 PM GMT+1","9","7","8","7","10","9","9","9","7","8","9","7","9","10","10","5","Yes"
"2019/12/08 4:55:29 PM GMT+1","8","8","8","9","10","10","9","10","8","8","8","6","10","10","10","8","Yes"
"2019/12/08 4:58:20 PM GMT+1","10","7","7","8","10","8","6","8","9","7","8","6","9","10","10","6","Yes"
"2019/12/08 4:58:42 PM GMT+1","8","8","8","8","9","9","8","9","8","8","8","7","9","9","9","4","Yes"
"2019/12/08 5:00:05 PM GMT+1","8","8","8","8","9","9","8","9","8","8","8","7","9","10","10","6","Yes"
"2019/12/08 5:00:11 PM GMT+1","8","7","7","8","10","9","9","10","8","8","9","6","10","10","10","6","Yes"
"2019/12/08 5:00:11 PM GMT+1","9","7","8","9","10","8","9","8","7","7","7","6","8","9","8","6","Yes"
"2019/12/08 5:00:25 PM GMT+1","9","9","8","9","10","9","9","10","8","8","10","8","10","10","10","4","Yes"
"2019/12/08 5:00:40 PM GMT+1","10","8","9","9","10","10","10","10","8","9","8","7","10","9","10","1","Yes"
"2019/12/08 5:01:14 PM GMT+1","7","8","9","7","9","9","9","10","9","9","9","3","10","10","10","5","No"
"2019/12/08 5:01:14 PM GMT+1","8","8","8","8","10","8","7","9","7","8","8","6","9","10","10","6","Yes"
"2019/12/08 5:02:23 PM GMT+1","8","9","9","9","10","9","9","10","7","8","9","7","9","10","10","7","Yes"
"2019/12/08 5:02:43 PM GMT+1","7","7","7","7","9","8","8","8","8","8","8","4","10","8","10","6","No"
"2019/12/08 5:03:20 PM GMT+1","9","7","8","8","10","8","8","9","8","8","8","","10","10","9","7","Yes"
"2019/12/08 5:03:49 PM GMT+1","7","6","8","8","9","7","8","9","6","7","7","","9","10","8","3","Yes"
"2019/12/08 5:03:54 PM GMT+1","8","7","8","9","10","9","9","9","8","9","8","","10","9","10","1","Yes"
"2019/12/08 5:05:00 PM GMT+1","8","8","8","8","10","9","9","10","9","9","8","1","10","10","10","7","Yes"
"2019/12/08 5:06:03 PM GMT+1","7","7","7","8","9","8","7","8","7","7","8","","8","9","9","6","Yes"
"2019/12/08 5:07:24 PM GMT+1","8","7","7","9","10","10","8","9","8","9","7","3","9","10","9","5","No"
"2019/12/08 5:08:14 PM GMT+1","7","7","8","8","10","8","8","9","7","9","9","8","9","9","10","7","Yes"
"2019/12/08 5:08:31 PM GMT+1","8","7","8","8","9","9","8","9","8","8","7","5","9","8","9","4","Yes"
"2019/12/08 5:09:07 PM GMT+1","7","7","8","8","10","9","8","9","8","9","9","6","9","10","9","6","Yes"
"2019/12/08 5:09:09 PM GMT+1","8","8","9","9","10","9","9","9","8","8","8","7","9","10","10","1","Yes"
"2019/12/08 5:09:32 PM GMT+1","8","6","7","8","10","8","9","8","8","8","8","5","8","10","9","1","Yes"
"2019/12/08 5:11:06 PM GMT+1","7","7","8","8","10","9","9","9","8","9","9","6","9","9","8","4","Yes"
"2019/12/08 5:12:26 PM GMT+1","8","8","8","10","10","10","9","10","9","8","7","7","9","10","9","7","Yes"
"2019/12/08 5:13:06 PM GMT+1","7","8","8","9","10","10","10","10","9","10","10","7","10","10","10","7","Yes"
"2019/12/08 5:13:12 PM GMT+1","8","8","8","8","9","9","8","9","8","8","8","4","8","10","8","4","Yes"
"2019/12/08 5:13:30 PM GMT+1","8","7","8","8","10","9","8","9","8","9","7","6","10","9","10","5","Yes"
"2019/12/08 5:13:55 PM GMT+1","8","7","7","8","9","9","8","10","8","7","8","6","8","9","10","7","Yes"
"2019/12/08 5:14:12 PM GMT+1","9","9","10","10","10","10","10","10","10","10","10","8","9","9","10","7","Yes"
"2019/12/08 5:14:25 PM GMT+1","8","7","8","8","9","9","8","10","8","9","8","7","9","10","9","5","Yes"
"2019/12/08 5:14:59 PM GMT+1","8","6","7","8","9","9","9","9","6","8","8","5","10","10","10","1","Yes"
"2019/12/08 5:15:46 PM GMT+1","9","8","8","8","10","10","10","10","8","8","10","7","10","10","10","9","Yes"
"2019/12/08 5:15:57 PM GMT+1","8","8","8","8","10","9","8","8","8","8","9","6","9","9","9","5","Yes"
"2019/12/08 5:16:04 PM GMT+1","8","6","6","7","8","8","7","8","8","7","7","6","8","10","7","3","Yes"
"2019/12/08 5:16:40 PM GMT+1","8","7","7","7","10","8","8","9","7","8","8","","9","9","9","6","Yes"
"2019/12/08 5:16:46 PM GMT+1","7","7","7","7","10","9","7","7","8","8","8","7","8","8","8","5","Yes"
"2019/12/08 5:16:57 PM GMT+1","9","9","9","9","10","9","9","9","9","9","8","7","9","9","10","4","Yes"
"2019/12/08 5:17:26 PM GMT+1","10","8","7","6","9","8","8","9","7","8","8","6","8","10","9","4","Yes"
"2019/12/08 5:17:52 PM GMT+1","9","7","8","8","10","8","8","10","8","8","8","6","9","10","10","9","Yes"
"2019/12/08 5:17:54 PM GMT+1","7","7","8","8","9","8","7","8","8","8","7","5","10","10","10","6","Yes"
"2019/12/08 5:18:29 PM GMT+1","9","7","7","8","9","8","8","8","7","8","8","6","8","10","10","4","Yes"
"2019/12/08 5:19:29 PM GMT+1","8","8","8","8","10","10","10","10","9","9","8","6","8","8","9","6","Yes"
"2019/12/08 5:19:43 PM GMT+1","8","9","8","8","10","7","9","8","7","8","7","6","7","8","9","7","Yes"
"2019/12/08 5:19:46 PM GMT+1","8","7","8","7","8","9","9","10","8","8","8","6","7","10","7","6","Yes"
"2019/12/08 5:20:46 PM GMT+1","7","7","7","8","10","9","9","8","8","8","9","7","8","7","8","5","Yes"
"2019/12/08 5:20:48 PM GMT+1","10","10","9","10","10","9","9","10","8","9","9","7","10","10","7","3","Yes"
"2019/12/08 5:20:51 PM GMT+1","8","8","8","8","10","9","7","8","7","9","8","2","8","7","7","5","Yes"
"2019/12/08 5:21:08 PM GMT+1","8","8","8","8","10","9","9","9","8","8","9","6","9","10","9","6","Yes"
"2019/12/08 5:22:27 PM GMT+1","9","9","8","9","10","9","9","9","9","10","9","7","9","9","9","4","Yes"
"2019/12/08 5:22:28 PM GMT+1","9","8","8","7","9","9","9","9","8","10","9","7","9","10","9","3","Yes"
"2019/12/08 5:23:08 PM GMT+1","7","8","8","9","10","10","9","9","9","9","9","","9","9","10","8","Yes"
"2019/12/08 5:24:06 PM GMT+1","8","9","9","9","10","9","9","10","9","10","9","","10","10","10","7","Yes"
"2019/12/08 5:24:18 PM GMT+1","9","7","9","10","10","9","8","9","8","6","8","3","10","9","9","3","Yes"
"2019/12/08 5:24:18 PM GMT+1","8","7","7","8","10","9","9","9","8","8","9","7","10","10","10","5","Yes"
"2019/12/08 5:25:15 PM GMT+1","9","8","8","8","9","9","8","9","8","9","9","","10","10","9","8","Yes"
"2019/12/08 5:26:10 PM GMT+1","8","8","7","8","10","9","9","10","9","9","10","7","10","10","9","7","Yes"
"2019/12/08 5:27:53 PM GMT+1","9","7","7","8","9","8","8","9","8","8","8","5","8","8","8","7","Yes"
"2019/12/08 5:28:20 PM GMT+1","8","7","8","9","10","9","9","9","8","7","8","7","9","10","10","6","Yes"
