"Timestamp","David de Gea","Luke Shaw","Harry Maguire","Victor Lindelof","Aaron Wan-Bissaka","Nemanja Matic","Fred","Marcus Rashford","Jesse Lingard","Daniel James","Anthony Martial","Mason Greenwood (optional)","Andreas Pereira (optional)","Team Performance","Final Result","Ole","Arsenal","Did the ref/VAR do a good job? (optional) be unbiased please"
"2020/01/02 9:05:15 PM GMT+1","7","6","4","6","5","6","7","5","5","5","7","5","6","2","2","4","8","No"
"2020/01/02 9:05:33 PM GMT+1","4","3","4","5","5","6","7","3","2","2","6","5","","3","2","1","7","Yes"
"2020/01/02 9:05:47 PM GMT+1","4","2","2","4","1","6","6","3","1","5","6","5","4","2","1","1","9","No"
"2020/01/02 9:05:56 PM GMT+1","5","3","5","5","5","7","7","4","1","4","4","5","7","3","2","2","8","Yes"
"2020/01/02 9:07:20 PM GMT+1","7","4","6","6","5","4","7","3","1","3","4","6","5","4","1","3","8","Yes"
"2020/01/02 9:07:22 PM GMT+1","1","1","1","1","1","1","8","1","1","1","8","1","1","2","1","1","6","Yes"
"2020/01/02 9:07:46 PM GMT+1","5","4","4","5","5","6","7","5","4","4","6","6","5","4","2","4","7","No"
"2020/01/02 9:07:53 PM GMT+1","6","5","6","6","7","6","8","6","5","5","7","7","6","5","5","7","8","Yes"
"2020/01/02 9:07:59 PM GMT+1","7","5","4","6","6","7","6","4","4","5","7","5","7","3","3","5","8","Yes"
"2020/01/02 9:08:27 PM GMT+1","5","5","5","5","6","6","8","4","1","5","7","6","7","1","1","2","10","Yes"
"2020/01/02 9:08:32 PM GMT+1","3","1","2","2","4","3","4","2","1","2","4","","","1","1","1","1","Yes"
"2020/01/02 9:08:42 PM GMT+1","5","4","3","5","4","7","6","4","1","5","7","5","7","4","1","5","9","Yes"
"2020/01/02 9:08:43 PM GMT+1","5","10","3","6","7","9","7","4","3","6","6","5","5","4","1","2","8","No"
"2020/01/02 9:08:44 PM GMT+1","4","3","2","3","3","4","5","4","2","3","3","3","4","2","1","4","8","Yes"
"2020/01/02 9:09:58 PM GMT+1","4","2","3","4","5","2","6","3","2","2","5","","","1","1","1","7","Yes"
"2020/01/02 9:11:40 PM GMT+1","5","2","5","6","7","7","8","2","1","2","6","3","7","2","3","2","8","No"
"2020/01/02 9:11:59 PM GMT+1","4","3","4","5","6","5","7","2","1","3","5","3","4","2","1","3","9","Yes"
"2020/01/02 9:12:20 PM GMT+1","8","5","5","7","7","7","9","6","4","5","6","5","8","3","2","6","9","Yes"
"2020/01/02 9:12:27 PM GMT+1","4","4","4","5","5","6","6","5","4","4","4","5","5","4","4","4","8","Yes"
"2020/01/02 9:12:56 PM GMT+1","5","2","3","4","3","3","7","3","1","6","5","5","5","2","2","2","7","Yes"
"2020/01/02 9:14:20 PM GMT+1","3","3","3","3","4","5","6","4","2","4","7","5","4","2","2","3","8","Yes"
"2020/01/02 9:14:39 PM GMT+1","4","2","3","3","3","5","7","2","2","2","6","3","4","2","2","3","7","Yes"
"2020/01/02 9:15:17 PM GMT+1","7","1","3","6","6","5","8","4","1","4","5","5","5","2","1","2","8","Yes"
"2020/01/02 9:15:18 PM GMT+1","4","3","4","5","5","4","6","4","2","4","4","","","4","4","3","8","Yes"
"2020/01/02 9:15:26 PM GMT+1","3","2","3","4","6","6","7","4","1","3","6","5","5","2","3","3","6",""
"2020/01/02 9:15:58 PM GMT+1","3","3","4","5","4","6","6","3","3","4","4","4","4","3","3","5","6","Yes"
"2020/01/02 9:15:59 PM GMT+1","4","3","3","4","4","7","7","4","2","5","6","","","1","2","2","7","Yes"
"2020/01/02 9:16:41 PM GMT+1","5","2","5","5","5","5","6","2","2","4","5","5","5","3","3","3","8","Yes"
"2020/01/02 9:17:16 PM GMT+1","5","4","4","4","6","7","7","2","1","3","7","7","5","2","1","3","6","Yes"
"2020/01/02 9:17:51 PM GMT+1","5","4","5","4","5","5","7","4","4","4","5","5","5","5","2","5","6","No"
"2020/01/02 9:18:04 PM GMT+1","5","3","5","5","6","6","7","5","1","4","6","6","7","5","1","4","6","Yes"
"2020/01/02 9:19:44 PM GMT+1","4","2","3","3","5","6","7","3","1","2","6","","6","3","2","4","6","Yes"
"2020/01/02 9:19:57 PM GMT+1","4","3","4","5","6","6","7","4","2","4","6","6","6","1","3","5","9","No"
"2020/01/02 9:20:42 PM GMT+1","4","2","4","3","5","4","6","3","1","3","5","5","5","2","1","2","8","No"
"2020/01/02 9:21:17 PM GMT+1","4","4","4","4","5","6","7","5","4","5","8","6","6","3","3","3","6","No"
"2020/01/02 9:21:37 PM GMT+1","4","2","3","4","6","5","6","3","1","4","4","5","5","1","3","1","7","Yes"
"2020/01/02 9:21:56 PM GMT+1","4","2","3","5","5","5","6","3","1","3","5","","","3","1","2","7","Yes"
"2020/01/02 9:22:41 PM GMT+1","3","1","1","2","3","4","4","1","1","3","4","3","3","1","2","1","9","Yes"
"2020/01/02 9:22:50 PM GMT+1","5","5","5","5","5","5","6","4","3","4","5","","","4","3","5","6","Yes"
"2020/01/02 9:23:36 PM GMT+1","5","2","4","5","5","4","6","5","2","6","6","6","5","3","2","3","8","Yes"
"2020/01/02 9:23:43 PM GMT+1","4","2","2","4","5","7","6","3","1","3","5","5","5","1","1","3","8","Yes"
"2020/01/02 9:23:46 PM GMT+1","6","4","4","5","4","4","8","5","2","3","4","","","2","1","1","7","Yes"
"2020/01/02 9:24:38 PM GMT+1","5","3","3","2","4","7","7","3","1","2","6","5","5","3","3","5","9","Yes"
"2020/01/02 9:25:03 PM GMT+1","4","4","7","6","7","4","8","6","4","6","7","6","7","4","1","1","7","Yes"
"2020/01/02 9:25:03 PM GMT+1","5","1","4","6","4","7","8","4","1","4","9","6","7","2","1","6","9","No"
"2020/01/02 9:25:39 PM GMT+1","3","2","3","3","4","5","6","3","2","3","7","6","7","3","3","3","7","Yes"
"2020/01/02 9:25:40 PM GMT+1","4","3","3","4","5","5","6","5","1","4","6","","","3","1","1","7",""
"2020/01/02 9:27:01 PM GMT+1","5","2","2","2","2","4","6","3","2","3","3","5","6","1","1","1","6",""
"2020/01/02 9:27:02 PM GMT+1","4","3","3","4","5","6","6","3","3","3","4","4","5","2","8","2","8","Yes"
"2020/01/02 9:28:40 PM GMT+1","6","3","3","4","6","6","6","4","3","4","6","","7","3","1","7","8","No"
"2020/01/02 9:28:58 PM GMT+1","5","1","5","4","5","6","7","2","1","4","5","","","3","2","10","8","Yes"
"2020/01/02 9:28:59 PM GMT+1","5","2","5","6","8","7","7","7","1","6","6","7","7","2","1","2","5","Yes"
"2020/01/02 9:29:06 PM GMT+1","5","3","3","3","5","6","6","4","1","4","6","","","3","3","3","9","Yes"
"2020/01/02 9:29:08 PM GMT+1","4","4","4","5","5","5","7","5","3","5","6","5","5","3","3","5","8","Yes"
"2020/01/02 9:29:17 PM GMT+1","6","3","3","3","4","5","5","5","2","4","4","","7","4","1","1","7","Yes"
"2020/01/02 9:29:20 PM GMT+1","4","3","6","4","5","5","7","7","4","6","5","5","6","5","4","7","6","Yes"
"2020/01/02 9:30:23 PM GMT+1","4","2","3","4","6","5","6","5","1","4","6","","","2","2","2","8","Yes"
"2020/01/02 9:30:53 PM GMT+1","5","2","3","4","4","5","6","3","2","3","4","3","4","1","1","2","6","Yes"
"2020/01/02 9:31:34 PM GMT+1","5","1","6","5","5","4","7","5","3","4","6","5","6","3","1","5","7","Yes"
"2020/01/02 9:31:50 PM GMT+1","4","4","5","4","5","6","5","4","3","4","5","","6","4","5","6","7","Yes"
"2020/01/02 9:32:04 PM GMT+1","6","5","4","5","5","6","6","5","4","4","5","6","5","4","1","4","7","Yes"
"2020/01/02 9:32:46 PM GMT+1","3","2","3","3","4","5","6","3","1","2","5","3","6","2","2","2","6","Yes"
"2020/01/02 9:33:07 PM GMT+1","6","3","4","5","6","7","4","4","2","4","6","5","5","2","1","2","9","Yes"
"2020/01/02 9:33:17 PM GMT+1","6","4","5","6","6","6","5","5","3","5","6","7","6","4","3","1","7","Yes"
"2020/01/02 9:33:49 PM GMT+1","5","2","2","3","3","4","6","2","2","2","2","2","6","1","1","5","8","Yes"
"2020/01/02 9:33:58 PM GMT+1","6","4","3","5","6","5","7","6","2","5","7","6","7","2","1","3","8","Yes"
"2020/01/02 9:33:59 PM GMT+1","6","2","4","4","6","6","5","5","2","5","7","","","4","2","8","7","Yes"
"2020/01/02 9:34:21 PM GMT+1","5","5","5","5","6","6","6","5","4","5","6","6","6","4","3","4","8","Yes"
"2020/01/02 9:34:27 PM GMT+1","3","2","4","4","6","6","6","4","1","5","6","","","2","2","1","9","No"
"2020/01/02 9:34:32 PM GMT+1","3","3","1","7","9","7","3","5","4","5","6","6","1","1","3","3","6","No"
"2020/01/02 9:34:39 PM GMT+1","5","2","4","5","5","5","7","4","1","5","6","5","5","2","3","4","8","Yes"
"2020/01/02 9:34:42 PM GMT+1","3","3","3","4","4","6","8","3","2","3","5","5","6","2","2","2","7","Yes"
"2020/01/02 9:34:53 PM GMT+1","4","4","5","5","5","4","5","5","3","5","5","6","6","4","2","5","6","Yes"
"2020/01/02 9:35:02 PM GMT+1","5","4","4","5","6","6","7","3","2","4","7","4","6","3","1","2","7","Yes"
"2020/01/02 9:35:05 PM GMT+1","5","4","5","4","5","4","4","4","3","4","4","4","5","4","1","2","9","Yes"
"2020/01/02 9:35:26 PM GMT+1","6","3","6","6","6","6","8","5","1","4","6","5","5","2","2","1","6","Yes"
"2020/01/02 9:35:50 PM GMT+1","2","6","6","4","5","7","6","4","3","5","6","","","3","1","4","9",""
"2020/01/02 9:35:58 PM GMT+1","4","3","2","2","5","3","7","4","1","3","4","5","6","3","2","1","6","Yes"
"2020/01/02 9:36:59 PM GMT+1","4","3","2","2","5","5","7","3","2","2","6","5","6","3","3","3","7","Yes"
"2020/01/02 9:37:15 PM GMT+1","4","5","5","5","6","4","4","6","5","5","6","","","4","1","4","7",""
"2020/01/02 9:37:19 PM GMT+1","5","1","2","4","3","3","7","3","2","3","2","3","4","3","3","3","8","Yes"
"2020/01/02 9:37:34 PM GMT+1","4","1","3","4","5","4","5","4","2","4","5","6","5","2","1","3","6",""
"2020/01/02 9:38:44 PM GMT+1","6","3","5","4","5","5","7","4","2","3","7","5","6","3","3","4","8","Yes"
"2020/01/02 9:38:56 PM GMT+1","6","6","5","7","6","6","8","5","5","6","7","7","7","5","3","6","8","No"
"2020/01/02 9:39:16 PM GMT+1","6","5","5","5","6","6","7","5","3","5","4","","","4","1","5","8","Yes"
"2020/01/02 9:39:59 PM GMT+1","1","1","3","3","4","1","4","3","2","2","2","2","2","2","1","1","8","Yes"
"2020/01/02 9:41:01 PM GMT+1","5","3","4","4","6","7","7","5","2","5","7","","","2","2","1","9","Yes"
"2020/01/02 9:42:14 PM GMT+1","5","2","3","5","6","5","7","5","1","4","5","5","7","1","1","4","5","No"
"2020/01/02 9:42:20 PM GMT+1","3","3","4","4","5","6","5","4","2","4","5","5","5","2","3","4","6","Yes"
"2020/01/02 9:42:47 PM GMT+1","5","5","6","6","6","3","7","6","2","6","6","","","3","3","2","5","Yes"
"2020/01/02 9:43:29 PM GMT+1","5","4","3","4","6","5","7","4","1","5","6","4","5","2","1","4","8","Yes"
"2020/01/02 9:45:32 PM GMT+1","5","2","4","4","6","7","7","4","1","3","4","5","7","3","1","3","7",""
"2020/01/02 9:45:45 PM GMT+1","4","2","4","5","5","6","7","6","2","5","6","5","7","4","3","3","8","No"
"2020/01/02 9:47:05 PM GMT+1","7","1","4","5","5","6","7","4","1","3","5","4","6","3","1","3","8","Yes"
"2020/01/02 9:47:47 PM GMT+1","3","3","4","4","4","6","5","5","2","5","6","7","7","4","2","7","6","Yes"
"2020/01/02 9:47:59 PM GMT+1","5","3","2","3","5","5","6","3","1","2","5","6","6","1","1","5","8","No"
"2020/01/02 9:48:13 PM GMT+1","5","3","4","4","6","5","7","4","2","4","5","5","6","3","1","3","7","Yes"
"2020/01/02 9:48:37 PM GMT+1","5","4","4","3","4","5","6","4","3","4","6","7","6","1","1","1","6","Yes"
"2020/01/02 9:49:15 PM GMT+1","6","2","3","4","4","3","5","4","2","4","5","6","5","3","2","3","9","Yes"
"2020/01/02 9:49:38 PM GMT+1","5","1","4","5","6","5","6","4","2","4","5","5","6","2","2","5","6","Yes"
"2020/01/02 9:50:06 PM GMT+1","3","1","5","4","4","6","9","2","1","4","6","","","2","1","5","7","Yes"
"2020/01/02 9:50:12 PM GMT+1","4","2","3","3","4","4","5","5","2","4","7","","7","1","1","4","7","No"
"2020/01/02 9:50:19 PM GMT+1","4","1","1","3","5","4","6","2","1","4","3","5","5","1","1","3","7","Yes"
"2020/01/02 9:51:06 PM GMT+1","4","4","4","6","5","7","6","5","2","5","5","","","4","4","4","8","No"
"2020/01/02 9:51:09 PM GMT+1","4","1","2","2","4","1","2","3","1","4","4","3","4","1","1","1","8","Yes"
"2020/01/02 9:52:19 PM GMT+1","5","4","3","6","5","6","6","5","3","6","6","7","6","2","2","3","8","No"
"2020/01/02 9:52:53 PM GMT+1","4","4","3","4","5","5","6","3","1","5","3","6","6","2","1","2","7","Yes"
"2020/01/02 9:54:50 PM GMT+1","5","4","5","6","6","4","5","4","3","4","6","5","5","4","3","4","7","Yes"
"2020/01/02 9:55:01 PM GMT+1","6","3","4","4","5","4","7","5","4","5","6","5","5","4","3","5","6","No"
"2020/01/02 9:55:02 PM GMT+1","5","2","4","5","4","5","5","4","2","4","5","6","6","1","1","4","6","Yes"
"2020/01/02 9:55:54 PM GMT+1","4","3","4","4","4","6","7","5","3","5","5","","7","3","3","3","7","Yes"
"2020/01/02 9:56:00 PM GMT+1","3","1","4","3","5","4","6","3","1","3","5","","","2","1","1","9","Yes"
"2020/01/02 9:56:16 PM GMT+1","3","5","2","5","6","6","7","4","2","4","7","6","8","3","2","3","8","Yes"
"2020/01/02 9:56:57 PM GMT+1","6","6","5","5","6","6","7","5","4","6","6","5","5","5","2","5","8","No"
"2020/01/02 9:57:01 PM GMT+1","5","2","3","4","3","8","8","5","2","4","6","5","6","2","1","3","8","Yes"
"2020/01/02 9:57:04 PM GMT+1","4","4","5","5","5","6","7","5","3","5","6","5","6","3","3","3","7","Yes"
"2020/01/02 9:57:42 PM GMT+1","4","4","3","4","5","5","6","3","1","5","7","6","5","2","1","2","7","Yes"
"2020/01/02 9:57:47 PM GMT+1","3","3","4","4","4","3","4","3","2","4","4","4","4","3","3","3","6","Yes"
"2020/01/02 9:58:14 PM GMT+1","6","4","6","6","6","6","6","6","3","6","7","5","6","4","4","7","9","No"
"2020/01/02 9:58:14 PM GMT+1","5","2","4","4","6","5","6","5","1","4","6","","","3","1","3","7","Yes"
"2020/01/02 9:58:18 PM GMT+1","6","2","3","4","5","4","6","3","2","3","5","4","6","1","1","1","8","Yes"
"2020/01/02 9:58:39 PM GMT+1","5","4","4","5","5","6","6","4","3","4","6","5","6","4","2","4","7","Yes"
"2020/01/02 9:58:49 PM GMT+1","5","3","5","3","6","5","7","4","2","4","6","5","6","3","1","4","1","No"
"2020/01/02 10:00:09 PM GMT+1","7","4","5","5","7","7","8","5","1","5","7","5","7","6","2","5","8","Yes"
"2020/01/02 10:00:51 PM GMT+1","5","4","5","5","6","5","6","5","1","6","6","6","5","4","4","4","8","Yes"
"2020/01/02 10:01:29 PM GMT+1","3","1","3","4","6","5","7","5","1","5","6","5","5","1","1","1","8","Yes"
"2020/01/02 10:02:28 PM GMT+1","3","2","2","5","5","4","6","5","2","2","5","5","5","2","1","1","8","Yes"
"2020/01/02 10:02:32 PM GMT+1","5","4","4","4","5","4","7","4","1","3","5","5","6","1","1","1","9","Yes"
"2020/01/02 10:03:19 PM GMT+1","5","1","2","4","4","6","6","4","1","4","4","6","5","1","1","1","6","Yes"
"2020/01/02 10:03:41 PM GMT+1","5","3","3","2","5","3","7","5","4","4","5","","","4","4","3","6","Yes"
"2020/01/02 10:04:45 PM GMT+1","4","2","3","4","3","4","5","3","2","3","5","4","6","4","4","4","6","Yes"
"2020/01/02 10:07:49 PM GMT+1","4","2","3","5","5","6","7","4","1","4","5","","6","3","1","4","6","No"
"2020/01/02 10:07:51 PM GMT+1","4","3","6","5","6","6","8","4","2","3","7","5","7","2","1","4","7","Yes"
"2020/01/02 10:07:57 PM GMT+1","4","2","3","5","5","5","8","4","2","3","6","5","5","3","2","3","7","Yes"
"2020/01/02 10:07:58 PM GMT+1","8","5","5","6","4","4","8","6","4","6","7","6","7","4","3","8","8","Yes"
"2020/01/02 10:08:45 PM GMT+1","5","2","3","4","4","5","6","4","1","3","7","5","6","2","1","3","7","No"
"2020/01/02 10:10:53 PM GMT+1","3","1","3","4","5","3","5","3","1","2","5","4","3","1","1","1","8","Yes"
"2020/01/02 10:11:07 PM GMT+1","5","3","5","4","5","6","4","4","1","4","3","6","6","3","4","4","8","Yes"
"2020/01/02 10:11:08 PM GMT+1","3","5","3","3","6","7","7","6","1","7","8","8","6","3","2","2","6","No"
"2020/01/02 10:11:19 PM GMT+1","3","4","2","6","6","7","4","4","2","5","6","5","3","2","3","3","6","No"
"2020/01/02 10:11:27 PM GMT+1","3","3","3","3","3","3","3","2","2","3","3","3","2","3","3","3","3","Yes"
"2020/01/02 10:11:44 PM GMT+1","5","4","4","5","6","7","7","4","3","4","6","5","5","1","1","4","6","No"
"2020/01/02 10:12:36 PM GMT+1","5","4","5","5","6","5","6","4","2","3","6","6","6","3","6","5","7","Yes"
"2020/01/02 10:14:00 PM GMT+1","5","3","2","4","5","3","7","4","2","4","5","6","5","3","1","3","7","Yes"
"2020/01/02 10:14:19 PM GMT+1","3","2","3","3","3","4","7","4","1","4","4","4","5","1","1","1","9",""
"2020/01/02 10:14:54 PM GMT+1","5","2","2","5","4","6","7","5","2","4","5","5","6","2","10","4","8","Yes"
"2020/01/02 10:15:23 PM GMT+1","4","2","4","3","6","4","6","5","3","4","6","","","4","5","4","8","Yes"
"2020/01/02 10:15:35 PM GMT+1","5","2","3","3","4","5","6","4","2","4","5","4","6","3","2","2","4","Yes"
"2020/01/02 10:17:04 PM GMT+1","5","2","1","3","3","5","5","3","1","3","4","3","4","1","2","4","6","Yes"
"2020/01/02 10:17:44 PM GMT+1","6","3","5","5","5","6","6","4","2","3","8","6","6","2","2","5","7","Yes"
"2020/01/02 10:19:27 PM GMT+1","3","2","3","3","5","5","4","6","9","4","4","4","2","4","3","4","6","Yes"
"2020/01/02 10:19:47 PM GMT+1","5","5","4","4","5","6","7","5","3","4","6","","","4","1","4","6","Yes"
"2020/01/02 10:20:16 PM GMT+1","5","3","5","5","5","6","7","5","3","4","7","","","2","3","1","7","Yes"
"2020/01/02 10:20:40 PM GMT+1","4","2","3","4","5","6","7","5","1","4","5","5","6","2","1","1","7","Yes"
"2020/01/02 10:20:48 PM GMT+1","3","1","2","3","2","4","5","4","2","2","5","5","7","1","3","3","8","Yes"
"2020/01/02 10:21:18 PM GMT+1","7","3","4","4","6","7","8","5","1","5","7","6","8","2","10","4","10","Yes"
"2020/01/02 10:21:51 PM GMT+1","3","2","2","2","3","3","4","4","2","3","4","5","5","2","1","5","6","No"
"2020/01/02 10:22:29 PM GMT+1","7","2","3","5","5","6","7","5","3","4","6","4","6","3","2","3","8","Yes"
"2020/01/02 10:23:54 PM GMT+1","5","2","4","6","6","6","9","6","2","7","8","7","8","4","1","2","9","Yes"
"2020/01/02 10:28:00 PM GMT+1","4","4","2","4","5","6","8","6","4","6","6","6","6","3","1","1","8","Yes"
"2020/01/02 10:28:33 PM GMT+1","4","3","4","6","6","5","7","4","3","5","4","","","3","1","3","5","No"
"2020/01/02 10:28:47 PM GMT+1","6","3","6","4","6","7","6","5","2","6","5","7","4","4","3","5","7","Yes"
"2020/01/02 10:29:07 PM GMT+1","5","3","4","4","7","6","7","5","1","4","6","5","4","4","4","2","7","No"
"2020/01/02 10:29:59 PM GMT+1","7","5","4","4","5","5","6","4","4","5","3","6","6","4","3","3","8","No"
"2020/01/02 10:30:16 PM GMT+1","2","1","1","1","3","1","4","2","2","2","4","5","4","1","1","3","5","No"
"2020/01/02 10:30:47 PM GMT+1","6","3","4","6","6","7","6","5","1","4","6","","","3","3","5","7","Yes"
"2020/01/02 10:30:55 PM GMT+1","5","1","4","4","3","4","7","4","1","5","6","5","4","1","1","1","10","Yes"
"2020/01/02 10:31:43 PM GMT+1","3","3","4","5","5","6","6","3","3","3","4","5","6","3","1","3","6","No"
"2020/01/02 10:32:58 PM GMT+1","6","6","7","6","6","7","7","6","6","6","7","6","6","6","2","5","7",""
"2020/01/02 10:32:59 PM GMT+1","4","1","4","4","5","6","6","5","1","5","6","5","7","4","1","6","6","Yes"
"2020/01/02 10:33:04 PM GMT+1","7","5","7","6","5","5","7","4","3","5","8","5","6","4","2","4","6","Yes"
"2020/01/02 10:33:18 PM GMT+1","6","5","5","6","6","4","7","5","3","4","5","5","6","4","3","4","6","Yes"
"2020/01/02 10:33:56 PM GMT+1","3","1","3","3","3","5","6","4","2","3","4","4","5","1","1","2","5","Yes"
"2020/01/02 10:34:04 PM GMT+1","5","3","3","5","4","6","6","3","1","4","5","4","4","1","3","2","9","Yes"
"2020/01/02 10:34:29 PM GMT+1","6","3","4","5","6","5","7","3","2","4","6","","","3","2","5","8","No"
"2020/01/02 10:34:49 PM GMT+1","3","4","3","3","7","4","4","2","2","5","5","5","4","2","3","3","7","Yes"
"2020/01/02 10:35:39 PM GMT+1","6","4","5","5","4","7","7","6","2","4","4","3","5","3","3","4","9","Yes"
"2020/01/02 10:36:10 PM GMT+1","6","3","3","7","5","7","6","4","2","5","9","7","8","4","4","3","7","Yes"
"2020/01/02 10:36:55 PM GMT+1","4","2","3","2","5","7","6","4","2","4","5","5","6","2","4","3","8","Yes"
"2020/01/02 10:37:31 PM GMT+1","5","4","3","4","5","6","7","4","2","5","6","","","4","3","3","5","Yes"
"2020/01/02 10:37:35 PM GMT+1","5","4","5","5","6","6","7","5","3","5","5","5","","5","4","4","7","Yes"
"2020/01/02 10:38:32 PM GMT+1","4","2","3","4","3","7","6","3","1","4","6","4","6","2","1","3","8","Yes"
"2020/01/02 10:39:00 PM GMT+1","7","4","5","6","7","6","8","5","1","6","7","8","7","3","1","4","8","Yes"
"2020/01/02 10:40:11 PM GMT+1","6","3","4","4","3","4","6","4","2","4","7","","","3","2","2","8",""
"2020/01/02 10:40:22 PM GMT+1","3","3","5","6","6","7","6","6","4","4","6","5","6","4","1","7","7","Yes"
"2020/01/02 10:41:23 PM GMT+1","4","2","4","6","7","7","6","5","1","6","7","5","5","2","3","1","9","Yes"
