"Timestamp","David de Gea","Luke Shaw","Harry Maguire","Victor Lindelof","Aaron Wan-Bissaka","Nemanja Matic","Fred","Marcus Rashford","Jesse Lingard","Daniel James","Anthony Martial","Mason Greenwood (optional)","Andreas Pereira (optional)","Team Performance","Final Result","Ole","Arsenal","Did the ref/VAR do a good job? (optional) be unbiased please"
"2020/01/02 10:43:03 PM GMT+1","5","1","5","5","4","7","7","5","1","3","7","6","7","2","1","3","9","No"
"2020/01/02 10:44:41 PM GMT+1","2","3","4","4","5","4","6","5","3","4","6","","","2","2","4","8","No"
"2020/01/02 10:46:51 PM GMT+1","4","3","2","5","5","6","6","3","1","4","5","5","5","1","1","1","8","Yes"
"2020/01/02 10:46:55 PM GMT+1","5","4","4","6","5","5","7","5","2","6","6","7","7","3","2","3","7",""
"2020/01/02 10:47:30 PM GMT+1","5","4","6","6","6","7","8","5","4","5","6","6","7","3","1","6","8","No"
"2020/01/02 10:49:02 PM GMT+1","1","1","6","5","5","3","7","4","2","3","4","5","5","3","1","8","9","Yes"
"2020/01/02 10:49:29 PM GMT+1","5","4","4","5","6","6","7","6","3","4","4","5","6","2","3","5","7","Yes"
"2020/01/02 10:49:59 PM GMT+1","4","2","4","6","6","3","5","4","3","6","5","4","6","1","1","2","8","No"
"2020/01/02 10:50:14 PM GMT+1","3","2","4","4","5","5","6","4","2","3","6","5","5","3","2","2","6","No"
"2020/01/02 10:50:34 PM GMT+1","6","4","5","5","6","5","7","6","5","6","6","7","5","5","3","6","9","Yes"
"2020/01/02 10:50:53 PM GMT+1","3","3","3","4","5","5","7","3","2","4","7","","","2","1","2","8","No"
"2020/01/02 10:51:27 PM GMT+1","6","1","1","1","1","6","5","1","1","1","6","5","1","2","1","1","10","Yes"
"2020/01/02 10:51:46 PM GMT+1","6","4","5","5","6","5","7","6","4","5","5","6","7","4","4","3","7","Yes"
"2020/01/02 10:52:03 PM GMT+1","6","3","4","3","6","6","7","4","1","4","6","5","5","4","5","5","8","Yes"
"2020/01/02 10:52:49 PM GMT+1","6","6","5","6","6","6","6","5","4","6","7","7","6","5","7","5","7","Yes"
"2020/01/02 10:53:27 PM GMT+1","5","2","3","6","6","3","8","5","1","7","7","6","6","1","1","1","7","No"
"2020/01/02 10:54:54 PM GMT+1","4","2","5","4","4","6","7","2","1","3","5","4","2","1","1","2","6","Yes"
"2020/01/02 10:57:41 PM GMT+1","4","4","3","3","4","4","5","4","1","4","4","","","3","1","5","6","Yes"
"2020/01/02 10:57:43 PM GMT+1","5","3","3","4","5","5","6","4","2","3","3","4","6","4","2","4","8","Yes"
"2020/01/02 10:57:54 PM GMT+1","6","4","5","6","6","5","7","5","3","5","6","","","3","3","5","7","Yes"
"2020/01/02 10:59:42 PM GMT+1","4","4","4","4","5","5","7","5","3","4","5","5","6","3","2","3","6","No"
"2020/01/02 11:01:10 PM GMT+1","6","2","5","4","6","5","7","5","1","5","6","6","6","3","1","5","5","No"
"2020/01/02 11:01:38 PM GMT+1","5","4","4","5","5","6","7","4","2","4","7","6","6","4","4","4","6",""
"2020/01/02 11:01:44 PM GMT+1","4","3","3","3","3","3","4","1","1","3","4","","","2","1","3","8","Yes"
"2020/01/02 11:04:48 PM GMT+1","5","5","5","5","6","5","8","6","4","5","7","6","6","4","5","6","7","Yes"
"2020/01/02 11:07:00 PM GMT+1","4","4","5","5","5","8","9","3","2","4","8","5","7","3","3","5","7","Yes"
"2020/01/02 11:07:21 PM GMT+1","3","2","4","5","5","6","5","3","1","6","5","4","5","1","1","1","7","Yes"
"2020/01/02 11:07:34 PM GMT+1","4","2","3","4","6","2","7","6","2","5","7","7","6","1","1","2","4","Yes"
"2020/01/02 11:11:04 PM GMT+1","3","2","3","4","5","7","8","4","1","4","5","4","6","1","1","2","7","Yes"
"2020/01/02 11:11:12 PM GMT+1","5","2","3","7","4","5","5","4","1","4","6","","","1","1","1","7","Yes"
"2020/01/02 11:13:45 PM GMT+1","2","2","3","1","9","5","4","6","1","7","6","9","","3","1","2","3","No"
"2020/01/02 11:15:00 PM GMT+1","4","3","3","5","5","6","7","4","3","4","7","5","5","2","3","1","7","No"
"2020/01/02 11:16:32 PM GMT+1","3","1","2","4","6","6","7","2","1","4","6","","","1","1","2","7","No"
"2020/01/02 11:17:49 PM GMT+1","5","2","6","4","3","4","6","3","1","3","4","4","5","3","1","6","7","Yes"
"2020/01/02 11:18:12 PM GMT+1","4","3","4","5","5","5","6","5","2","3","5","4","4","4","3","3","7","No"
"2020/01/02 11:19:00 PM GMT+1","5","2","5","5","5","5","7","5","3","4","5","4","6","3","7","3","7","No"
"2020/01/02 11:19:33 PM GMT+1","4","1","4","4","6","6","7","5","1","4","5","5","6","3","4","4","7","Yes"
"2020/01/02 11:19:51 PM GMT+1","5","3","3","4","5","3","6","4","2","5","6","4","6","4","8","3","7","Yes"
"2020/01/02 11:21:40 PM GMT+1","5","3","6","6","6","7","7","5","5","5","6","10","7","5","2","10","9","Yes"
"2020/01/02 11:22:39 PM GMT+1","3","2","3","3","3","4","6","4","1","3","3","6","7","2","1","3","5","No"
"2020/01/02 11:23:30 PM GMT+1","6","4","4","6","6","5","6","5","4","5","6","","","4","3","4","8",""
"2020/01/02 11:24:48 PM GMT+1","4","1","3","4","5","4","6","5","1","5","5","5","6","1","1","3","7","Yes"
"2020/01/02 11:24:52 PM GMT+1","4","2","3","3","5","5","6","5","2","3","7","4","5","3","1","3","1","No"
"2020/01/02 11:25:47 PM GMT+1","4","2","5","4","6","5","7","3","1","4","3","6","7","1","1","1","9","Yes"
"2020/01/02 11:26:33 PM GMT+1","1","3","5","3","6","8","8","5","1","5","5","","","3","2","1","6",""
"2020/01/02 11:27:53 PM GMT+1","5","5","5","5","5","6","8","5","4","5","6","","","5","3","5","7","Yes"
"2020/01/02 11:27:54 PM GMT+1","4","2","3","3","4","6","7","1","1","1","4","","7","1","1","4","8","Yes"
"2020/01/02 11:28:27 PM GMT+1","5","1","6","6","6","4","6","5","2","4","7","6","7","4","3","4","6","Yes"
"2020/01/02 11:29:29 PM GMT+1","6","3","4","5","6","6","7","5","3","4","6","6","6","5","5","7","9","Yes"
"2020/01/02 11:29:30 PM GMT+1","5","3","4","4","5","6","6","4","2","5","5","","6","2","3","2","8","Yes"
"2020/01/02 11:30:21 PM GMT+1","4","4","5","5","6","4","6","4","2","3","7","5","2","2","1","6","6","Yes"
"2020/01/02 11:31:28 PM GMT+1","5","4","5","6","7","6","8","5","3","6","7","5","6","3","4","2","9","No"
"2020/01/02 11:31:42 PM GMT+1","3","3","4","5","5","3","6","3","2","3","4","3","4","3","3","3","6","Yes"
"2020/01/02 11:32:43 PM GMT+1","6","5","6","5","7","5","6","6","4","5","5","","","5","6","5","7",""
"2020/01/02 11:33:00 PM GMT+1","6","2","3","4","5","3","4","3","1","3","3","3","5","2","2","1","8","No"
"2020/01/02 11:35:18 PM GMT+1","3","2","4","4","4","5","5","5","1","3","5","4","5","2","1","4","6","Yes"
"2020/01/02 11:37:33 PM GMT+1","4","2","4","4","4","6","6","3","2","3","5","6","","2","1","5","7","No"
"2020/01/02 11:39:42 PM GMT+1","4","1","3","4","4","5","6","4","1","3","5","2","5","3","1","4","9","Yes"
"2020/01/02 11:40:00 PM GMT+1","6","4","4","6","5","6","5","6","1","6","6","6","6","1","1","1","8","Yes"
"2020/01/02 11:40:23 PM GMT+1","6","3","5","5","6","5","6","4","2","5","6","6","7","1","1","3","10",""
"2020/01/02 11:40:55 PM GMT+1","6","3","6","7","4","8","8","3","1","3","7","7","8","7","1","3","9","Yes"
"2020/01/02 11:41:58 PM GMT+1","5","5","4","6","6","6","6","6","1","6","6","6","6","4","4","3","6","No"
"2020/01/02 11:41:59 PM GMT+1","4","3","4","4","5","4","6","4","1","5","4","5","5","1","1","3","4","No"
"2020/01/02 11:43:31 PM GMT+1","4","1","5","6","5","6","8","5","2","5","7","6","","3","3","6","8","Yes"
"2020/01/02 11:43:45 PM GMT+1","4","2","4","4","6","6","6","2","1","4","6","","7","2","2","2","9","Yes"
"2020/01/02 11:46:19 PM GMT+1","6","3","3","5","5","6","7","4","3","3","5","6","6","2","3","3","6","Yes"
"2020/01/02 11:46:20 PM GMT+1","5","3","4","4","5","4","8","5","1","5","8","","","3","1","4","7","Yes"
"2020/01/02 11:47:17 PM GMT+1","4","2","3","5","5","6","7","5","1","5","5","","","3","5","2","8","Yes"
"2020/01/02 11:47:21 PM GMT+1","2","2","3","3","5","5","7","5","2","4","4","4","4","2","1","5","9","Yes"
"2020/01/02 11:49:32 PM GMT+1","6","6","6","7","6","6","7","5","4","5","8","6","6","5","3","7","7","Yes"
"2020/01/02 11:49:51 PM GMT+1","4","2","2","3","3","5","6","4","2","6","6","5","6","4","3","3","8",""
"2020/01/02 11:50:13 PM GMT+1","5","3","7","6","6","4","7","6","2","5","6","6","6","5","6","5","7","No"
"2020/01/02 11:53:18 PM GMT+1","7","3","3","3","4","2","2","5","2","2","3","5","4","2","1","3","8","No"
"2020/01/02 11:54:24 PM GMT+1","6","5","6","6","7","5","8","6","5","6","6","","","4","1","5","8",""
"2020/01/02 11:54:51 PM GMT+1","3","2","2","3","5","5","5","3","1","3","6","4","4","1","1","1","8","No"
"2020/01/02 11:55:14 PM GMT+1","4","2","2","3","4","4","5","3","2","3","3","3","5","2","1","2","6","Yes"
"2020/01/02 11:56:04 PM GMT+1","3","1","3","4","4","4","5","2","1","3","5","4","7","2","2","5","6","Yes"
"2020/01/02 11:56:38 PM GMT+1","5","3","7","6","6","6","8","6","2","5","8","5","6","3","6","2","8","Yes"
"2020/01/02 11:57:38 PM GMT+1","4","1","1","2","2","4","4","2","1","2","3","4","3","1","1","2","6",""
"2020/01/02 11:58:05 PM GMT+1","5","3","4","5","4","6","6","5","3","4","6","4","5","2","1","5","8","Yes"
"2020/01/02 11:59:15 PM GMT+1","2","1","3","3","5","7","7","2","1","4","6","4","4","1","1","1","4","No"
"2020/01/03 12:01:55 AM GMT+1","4","4","3","4","4","5","6","4","2","4","6","5","5","3","1","4","8","Yes"
"2020/01/03 12:02:47 AM GMT+1","5","1","3","5","4","5","6","3","1","5","7","5","5","1","1","6","9","Yes"
"2020/01/03 12:03:02 AM GMT+1","3","2","4","5","5","4","7","4","2","5","7","6","6","2","2","2","8","Yes"
"2020/01/03 12:03:48 AM GMT+1","4","3","3","6","5","4","6","3","1","4","6","4","4","1","3","1","7","No"
"2020/01/03 12:07:30 AM GMT+1","5","3","4","5","5","5","6","4","2","4","6","5","5","2","2","2","7","Yes"
"2020/01/03 12:10:01 AM GMT+1","2","2","4","10","7","4","5","7","2","9","4","7","6","3","1","8","6","No"
"2020/01/03 12:10:53 AM GMT+1","5","2","5","6","6","6","7","4","1","4","6","5","5","3","3","4","5","No"
"2020/01/03 12:10:58 AM GMT+1","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","Yes"
"2020/01/03 12:11:02 AM GMT+1","6","4","5","5","5","6","5","5","1","5","5","5","5","3","2","4","7","Yes"
"2020/01/03 12:11:12 AM GMT+1","4","1","3","5","8","8","10","6","4","4","1","7","7","1","1","1","4","Yes"
"2020/01/03 12:11:32 AM GMT+1","6","3","3","2","4","6","6","4","1","4","6","","","3","4","3","7","Yes"
"2020/01/03 12:11:54 AM GMT+1","5","2","3","4","5","5","7","4","1","4","6","4","6","1","3","2","9","Yes"
"2020/01/03 12:15:26 AM GMT+1","4","4","2","3","4","6","5","3","2","4","5","3","6","3","3","2","8","Yes"
"2020/01/03 12:15:49 AM GMT+1","7","7","6","6","9","9","6","4","2","7","6","6","6","2","1","7","8","Yes"
"2020/01/03 12:16:12 AM GMT+1","6","5","7","6","6","5","7","6","4","6","5","6","6","5","3","4","7","Yes"
"2020/01/03 12:17:24 AM GMT+1","5","1","3","3","2","3","5","2","1","2","3","4","6","2","2","2","6","Yes"
"2020/01/03 12:17:39 AM GMT+1","7","6","2","4","7","7","9","7","5","7","7","4","3","6","8","7","7","Yes"
"2020/01/03 12:18:57 AM GMT+1","3","2","2","4","4","4","8","3","1","3","2","2","5","2","1","6","8","Yes"
"2020/01/03 12:19:28 AM GMT+1","4","3","4","5","5","6","6","2","1","3","3","4","4","1","2","4","8",""
"2020/01/03 12:20:26 AM GMT+1","4","4","4","5","5","7","7","5","3","4","6","6","6","3","2","4","9","Yes"
"2020/01/03 12:20:55 AM GMT+1","5","6","5","5","6","6","7","3","2","2","4","","","3","2","2","7",""
"2020/01/03 12:22:03 AM GMT+1","3","2","3","3","4","3","6","4","1","2","6","5","3","1","1","1","5","No"
"2020/01/03 12:22:52 AM GMT+1","8","5","4","6","6","4","6","6","5","6","6","","","4","4","4","5",""
"2020/01/03 12:25:34 AM GMT+1","5","4","3","5","6","6","7","4","2","4","7","","","3","3","3","7","Yes"
"2020/01/03 12:26:17 AM GMT+1","4","6","4","6","6","3","5","4","4","6","5","7","6","5","4","5","6","No"
"2020/01/03 12:29:40 AM GMT+1","3","1","2","2","3","5","6","2","1","2","5","3","4","1","1","2","6","No"
"2020/01/03 12:32:10 AM GMT+1","7","3","6","6","7","6","8","6","3","6","7","6","7","5","2","7","8","Yes"
"2020/01/03 12:32:26 AM GMT+1","6","2","4","5","6","6","7","5","2","4","5","","","2","3","1","7","Yes"
"2020/01/03 12:33:06 AM GMT+1","4","3","4","5","7","6","7","5","2","6","7","6","6","3","1","3","8","Yes"
"2020/01/03 12:33:37 AM GMT+1","5","4","4","6","6","6","8","4","2","5","6","6","","5","1","4","8","Yes"
"2020/01/03 12:34:25 AM GMT+1","6","3","4","5","6","5","6","4","1","5","6","6","6","3","2","2","5","No"
"2020/01/03 12:36:25 AM GMT+1","4","2","3","4","5","6","7","5","2","5","7","6","6","3","2","1","8","Yes"
"2020/01/03 12:37:57 AM GMT+1","5","4","3","5","6","6","6","3","1","2","5","4","4","2","5","1","8","Yes"
"2020/01/03 12:41:28 AM GMT+1","4","3","4","5","5","5","6","5","1","5","6","6","5","1","3","2","7","Yes"
"2020/01/03 12:42:38 AM GMT+1","5","5","5","7","7","7","6","5","1","5","5","","","4","1","2","7","Yes"
"2020/01/03 12:44:58 AM GMT+1","5","2","4","4","5","5","5","6","4","5","6","","","3","1","5","5","Yes"
"2020/01/03 12:47:10 AM GMT+1","4","5","4","5","4","4","6","4","2","3","4","5","6","3","3","4","5","Yes"
"2020/01/03 12:50:37 AM GMT+1","6","2","4","4","5","7","8","3","2","4","5","3","4","4","3","4","8","No"
"2020/01/03 12:51:03 AM GMT+1","4","3","3","4","5","5","7","3","1","3","7","5","4","3","3","3","8","Yes"
"2020/01/03 12:55:05 AM GMT+1","5","2","3","4","6","4","7","3","1","4","5","6","7","2","1","4","8","No"
"2020/01/03 12:55:28 AM GMT+1","6","2","3","3","3","3","5","3","1","3","2","","","2","3","1","8",""
"2020/01/03 12:55:49 AM GMT+1","6","4","6","5","6","5","7","6","2","6","10","","","6","7","6","8",""
"2020/01/03 12:56:34 AM GMT+1","5","4","5","6","5","7","7","4","2","5","6","5","6","3","3","3","6","Yes"
"2020/01/03 1:03:49 AM GMT+1","5","2","3","4","4","6","7","5","3","3","6","5","5","2","1","2","7","Yes"
"2020/01/03 1:06:00 AM GMT+1","4","1","3","4","5","6","7","1","1","1","7","6","6","1","1","1","7","Yes"
"2020/01/03 1:09:48 AM GMT+1","3","1","1","3","5","5","6","6","1","3","6","4","5","1","10","1","8","Yes"
"2020/01/03 1:11:28 AM GMT+1","5","3","5","4","4","6","7","5","1","4","5","","","3","2","5","8",""
"2020/01/03 1:13:50 AM GMT+1","4","2","4","4","6","6","7","4","1","3","7","5","6","1","2","2","7","Yes"
"2020/01/03 1:14:30 AM GMT+1","7","1","3","5","8","7","9","5","1","4","3","","","2","1","1","9","Yes"
"2020/01/03 1:16:59 AM GMT+1","7","5","5","7","7","6","8","5","4","6","7","6","7","5","2","4","7","Yes"
"2020/01/03 1:17:20 AM GMT+1","5","2","4","4","5","4","5","5","1","4","6","","","1","1","3","8","Yes"
"2020/01/03 1:21:37 AM GMT+1","1","5","4","5","7","6","6","5","1","4","6","8","3","3","1","7","6",""
"2020/01/03 1:23:56 AM GMT+1","5","2","4","3","3","5","5","2","1","2","3","4","4","2","1","2","6","Yes"
"2020/01/03 1:25:12 AM GMT+1","4","2","3","6","5","6","8","3","1","5","7","6","6","2","1","2","5","Yes"
"2020/01/03 1:27:52 AM GMT+1","4","3","2","3","6","2","6","4","3","6","7","8","6","4","1","5","8",""
"2020/01/03 1:30:50 AM GMT+1","5","3","1","4","5","6","7","4","1","3","7","5","5","1","9","1","7","Yes"
"2020/01/03 1:31:58 AM GMT+1","5","1","4","5","6","6","7","4","1","4","7","","6","2","1","2","6","Yes"
"2020/01/03 1:33:28 AM GMT+1","4","3","3","4","5","7","8","3","3","5","8","6","6","2","1","2","9","Yes"
"2020/01/03 1:33:57 AM GMT+1","2","2","2","3","4","3","4","3","2","3","2","3","3","2","1","3","5","Yes"
"2020/01/03 1:41:21 AM GMT+1","5","4","3","5","4","3","5","5","1","4","5","5","5","3","3","4","8","Yes"
"2020/01/03 1:42:10 AM GMT+1","5","5","5","4","4","6","7","5","2","5","6","","","3","2","4","6","Yes"
"2020/01/03 1:42:55 AM GMT+1","4","2","2","5","5","5","4","1","1","2","5","3","4","1","1","1","8","Yes"
"2020/01/03 1:43:58 AM GMT+1","5","4","5","4","6","6","7","5","3","4","6","","6","4","1","6","9",""
"2020/01/03 1:59:18 AM GMT+1","6","4","7","5","5","6","5","4","3","6","6","5","4","4","3","3","7","No"
"2020/01/03 1:59:45 AM GMT+1","5","4","6","6","5","5","7","5","1","5","7","5","3","2","1","1","6","Yes"
"2020/01/03 1:59:52 AM GMT+1","5","4","2","3","5","9","4","4","4","3","3","","6","2","1","3","8",""
"2020/01/03 2:02:13 AM GMT+1","5","3","3","3","4","5","6","3","1","2","3","","","3","3","3","8","No"
"2020/01/03 2:03:24 AM GMT+1","3","3","2","4","3","4","7","2","1","4","7","5","5","1","10","1","5","No"
"2020/01/03 2:06:41 AM GMT+1","6","4","5","4","5","6","7","5","4","5","6","5","5","5","3","4","7","No"
"2020/01/03 2:10:26 AM GMT+1","4","2","2","2","6","4","8","3","1","5","8","7","7","3","3","2","6","No"
"2020/01/03 2:10:53 AM GMT+1","4","4","4","4","4","3","5","4","1","4","4","","","3","1","2","7","No"
"2020/01/03 2:13:35 AM GMT+1","4","3","2","3","4","3","3","2","1","2","3","5","5","2","2","1","8","Yes"
"2020/01/03 2:15:21 AM GMT+1","4","2","3","5","4","4","6","4","1","2","4","4","6","2","1","1","5","No"
"2020/01/03 2:16:31 AM GMT+1","5","3","3","3","5","5","7","4","2","4","6","5","6","3","1","5","7","Yes"
"2020/01/03 2:22:34 AM GMT+1","5","3","7","8","7","6","9","6","2","6","6","6","6","2","1","5","9","Yes"
"2020/01/03 2:24:13 AM GMT+1","4","3","3","3","6","5","4","4","3","5","5","6","5","3","3","5","8","No"
"2020/01/03 2:26:03 AM GMT+1","6","1","3","4","6","5","7","4","1","5","6","6","6","3","2","2","7","No"
"2020/01/03 2:26:27 AM GMT+1","4","1","2","2","3","3","6","2","1","5","6","5","5","1","1","1","7","No"
"2020/01/03 2:28:57 AM GMT+1","4","3","3","6","6","7","8","5","3","6","6","6","7","4","1","7","9","Yes"
"2020/01/03 2:29:40 AM GMT+1","6","1","7","7","9","7","6","6","1","5","7","6","6","3","1","2","6","Yes"
"2020/01/03 2:29:57 AM GMT+1","5","3","4","5","6","6","7","4","1","4","4","","","2","4","4","7","Yes"
"2020/01/03 2:39:09 AM GMT+1","5","4","3","5","7","5","8","5","3","4","6","6","6","4","5","3","7","Yes"
"2020/01/03 2:40:14 AM GMT+1","6","4","5","5","6","6","7","5","4","4","7","","","4","5","6","8","Yes"
"2020/01/03 2:42:33 AM GMT+1","5","5","4","7","6","4","7","7","3","5","5","","","3","3","3","8","Yes"
"2020/01/03 2:43:06 AM GMT+1","2","1","2","2","2","1","4","1","1","2","1","2","2","2","2","2","5","Yes"
"2020/01/03 2:43:21 AM GMT+1","2","1","2","2","2","2","4","4","1","3","3","4","4","1","1","1","5","Yes"
"2020/01/03 2:44:21 AM GMT+1","5","3","4","5","6","5","7","6","5","6","6","","","3","3","4","6","No"
"2020/01/03 2:48:05 AM GMT+1","3","2","3","3","5","4","5","3","1","3","6","5","4","1","10","1","5","Yes"
"2020/01/03 2:48:12 AM GMT+1","4","2","2","3","4","3","6","2","1","3","6","3","5","1","1","1","6","No"
"2020/01/03 2:49:27 AM GMT+1","4","1","3","5","6","6","7","4","1","3","5","6","4","1","1","1","6","No"
"2020/01/03 2:55:49 AM GMT+1","3","3","4","4","4","3","3","3","2","4","3","","","2","2","2","8","Yes"
"2020/01/03 2:58:13 AM GMT+1","5","3","3","6","6","6","7","5","2","6","6","6","6","3","1","4","7","No"
"2020/01/03 3:00:19 AM GMT+1","5","4","4","4","6","3","3","5","4","4","4","","","3","3","2","7",""
"2020/01/03 3:03:25 AM GMT+1","5","3","4","4","4","4","6","5","1","4","6","6","6","3","1","3","7","Yes"
"2020/01/03 3:04:17 AM GMT+1","5","2","3","5","6","5","7","3","1","2","6","","7","3","1","4","7",""
"2020/01/03 3:04:58 AM GMT+1","5","6","5","7","6","3","8","5","2","5","7","8","8","5","3","10","3","Yes"
"2020/01/03 3:10:49 AM GMT+1","6","3","3","4","5","4","7","3","2","3","4","5","5","4","4","5","8","Yes"
"2020/01/03 3:16:46 AM GMT+1","4","3","3","5","4","5","6","4","3","3","3","5","6","3","2","3","7","Yes"
"2020/01/03 3:20:21 AM GMT+1","4","2","3","4","6","1","6","3","1","3","4","5","5","2","1","2","6","No"
"2020/01/03 3:20:52 AM GMT+1","4","1","3","4","5","5","7","3","2","3","7","5","","3","3","2","8","Yes"
"2020/01/03 3:21:03 AM GMT+1","4","8","5","4","6","6","8","4","3","3","3","5","5","4","1","1","7","Yes"
"2020/01/03 3:39:39 AM GMT+1","3","3","3","5","5","5","5","4","4","5","5","5","6","2","2","1","4","Yes"
"2020/01/03 3:42:28 AM GMT+1","3","1","8","2","4","6","10","5","1","5","8","3","8","4","8","5","9","Yes"
"2020/01/03 3:49:59 AM GMT+1","3","2","2","3","4","2","7","3","1","5","6","","","2","1","1","7",""
"2020/01/03 3:52:38 AM GMT+1","4","2","4","5","5","8","7","4","1","3","7","6","6","2","2","2","6","Yes"
"2020/01/03 3:56:27 AM GMT+1","5","4","3","4","6","4","7","5","3","5","5","5","6","4","2","4","6","No"
"2020/01/03 3:59:28 AM GMT+1","6","6","5","5","6","6","6","5","3","4","4","","","4","2","4","8","Yes"
"2020/01/03 3:59:54 AM GMT+1","5","6","5","3","5","5","3","3","1","2","3","","","3","1","2","5","Yes"
"2020/01/03 4:02:54 AM GMT+1","5","4","3","4","4","4","6","2","2","6","4","5","3","1","3","3","5","Yes"
