"Timestamp","De Gea","Williams","Maguire","Lindelof","AWB","Fred","Matic","Rashford","Pereira","Mata","Martial","James (optional)","Greenwood (optional)","Team Performance","Final Result","Ole","Norwich","Did the ref/VAR do a good job?"
"2020/01/12 6:35:57 PM GMT+1","8","8","9","9","9","8","7","10","8","9","8","7","8","8","9","9","4","Yes"
"2020/01/12 6:36:25 PM GMT+1","8","8","7","7","8","9","8","10","8","8","8","6","8","8","10","9","2","Yes"
"2020/01/12 6:37:43 PM GMT+1","7","7","6","6","7","8","8","9","7","9","7","6","7","7","9","8","4","No"
"2020/01/12 6:38:37 PM GMT+1","7","8","7","7","7","8","7","9","7","9","8","6","8","8","9","8","3","Yes"
"2020/01/12 6:38:54 PM GMT+1","7","9","8","8","8","10","9","10","8","10","9","7","8","9","10","10","2","Yes"
"2020/01/12 6:39:55 PM GMT+1","8","8","7","7","7","9","8","8","7","8","7","6","7","8","8","8","3","Yes"
"2020/01/12 6:39:56 PM GMT+1","8","8","8","8","7","8","8","10","7","8","9","","","9","10","10","1","Yes"
"2020/01/12 6:40:35 PM GMT+1","7","7","7","7","7","8","7","9","7","8","6","5","7","7","8","8","5","Yes"
"2020/01/12 6:40:43 PM GMT+1","7","8","7","7","7","8","7","8","7","8","8","6","7","8","10","7","4","Yes"
"2020/01/12 6:41:09 PM GMT+1","9","9","9","9","9","10","8","10","9","10","8","8","10","9","10","10","3","Yes"
"2020/01/12 6:41:15 PM GMT+1","8","8","8","7","7","7","8","8","8","9","8","","8","9","8","8","3","Yes"
"2020/01/12 6:42:14 PM GMT+1","7","7","6","6","7","8","7","8","8","9","7","6","7","8","8","7","3","No"
"2020/01/12 6:42:34 PM GMT+1","6","8","7","7","6","7","7","8","7","8","7","5","7","8","9","8","3","Yes"
"2020/01/12 6:42:40 PM GMT+1","7","7","7","7","7","7","8","8","6","8","7","6","7","8","8","7","5","Yes"
"2020/01/12 6:42:41 PM GMT+1","8","8","7","7","8","8","8","9","8","10","8","7","8","8","8","6","2","Yes"
"2020/01/12 6:42:43 PM GMT+1","7","7","7","7","7","7","7","8","6","8","7","7","8","7","8","7","3","Yes"
"2020/01/12 6:43:04 PM GMT+1","9","9","8","8","7","8","8","10","8","8","7","","9","9","9","9","2","Yes"
"2020/01/12 6:43:16 PM GMT+1","7","8","7","7","8","7","8","10","7","10","9","7","8","9","10","9","2","Yes"
"2020/01/12 6:43:22 PM GMT+1","8","9","9","9","8","9","9","10","8","10","9","7","9","10","10","10","5","Yes"
"2020/01/12 6:43:29 PM GMT+1","9","7","8","9","7","8","9","10","7","9","5","","7","9","10","9","3","Yes"
"2020/01/12 6:43:31 PM GMT+1","7","7","8","7","7","7","8","9","2","9","8","","8","9","9","8","3","Yes"
"2020/01/12 6:43:45 PM GMT+1","9","9","9","9","9","9","9","10","9","10","9","8","9","10","10","10","3","Yes"
"2020/01/12 6:44:10 PM GMT+1","8","8","7","7","7","8","7","9","8","9","9","7","9","9","10","8","5","Yes"
"2020/01/12 6:44:21 PM GMT+1","8","9","7","7","7","7","7","9","6","9","8","6","8","9","10","9","1","Yes"
"2020/01/12 6:44:32 PM GMT+1","7","8","8","8","8","7","7","7","7","7","6","5","7","8","9","9","3","Yes"
"2020/01/12 6:44:39 PM GMT+1","9","9","9","9","9","9","9","10","8","9","8","7","9","8","8","10","6","Yes"
"2020/01/12 6:44:42 PM GMT+1","7","8","7","7","7","7","7","8","6","9","7","6","8","6","9","8","4","Yes"
"2020/01/12 6:44:51 PM GMT+1","7","7","6","6","6","6","7","8","6","8","7","4","7","7","9","6","1","No"
"2020/01/12 6:44:59 PM GMT+1","9","9","9","8","8","8","8","9","7","10","9","7","8","9","10","10","5","Yes"
"2020/01/12 6:45:09 PM GMT+1","8","10","10","7","9","8","8","10","7","9","8","","8","9","8","9","4","Yes"
"2020/01/12 6:45:34 PM GMT+1","7","9","7","7","7","8","7","7","7","10","7","6","7","8","10","7","5","Yes"
"2020/01/12 6:46:05 PM GMT+1","10","10","8","8","8","8","8","9","8","10","8","","","9","10","8","4","Yes"
"2020/01/12 6:46:06 PM GMT+1","8","8","7","7","7","8","8","9","7","10","9","","9","9","9","8","2",""
"2020/01/12 6:46:14 PM GMT+1","7","8","7","7","7","8","8","9","7","9","8","7","8","8","9","8","3",""
"2020/01/12 6:46:22 PM GMT+1","7","9","7","7","7","9","8","10","8","10","9","7","8","9","10","10","2","No"
"2020/01/12 6:46:32 PM GMT+1","8","7","7","7","8","8","8","9","7","10","8","6","8","9","10","8","3","Yes"
"2020/01/12 6:46:53 PM GMT+1","8","10","7","8","8","9","8","10","7","9","8","8","9","9","10","8","8","Yes"
"2020/01/12 6:46:58 PM GMT+1","7","7","7","7","7","7","7","8","7","8","8","7","8","9","10","8","5","No"
"2020/01/12 6:47:07 PM GMT+1","7","7","6","7","7","7","7","7","6","8","7","6","9","8","9","8","4","No"
"2020/01/12 6:47:13 PM GMT+1","9","10","8","8","8","9","8","10","8","10","9","7","9","10","9","9","2","Yes"
"2020/01/12 6:47:18 PM GMT+1","9","7","7","7","7","8","9","9","7","9","8","","9","7","10","9","3","Yes"
"2020/01/12 6:47:29 PM GMT+1","7","8","7","7","7","7","8","9","7","8","7","","8","9","9","8","5","Yes"
"2020/01/12 6:47:39 PM GMT+1","8","8","7","7","7","7","7","9","7","8","8","","8","9","10","8","3","Yes"
"2020/01/12 6:48:09 PM GMT+1","7","8","6","7","7","7","7","8","7","8","8","7","9","9","9","8","3","Yes"
"2020/01/12 6:48:24 PM GMT+1","7","8","7","7","7","7","7","9","7","9","8","6","7","7","8","8","3","Yes"
"2020/01/12 6:48:35 PM GMT+1","7","8","7","7","6","7","7","8","7","9","7","","7","8","8","8","5",""
"2020/01/12 6:49:03 PM GMT+1","6","8","7","7","6","7","7","8","7","8","6","","6","8","8","8","2","Yes"
"2020/01/12 6:50:11 PM GMT+1","6","7","6","6","6","7","7","8","6","6","7","6","7","6","7","2","2","Yes"
"2020/01/12 6:50:41 PM GMT+1","7","9","8","8","8","8","8","9","8","10","8","","","9","9","9","3","Yes"
"2020/01/12 6:51:02 PM GMT+1","7","8","7","7","7","8","7","8","6","9","7","7","7","8","10","8","1","Yes"
"2020/01/12 6:51:25 PM GMT+1","8","9","8","9","6","8","9","10","7","9","8","","","9","10","8","2","Yes"
"2020/01/12 6:51:39 PM GMT+1","7","8","7","7","7","8","8","9","7","9","8","7","7","8","10","8","4","Yes"
"2020/01/12 6:51:52 PM GMT+1","9","9","9","8","7","9","8","10","7","8","8","7","10","10","10","8","2","Yes"
"2020/01/12 6:52:51 PM GMT+1","8","9","8","8","7","9","8","9","8","9","8","6","7","10","10","8","3","Yes"
"2020/01/12 6:53:01 PM GMT+1","7","8","7","7","7","7","7","9","7","9","8","7","8","8","8","8","2","Yes"
"2020/01/12 6:53:37 PM GMT+1","8","8","7","8","7","7","7","9","5","9","8","7","8","9","9","9","3","Yes"
"2020/01/12 6:54:09 PM GMT+1","8","9","7","7","7","8","6","10","8","9","9","","","9","9","8","4","Yes"
"2020/01/12 6:54:33 PM GMT+1","6","6","7","7","6","7","7","9","8","10","9","","10","9","9","8","2","Yes"
"2020/01/12 6:55:10 PM GMT+1","7","6","8","7","7","7","7","9","7","8","7","6","7","8","9","8","3","Yes"
"2020/01/12 6:55:38 PM GMT+1","9","9","8","8","8","9","8","9","9","9","8","8","9","9","9","9","6","Yes"
"2020/01/12 6:56:31 PM GMT+1","5","7","5","5","5","7","6","7","5","7","6","5","6","6","6","6","3","Yes"
"2020/01/12 6:56:46 PM GMT+1","8","9","8","8","8","9","8","10","8","10","8","7","8","8","10","9","3","Yes"
"2020/01/12 6:56:55 PM GMT+1","7","8","7","8","7","8","8","8","6","9","7","6","7","8","8","8","3","No"
"2020/01/12 6:57:31 PM GMT+1","9","8","9","9","9","10","9","10","8","10","9","7","10","9","9","10","2","Yes"
"2020/01/12 6:57:48 PM GMT+1","5","6","3","10","8","6","5","10","6","5","8","10","8","7","7","10","4","Yes"
"2020/01/12 6:58:11 PM GMT+1","9","9","8","9","8","8","7","9","7","8","8","6","8","9","10","10","2","Yes"
"2020/01/12 6:59:06 PM GMT+1","8","8","7","7","7","7","8","9","6","10","8","5","8","9","9","8","2","Yes"
"2020/01/12 6:59:23 PM GMT+1","7","8","7","7","6","6","6","8","6","8","6","","7","7","8","7","4","Yes"
"2020/01/12 6:59:26 PM GMT+1","7","8","7","7","7","7","7","8","7","8","8","7","8","8","8","8","5","Yes"
"2020/01/12 6:59:33 PM GMT+1","7","7","7","6","6","7","7","8","7","7","6","6","7","8","10","8","2","Yes"
"2020/01/12 6:59:37 PM GMT+1","6","6","7","7","6","7","8","7","7","8","7","6","7","7","7","6","3","Yes"
"2020/01/12 6:59:43 PM GMT+1","8","7","7","7","8","7","7","9","7","8","8","","8","9","10","7","4","Yes"
"2020/01/12 7:00:10 PM GMT+1","8","8","7","7","7","8","7","9","7","7","7","","","8","9","7","5","Yes"
"2020/01/12 7:00:33 PM GMT+1","6","8","7","7","7","7","9","9","7","8","8","7","8","8","9","9","3","Yes"
"2020/01/12 7:00:51 PM GMT+1","8","9","8","8","8","9","8","10","9","10","8","8","9","9","9","8","5","Yes"
"2020/01/12 7:01:17 PM GMT+1","7","7","8","8","8","7","8","9","7","9","9","7","8","9","10","8","4","Yes"
"2020/01/12 7:01:24 PM GMT+1","7","8","7","8","7","9","9","9","7","9","8","","","9","9","8","2",""
"2020/01/12 7:01:50 PM GMT+1","7","9","7","7","7","8","8","10","7","9","8","7","8","8","10","9","3","Yes"
"2020/01/12 7:02:00 PM GMT+1","8","9","8","7","7","8","7","9","7","10","8","6","7","10","10","10","3","Yes"
"2020/01/12 7:02:15 PM GMT+1","8","9","8","8","7","8","8","9","7","9","7","6","7","9","10","9","2","Yes"
"2020/01/12 7:02:16 PM GMT+1","8","9","8","7","7","8","9","9","7","9","8","","","8","9","8","5","Yes"
"2020/01/12 7:02:24 PM GMT+1","7","10","7","7","7","7","5","8","6","9","7","5","9","8","10","10","1","Yes"
"2020/01/12 7:03:03 PM GMT+1","6","8","7","7","7","7","6","9","5","8","7","","","8","10","8","4","Yes"
"2020/01/12 7:03:46 PM GMT+1","7","7","7","6","8","8","7","9","6","10","8","5","8","9","9","8","4","Yes"
"2020/01/12 7:04:16 PM GMT+1","7","8","7","7","7","8","8","9","8","8","8","6","7","8","9","10","6","Yes"
"2020/01/12 7:04:20 PM GMT+1","7","8","7","7","7","8","8","9","6","10","8","6","8","9","10","7","3","Yes"
"2020/01/12 7:04:31 PM GMT+1","7","9","7","7","9","7","7","9","7","9","7","4","7","9","10","9","2","Yes"
"2020/01/12 7:04:41 PM GMT+1","8","7","8","8","7","8","8","9","7","10","8","7","8","8","9","10","4","Yes"
"2020/01/12 7:05:10 PM GMT+1","7","8","6","6","7","7","8","9","7","9","8","6","8","9","9","7","2",""
"2020/01/12 7:05:12 PM GMT+1","8","9","8","8","8","9","8","10","7","10","8","","8","9","10","8","1","Yes"
"2020/01/12 7:05:41 PM GMT+1","8","8","7","8","8","8","8","9","5","9","8","6","9","9","10","8","5","Yes"
"2020/01/12 7:06:05 PM GMT+1","8","8","7","7","7","8","7","9","8","9","8","8","10","9","10","10","6","Yes"
"2020/01/12 7:06:46 PM GMT+1","7","8","7","9","7","7","5","9","6","7","7","5","8","8","9","6","3","No"
"2020/01/12 7:06:54 PM GMT+1","8","8","7","7","7","8","7","9","6","8","8","5","7","8","10","7","3","Yes"
"2020/01/12 7:07:12 PM GMT+1","8","8","7","7","7","7","7","8","7","8","8","","","9","9","7","5","Yes"
"2020/01/12 7:07:13 PM GMT+1","7","9","7","7","8","8","7","9","8","9","8","5","7","9","9","8","3","Yes"
"2020/01/12 7:07:29 PM GMT+1","7","7","9","7","7","7","8","8","5","8","7","6","8","8","7","7","2","Yes"
"2020/01/12 7:07:36 PM GMT+1","10","10","9","9","7","8","4","10","10","7","9","8","9","9","10","9","4","Yes"
"2020/01/12 7:08:34 PM GMT+1","8","8","7","7","7","7","7","9","7","9","8","6","8","8","10","10","2","Yes"
"2020/01/12 7:08:58 PM GMT+1","7","7","7","7","7","7","8","8","7","9","7","6","7","8","8","7","3","Yes"
"2020/01/12 7:09:12 PM GMT+1","8","9","8","8","8","8","8","9","8","9","8","6","8","9","9","8","3","Yes"
"2020/01/12 7:09:37 PM GMT+1","8","7","7","7","7","7","5","7","5","8","7","5","8","7","8","6","4","Yes"
"2020/01/12 7:10:13 PM GMT+1","7","8","6","7","7","9","8","9","8","9","8","6","8","9","10","8","7","Yes"
"2020/01/12 7:10:38 PM GMT+1","6","6","6","6","6","6","6","8","6","8","7","6","7","7","7","6","2","Yes"
"2020/01/12 7:10:41 PM GMT+1","6","7","6","6","6","7","6","10","6","7","7","5","7","9","10","7","4","Yes"
"2020/01/12 7:11:09 PM GMT+1","6","8","7","7","7","7","8","9","6","9","6","","7","8","9","8","4","Yes"
"2020/01/12 7:12:31 PM GMT+1","8","9","8","8","8","9","8","9","8","10","10","8","9","9","10","8","3","Yes"
"2020/01/12 7:13:28 PM GMT+1","8","9","8","8","6","8","8","9","7","9","8","6","8","9","9","9","3","No"
"2020/01/12 7:13:56 PM GMT+1","8","8","8","8","8","8","8","9","7","9","8","","","9","9","9","4","Yes"
"2020/01/12 7:14:23 PM GMT+1","6","8","7","7","7","7","6","9","6","8","8","5","7","8","9","9","2","Yes"
"2020/01/12 7:14:27 PM GMT+1","7","8","7","7","7","8","7","9","7","8","7","5","7","8","9","8","2","Yes"
"2020/01/12 7:14:55 PM GMT+1","6","8","7","7","7","7","7","8","6","8","7","","","7","8","7","3","Yes"
"2020/01/12 7:15:08 PM GMT+1","9","9","9","9","9","10","8","10","7","8","9","7","7","10","10","9","4",""
"2020/01/12 7:15:16 PM GMT+1","8","8","7","7","7","7","7","8","7","9","7","7","8","8","10","8","1","No"
"2020/01/12 7:15:49 PM GMT+1","8","7","7","7","7","6","7","9","7","8","7","6","8","8","10","10","4","Yes"
"2020/01/12 7:16:08 PM GMT+1","7","10","7","8","7","8","7","10","8","10","8","6","8","9","10","8","5","Yes"
"2020/01/12 7:16:19 PM GMT+1","8","8","7","7","7","9","8","9","7","9","8","6","9","10","10","9","1","Yes"
"2020/01/12 7:18:09 PM GMT+1","7","8","6","6","6","7","7","9","7","8","8","","8","8","8","8","1",""
"2020/01/12 7:18:11 PM GMT+1","7","7","7","7","7","7","7","9","7","8","7","6","8","9","9","8","5","Yes"
"2020/01/12 7:18:40 PM GMT+1","7","7","8","7","7","8","7","9","8","9","8","","","9","10","8","3","Yes"
"2020/01/12 7:18:55 PM GMT+1","6","9","7","7","7","8","7","9","7","9","8","5","7","8","9","7","3","Yes"
"2020/01/12 7:19:18 PM GMT+1","9","9","8","8","7","8","8","9","7","9","8","","8","9","9","8","3","Yes"
"2020/01/12 7:20:08 PM GMT+1","7","8","7","7","7","7","7","8","6","8","7","6","7","8","9","8","4","Yes"
"2020/01/12 7:20:51 PM GMT+1","10","6","7","7","7","7","8","10","6","10","8","6","8","10","10","7","1","Yes"
"2020/01/12 7:21:02 PM GMT+1","7","9","8","8","8","7","7","10","7","10","9","7","9","10","8","8","4","Yes"
"2020/01/12 7:21:08 PM GMT+1","6","7","6","6","6","7","6","8","7","8","7","6","8","7","8","6","2","Yes"
"2020/01/12 7:21:22 PM GMT+1","6","7","7","7","6","7","7","8","7","8","8","6","7","7","9","8","3","Yes"
"2020/01/12 7:21:46 PM GMT+1","8","8","7","7","7","7","7","9","7","9","8","7","8","8","10","7","1","Yes"
"2020/01/12 7:22:01 PM GMT+1","7","7","7","7","7","7","7","9","6","9","8","7","8","8","8","7","4","Yes"
"2020/01/12 7:22:22 PM GMT+1","7","9","7","8","7","9","8","9","7","7","7","7","8","8","9","8","8","Yes"
"2020/01/12 7:22:26 PM GMT+1","7","8","7","7","7","7","7","9","7","9","8","6","7","9","10","8","3",""
"2020/01/12 7:22:30 PM GMT+1","7","7","6","6","6","7","7","9","5","9","7","6","8","8","9","7","4","Yes"
"2020/01/12 7:22:52 PM GMT+1","10","8","8","9","9","9","9","10","7","10","8","7","8","10","9","8","3","Yes"
"2020/01/12 7:23:27 PM GMT+1","7","8","7","4","7","7","7","9","6","9","7","7","8","8","8","8","2","Yes"
"2020/01/12 7:23:56 PM GMT+1","7","8","8","7","6","6","7","9","7","10","7","","7","9","10","8","4","Yes"
"2020/01/12 7:24:00 PM GMT+1","6","7","6","6","6","7","7","9","7","8","8","6","7","8","9","9","3","Yes"
"2020/01/12 7:24:10 PM GMT+1","7","8","8","7","8","6","9","10","6","10","9","6","7","10","10","7","4","Yes"
"2020/01/12 7:24:49 PM GMT+1","7","8","6","7","7","7","8","9","8","9","9","7","8","8","8","8","4","Yes"
"2020/01/12 7:25:09 PM GMT+1","7","9","7","8","7","8","8","8","8","10","8","","","8","8","9","2","Yes"
"2020/01/12 7:25:09 PM GMT+1","7","8","6","7","7","6","8","9","7","10","7","6","8","8","10","9","3",""
"2020/01/12 7:25:11 PM GMT+1","7","8","7","7","7","8","7","8","6","8","7","","","8","10","8","4","Yes"
"2020/01/12 7:26:24 PM GMT+1","7","8","7","7","7","7","7","7","6","7","8","6","9","7","8","6","2","Yes"
"2020/01/12 7:26:47 PM GMT+1","7","9","7","8","8","8","8","10","7","9","8","6","10","10","10","8","4","Yes"
"2020/01/12 7:27:12 PM GMT+1","6","8","7","7","7","9","8","9","7","8","8","5","7","7","8","7","2","Yes"
"2020/01/12 7:27:55 PM GMT+1","8","7","7","7","8","7","6","8","7","8","7","","","7","7","7","2","Yes"
"2020/01/12 7:28:03 PM GMT+1","8","8","7","7","7","8","8","9","7","8","8","6","8","8","9","9","6","Yes"
"2020/01/12 7:28:05 PM GMT+1","7","9","6","6","8","7","9","9","7","9","8","6","8","8","8","7","4","Yes"
"2020/01/12 7:28:50 PM GMT+1","7","8","8","8","7","8","7","9","6","9","8","","","7","8","8","4","Yes"
"2020/01/12 7:28:53 PM GMT+1","7","9","8","7","7","9","7","10","8","8","8","6","8","8","8","7","4","Yes"
"2020/01/12 7:29:30 PM GMT+1","7","8","7","8","7","8","7","9","8","9","8","6","7","9","9","9","2","Yes"
"2020/01/12 7:29:33 PM GMT+1","9","8","8","8","7","9","8","9","8","8","8","8","8","8","9","7","5","Yes"
"2020/01/12 7:30:10 PM GMT+1","8","7","7","8","7","8","8","9","7","8","8","6","7","9","9","9","3","No"
"2020/01/12 7:30:24 PM GMT+1","7","9","8","9","7","9","8","9","7","10","8","7","8","9","9","8","2","Yes"
"2020/01/12 7:30:44 PM GMT+1","7","8","7","7","7","7","7","9","6","9","8","","8","9","9","9","2","Yes"
"2020/01/12 7:31:16 PM GMT+1","7","8","8","8","6","7","7","8","6","8","7","","","8","9","8","2","Yes"
"2020/01/12 7:31:50 PM GMT+1","8","8","6","6","6","6","8","9","6","8","7","6","7","7","7","6","3","Yes"
"2020/01/12 7:32:27 PM GMT+1","8","9","7","8","7","8","8","9","7","8","7","6","7","8","8","8","4","Yes"
"2020/01/12 7:33:10 PM GMT+1","8","8","8","8","9","9","8","9","7","10","9","","8","9","10","8","4","Yes"
"2020/01/12 7:33:20 PM GMT+1","6","9","6","7","8","9","7","9","8","9","7","7","8","9","10","8","3","No"
"2020/01/12 7:35:10 PM GMT+1","8","8","8","8","8","9","8","9","8","9","9","8","8","8","10","10","3",""
"2020/01/12 7:35:25 PM GMT+1","7","6","4","4","8","8","2","8","6","9","7","7","7","9","7","1","1","No"
"2020/01/12 7:35:32 PM GMT+1","7","8","7","7","7","7","7","9","7","9","8","","7","8","9","8","2","Yes"
"2020/01/12 7:36:56 PM GMT+1","7","7","7","7","7","8","7","8","8","8","7","7","8","8","8","8","1","Yes"
"2020/01/12 7:37:13 PM GMT+1","7","8","7","7","7","7","7","9","7","9","8","7","8","8","8","8","2","Yes"
"2020/01/12 7:38:00 PM GMT+1","8","8","7","7","7","8","8","9","7","9","8","6","8","8","9","9","3","Yes"
"2020/01/12 7:38:21 PM GMT+1","8","8","7","8","8","9","8","10","7","9","9","7","10","9","10","10","2","Yes"
"2020/01/12 7:39:24 PM GMT+1","7","9","7","7","8","8","8","8","7","8","7","7","8","9","10","8","1","Yes"
"2020/01/12 7:43:02 PM GMT+1","9","9","8","8","8","8","8","9","7","9","8","8","9","10","10","9","5","Yes"
"2020/01/12 7:43:05 PM GMT+1","8","9","7","8","8","8","8","10","8","10","9","","","9","10","9","3",""
"2020/01/12 7:43:20 PM GMT+1","7","8","6","7","7","8","8","9","8","9","8","6","7","9","10","8","3","Yes"
"2020/01/12 7:43:34 PM GMT+1","7","7","7","7","6","8","8","9","7","9","8","6","8","8","8","8","4","Yes"
"2020/01/12 7:45:05 PM GMT+1","7","9","8","8","7","8","7","9","8","8","7","6","8","8","8","9","3","Yes"
