"Timestamp","De Gea","Shaw","Maguire","Lindelof","AWB","Williams","Fred","Matic","Pereira","Martial","James","Mata (optional)","Greenwood (optional)","Team Performance","Final Result","Ole","Liverpool (be realistic please)","Did the ref/VAR do a good job? (optional)"
"2020/01/21 4:55:28 PM GMT+1","6","6","6","4","5","5","7","6","4","5","5","","","5","3","6","7","Yes"
"2020/01/21 4:55:30 PM GMT+1","5","6","5","5","7","6","7","7","4","5","4","5","4","6","2","2","7","Yes"
"2020/01/21 4:55:47 PM GMT+1","7","8","5","6","5","6","9","7","3","6","5","","","6","4","7","9","No"
"2020/01/21 4:56:30 PM GMT+1","8","5","4","3","9","4","7","5","3","4","3","","","3","1","2","6","No"
"2020/01/21 4:56:38 PM GMT+1","6","6","5","6","6","7","8","7","5","5","4","6","","5","4","4","7","Yes"
"2020/01/21 4:57:01 PM GMT+1","6","5","4","4","3","5","7","4","4","4","2","6","4","5","2","6","7","No"
"2020/01/21 4:58:02 PM GMT+1","7","6","6","6","6","6","7","6","5","6","5","5","5","5","4","5","6","Yes"
"2020/01/21 4:58:03 PM GMT+1","8","6","7","6","7","5","8","5","5","7","4","5","5","7","1","10","7","No"
"2020/01/21 4:58:44 PM GMT+1","8","7","6","5","5","6","7","5","4","6","5","","","6","6","10","1","No"
"2020/01/21 4:59:03 PM GMT+1","8","7","6","7","6","7","7","7","7","7","6","6","6","8","4","9","8","No"
"2020/01/21 4:59:08 PM GMT+1","8","9","6","7","7","8","7","8","4","6","5","6","6","6","7","5","9","Yes"
"2020/01/21 4:59:11 PM GMT+1","7","5","4","3","4","4","8","6","3","4","2","","","4","2","2","8","No"
"2020/01/21 4:59:18 PM GMT+1","9","6","5","4","5","5","8","6","1","4","5","","","5","1","4","6","No"
"2020/01/21 4:59:22 PM GMT+1","8","5","5","6","6","7","9","7","5","5","5","","","6","4","4","9","No"
"2020/01/21 4:59:41 PM GMT+1","6","6","6","6","6","6","9","7","4","5","5","6","","6","1","6","6","No"
"2020/01/21 5:00:28 PM GMT+1","6","3","6","1","5","7","8","6","1","1","1","1","1","4","1","1","9","Yes"
"2020/01/21 5:00:49 PM GMT+1","7","7","5","5","5","7","9","6","5","5","5","4","4","6","3","7","7","No"
"2020/01/21 5:01:06 PM GMT+1","6","7","6","6","7","6","9","8","3","5","3","5","4","3","2","6","9","No"
"2020/01/21 5:01:11 PM GMT+1","6","7","6","6","5","6","8","7","6","6","5","","","6","3","6","7","Yes"
"2020/01/21 5:01:15 PM GMT+1","8","7","6","6","7","5","8","6","7","7","7","7","","7","5","6","8","No"
"2020/01/21 5:01:25 PM GMT+1","7","8","5","5","3","6","9","7","5","6","5","","","7","5","7","8","Yes"
"2020/01/21 5:01:32 PM GMT+1","7","5","6","6","7","6","8","7","6","6","6","6","5","6","6","7","8","Yes"
"2020/01/21 5:02:01 PM GMT+1","7","7","6","6","4","7","8","6","2","4","3","","","6","4","5","6","No"
"2020/01/21 5:02:22 PM GMT+1","6","5","5","5","5","6","7","6","5","5","5","5","5","5","1","6","8","No"
"2020/01/21 5:02:51 PM GMT+1","6","4","4","3","6","7","7","4","2","4","4","4","5","4","3","4","8","No"
"2020/01/21 5:03:19 PM GMT+1","7","7","5","5","5","6","8","7","3","7","5","5","5","5","1","5","10","No"
"2020/01/21 5:03:59 PM GMT+1","8","7","5","7","8","7","9","6","4","4","3","6","6","6","6","4","9","No"
"2020/01/21 5:04:58 PM GMT+1","8","7","6","5","8","6","8","7","4","5","5","","","6","1","6","8","No"
"2020/01/21 5:05:08 PM GMT+1","7","7","6","5","6","6","10","7","4","7","4","7","6","6","3","7","7","No"
"2020/01/21 5:05:38 PM GMT+1","6","5","6","6","6","6","8","6","5","5","6","","","5","3","7","6","No"
"2020/01/21 5:05:41 PM GMT+1","7","8","9","9","8","8","8","7","7","7","7","8","7","6","4","7","8","No"
"2020/01/21 5:05:57 PM GMT+1","6","7","6","6","6","6","8","6","4","5","4","5","5","5","5","5","6","No"
"2020/01/21 5:06:09 PM GMT+1","10","8","6","5","5","7","8","7","6","7","6","7","7","8","5","6","9","No"
"2020/01/21 5:06:39 PM GMT+1","9","7","7","7","8","8","9","6","7","7","7","","","7","4","8","7","No"
"2020/01/21 5:06:45 PM GMT+1","7","5","6","5","5","6","7","6","4","6","6","6","6","5","4","5","7","No"
"2020/01/21 5:07:39 PM GMT+1","4","6","5","4","5","6","7","6","4","4","3","5","4","3","1","5","7","No"
"2020/01/21 5:07:42 PM GMT+1","6","8","6","6","4","4","10","7","3","4","4","5","5","6","3","7","8","No"
"2020/01/21 5:08:34 PM GMT+1","7","8","6","5","5","5","9","6","5","5","5","6","6","5","3","6","7","No"
"2020/01/21 5:08:45 PM GMT+1","6","7","7","6","7","7","8","5","5","5","4","","","7","2","7","8","Yes"
"2020/01/21 5:08:53 PM GMT+1","6","6","6","6","6","6","8","5","4","6","5","","","6","3","5","8","No"
"2020/01/21 5:09:24 PM GMT+1","8","7","7","7","6","6","10","9","6","7","6","7","6","9","6","7","8","No"
"2020/01/21 5:09:48 PM GMT+1","7","7","5","6","5","6","8","7","4","6","4","6","","7","5","7","8","Yes"
"2020/01/21 5:10:11 PM GMT+1","8","7","3","3","3","6","8","7","3","3","2","7","5","4","4","7","7","Yes"
"2020/01/21 5:10:30 PM GMT+1","6","8","6","6","5","6","6","6","3","4","3","5","4","5","3","6","7","No"
"2020/01/21 5:10:31 PM GMT+1","8","5","5","5","5","6","8","6","5","5","5","5","5","5","2","5","8","No"
"2020/01/21 5:10:34 PM GMT+1","7","7","5","6","6","7","8","7","6","5","5","6","6","5","5","4","7","Yes"
"2020/01/21 5:10:38 PM GMT+1","7","7","7","6","7","8","9","7","2","5","6","6","6","5","5","4","7","No"
"2020/01/21 5:10:41 PM GMT+1","5","6","4","4","5","5","6","5","3","3","2","5","4","4","2","3","7","No"
"2020/01/21 5:10:51 PM GMT+1","6","6","5","4","5","5","6","5","3","6","3","5","5","4","3","2","7","No"
"2020/01/21 5:10:53 PM GMT+1","7","7","7","6","6","7","8","7","5","6","5","5","5","6","6","7","8","No"
"2020/01/21 5:12:34 PM GMT+1","7","7","7","5","6","6","9","8","4","5","5","6","","5","1","5","7","No"
"2020/01/21 5:12:44 PM GMT+1","10","10","10","10","1","10","10","9","3","10","8","9","","10","10","9","10","No"
"2020/01/21 5:13:10 PM GMT+1","7","7","6","6","6","6","8","6","5","6","5","","","6","4","6","7","No"
"2020/01/21 5:13:16 PM GMT+1","8","8","6","5","6","6","9","7","5","6","5","6","5","6","2","7","7","No"
"2020/01/21 5:13:27 PM GMT+1","8","7","5","6","7","7","10","8","2","4","6","7","","7","6","6","8","No"
"2020/01/21 5:13:37 PM GMT+1","6","7","7","7","6","7","10","8","3","6","5","6","3","7","1","3","8","No"
"2020/01/21 5:14:37 PM GMT+1","7","7","6","5","5","6","8","6","5","6","4","5","","6","4","8","7","No"
"2020/01/21 5:14:38 PM GMT+1","6","4","3","4","7","7","8","5","4","3","4","5","5","5","1","7","7","No"
"2020/01/21 5:15:11 PM GMT+1","7","7","7","7","7","7","9","5","4","5","4","7","4","5","5","8","6","No"
"2020/01/21 5:15:19 PM GMT+1","8","8","6","7","5","7","9","7","5","6","4","5","5","7","3","6","7","No"
"2020/01/21 5:16:42 PM GMT+1","7","7","6","6","6","7","8","7","3","5","5","6","4","6","6","7","8","Yes"
"2020/01/21 5:17:02 PM GMT+1","9","6","6","5","5","7","7","6","7","6","6","6","6","8","3","8","8","Yes"
"2020/01/21 5:17:04 PM GMT+1","8","7","6","6","6","7","8","6","5","6","6","7","6","4","5","3","9",""
"2020/01/21 5:17:34 PM GMT+1","5","7","7","6","6","7","8","7","5","5","6","7","6","7","5","6","7","No"
"2020/01/21 5:18:08 PM GMT+1","9","8","7","6","6","6","8","6","3","6","5","8","","4","3","3","9","No"
"2020/01/21 5:18:08 PM GMT+1","7","5","6","6","5","5","8","6","4","5","4","5","4","6","3","8","1","No"
"2020/01/21 5:18:27 PM GMT+1","1","1","1","1","1","1","10","1","1","1","1","1","1","1","1","1","10","Yes"
"2020/01/21 5:18:39 PM GMT+1","7","4","4","4","5","6","8","6","3","4","4","","","4","3","4","6","No"
"2020/01/21 5:18:54 PM GMT+1","9","7","5","6","4","5","9","8","2","6","6","","","5","5","4","10","No"
"2020/01/21 5:18:58 PM GMT+1","7","8","7","7","7","7","8","7","5","5","5","6","6","5","4","7","8","No"
"2020/01/21 5:19:11 PM GMT+1","7","7","6","6","8","7","8","7","5","6","6","","","7","4","7","8","Yes"
"2020/01/21 5:19:20 PM GMT+1","8","7","5","5","4","5","8","6","4","5","5","6","5","5","3","6","8","Yes"
"2020/01/21 5:19:26 PM GMT+1","8","7","6","6","7","6","8","7","5","6","5","5","5","7","1","8","6","Yes"
"2020/01/21 5:20:10 PM GMT+1","6","5","6","6","6","7","9","6","5","4","4","4","5","5","1","4","7","No"
"2020/01/21 5:21:49 PM GMT+1","9","9","7","5","5","5","8","6","6","5","5","7","6","3","2","2","7","Yes"
"2020/01/21 5:22:00 PM GMT+1","5","7","5","5","5","5","8","6","4","5","5","","","5","4","4","8","No"
"2020/01/21 5:22:10 PM GMT+1","8","5","7","7","7","6","10","6","3","6","5","7","6","7","4","7","9","No"
"2020/01/21 5:22:38 PM GMT+1","2","2","3","3","5","3","5","3","1","2","2","3","2","2","1","1","6","Yes"
"2020/01/21 5:22:56 PM GMT+1","7","7","7","7","5","7","9","7","1","5","5","6","7","6","1","7","10","No"
"2020/01/21 5:23:33 PM GMT+1","9","8","8","5","8","8","10","6","2","5","4","","","6","2","7","10","No"
"2020/01/21 5:23:48 PM GMT+1","7","5","4","5","5","6","7","6","3","4","3","3","3","4","3","3","8","No"
"2020/01/21 5:24:31 PM GMT+1","6","5","5","6","8","6","10","6","5","6","4","","","5","5","5","7","Yes"
"2020/01/21 5:24:44 PM GMT+1","9","8","7","7","6","8","8","7","7","6","4","7","5","7","4","8","8","No"
"2020/01/21 5:24:46 PM GMT+1","6","7","6","6","6","7","8","4","2","2","2","2","4","1","1","5","9","Yes"
"2020/01/21 5:25:17 PM GMT+1","7","6","5","4","5","5","8","5","5","5","3","5","5","5","1","5","8","No"
"2020/01/21 5:25:21 PM GMT+1","7","7","7","6","6","6","9","8","5","5","5","6","6","6","4","8","8","No"
"2020/01/21 5:25:38 PM GMT+1","7","5","6","5","5","6","8","5","4","5","5","5","5","5","5","6","9","No"
"2020/01/21 5:25:42 PM GMT+1","6","7","4","5","5","7","8","5","2","4","4","","","6","5","7","7","No"
"2020/01/21 5:26:17 PM GMT+1","5","6","5","4","6","6","7","5","3","5","5","6","","4","1","4","7","No"
"2020/01/21 5:26:29 PM GMT+1","8","7","7","7","6","7","8","6","5","6","5","5","5","6","1","4","8","No"
"2020/01/21 5:26:43 PM GMT+1","6","8","7","7","6","5","9","7","3","5","3","6","4","4","1","1","8","No"
"2020/01/21 5:27:11 PM GMT+1","8","7","5","6","6","5","7","5","3","5","4","6","5","4","1","5","9","No"
"2020/01/21 5:27:37 PM GMT+1","5","6","4","5","6","6","7","6","4","5","5","6","","4","3","5","9","No"
"2020/01/21 5:27:39 PM GMT+1","5","5","5","5","6","5","7","6","4","4","3","7","6","4","3","3","8","No"
"2020/01/21 5:27:59 PM GMT+1","6","7","5","7","6","3","9","7","6","6","4","6","4","6","3","6","7","No"
"2020/01/21 5:28:04 PM GMT+1","5","3","5","5","4","5","8","5","1","1","4","5","","4","1","1","7","Yes"
"2020/01/21 5:28:11 PM GMT+1","8","8","4","4","4","5","7","6","5","5","5","5","5","4","1","2","9","No"
"2020/01/21 5:28:38 PM GMT+1","8","8","5","5","4","5","8","6","3","5","4","6","5","4","1","3","7","No"
"2020/01/21 5:29:19 PM GMT+1","7","5","5","4","6","5","7","5","4","5","4","4","5","4","5","5","7","Yes"
"2020/01/21 5:29:30 PM GMT+1","8","5","6","5","4","7","8","6","3","6","5","","","5","4","7","7","No"
"2020/01/21 5:29:33 PM GMT+1","7","7","6","4","5","5","9","8","5","7","5","","","6","6","7","9","No"
"2020/01/21 5:29:38 PM GMT+1","5","7","7","4","7","6","9","7","3","6","5","5","5","5","2","3","8","No"
"2020/01/21 5:30:02 PM GMT+1","8","7","5","4","6","6","7","6","5","6","1","3","5","3","1","1","6","No"
"2020/01/21 5:30:14 PM GMT+1","5","6","4","5","3","4","9","4","2","5","3","3","","4","2","4","9","No"
"2020/01/21 5:30:41 PM GMT+1","6","6","5","3","5","6","9","7","5","6","6","6","5","6","4","6","6","No"
"2020/01/21 5:30:53 PM GMT+1","6","7","7","4","4","7","9","7","5","5","5","","","7","8","7","8","No"
"2020/01/21 5:30:56 PM GMT+1","4","4","5","5","6","5","8","6","2","4","3","","","4","2","5","8","Yes"
"2020/01/21 5:31:03 PM GMT+1","7","6","7","4","5","5","8","6","4","6","4","5","5","6","2","7","6","No"
"2020/01/21 5:32:12 PM GMT+1","7","7","6","6","5","6","8","6","4","4","4","","","5","3","5","7","No"
"2020/01/21 5:33:18 PM GMT+1","7","4","5","5","7","6","8","6","2","4","4","5","5","6","1","6","6","No"
"2020/01/21 5:33:27 PM GMT+1","8","5","4","4","5","3","6","5","6","4","3","4","4","4","4","3","10","No"
"2020/01/21 5:33:35 PM GMT+1","8","5","5","5","7","6","8","5","2","3","5","3","3","2","10","1","10","No"
"2020/01/21 5:34:02 PM GMT+1","8","6","6","5","6","6","8","6","5","6","5","","","6","4","5","8","No"
"2020/01/21 5:34:09 PM GMT+1","10","8","8","8","7","6","9","8","6","8","7","","","8","5","8","7","No"
"2020/01/21 5:36:12 PM GMT+1","8","6","6","6","6","6","8","6","5","6","5","","","6","2","8","7","No"
"2020/01/21 5:36:15 PM GMT+1","7","7","6","7","7","8","9","7","5","5","6","7","7","6","6","1","8","Yes"
"2020/01/21 5:36:34 PM GMT+1","8","5","5","6","6","5","8","7","5","5","6","7","6","5","3","4","6","No"
"2020/01/21 5:38:17 PM GMT+1","8","7","5","5","5","5","6","4","4","4","3","","","4","2","3","9","Yes"
"2020/01/21 5:38:24 PM GMT+1","6","7","4","3","5","6","8","6","2","5","4","","","5","3","5","7","Yes"
"2020/01/21 5:38:27 PM GMT+1","8","6","6","6","7","7","8","6","5","6","5","6","6","6","6","8","9","No"
"2020/01/21 5:38:35 PM GMT+1","5","5","5","4","4","5","6","6","4","5","4","5","4","4","3","3","8","Yes"
"2020/01/21 5:38:42 PM GMT+1","9","7","5","5","5","5","10","7","6","6","6","","","6","6","7","9","Yes"
"2020/01/21 5:38:59 PM GMT+1","9","8","7","7","7","8","9","8","7","5","6","7","7","8","6","8","10","Yes"
"2020/01/21 5:39:43 PM GMT+1","6","5","6","6","7","7","8","7","6","5","5","6","6","5","1","5","7","Yes"
"2020/01/21 5:39:49 PM GMT+1","8","6","6","5","6","6","8","7","3","5","6","7","6","7","5","7","8","No"
"2020/01/21 5:40:04 PM GMT+1","6","5","3","2","5","4","6","6","1","2","4","5","","3","3","4","8","No"
"2020/01/21 5:40:14 PM GMT+1","8","7","6","4","6","6","9","6","3","5","5","7","5","6","3","5","7","No"
"2020/01/21 5:43:06 PM GMT+1","6","10","5","4","5","4","8","5","5","6","7","","","5","3","4","8",""
"2020/01/21 5:43:11 PM GMT+1","7","7","6","6","5","6","8","7","5","4","4","","","6","1","5","7","Yes"
"2020/01/21 5:43:27 PM GMT+1","6","6","6","7","6","6","9","5","5","5","6","6","5","5","3","3","8","Yes"
"2020/01/21 5:44:07 PM GMT+1","7","6","5","5","6","5","9","5","3","5","6","6","6","5","4","5","10","No"
"2020/01/21 5:45:03 PM GMT+1","7","7","2","3","5","7","9","7","2","8","3","","","2","2","2","8","Yes"
"2020/01/21 5:45:49 PM GMT+1","6","6","7","6","4","5","9","7","4","5","4","","","4","3","6","7","No"
"2020/01/21 5:45:56 PM GMT+1","7","6","5","5","6","6","6","6","4","5","3","5","5","6","4","6","8","No"
"2020/01/21 5:46:03 PM GMT+1","7","5","5","4","4","6","9","7","6","8","4","6","","5","4","7","7","No"
"2020/01/21 5:46:04 PM GMT+1","6","7","7","7","8","8","9","7","5","7","7","","","7","4","7","8","No"
"2020/01/21 5:46:15 PM GMT+1","5","5","5","6","4","6","6","6","5","5","5","5","5","5","1","5","8",""
"2020/01/21 5:47:07 PM GMT+1","9","6","8","4","6","7","9","5","6","3","5","8","2","6","1","9","9","Yes"
"2020/01/21 5:47:20 PM GMT+1","8","7","6","7","6","6","8","7","6","6","6","6","6","6","5","7","7","No"
"2020/01/21 5:47:27 PM GMT+1","6","5","5","5","5","5","6","7","4","3","4","","","6","3","7","8","No"
"2020/01/21 5:47:43 PM GMT+1","8","8","6","6","7","7","9","8","6","7","6","7","6","6","5","8","8","Yes"
"2020/01/21 5:48:39 PM GMT+1","7","7","7","7","7","7","8","5","4","4","5","","","6","4","8","7","No"
"2020/01/21 5:49:24 PM GMT+1","6","7","7","7","4","5","8","7","5","5","4","4","4","6","5","6","6","Yes"
"2020/01/21 5:49:33 PM GMT+1","7","6","3","4","6","4","8","5","3","3","5","6","4","2","1","4","8","No"
"2020/01/21 5:49:40 PM GMT+1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","10","1","10","Yes"
"2020/01/21 5:50:17 PM GMT+1","8","7","6","6","5","5","8","7","5","6","5","7","5","6","6","8","9","Yes"
"2020/01/21 5:51:47 PM GMT+1","8","6","6","6","8","8","8","7","6","5","5","5","5","7","3","5","7","Yes"
"2020/01/21 5:52:06 PM GMT+1","6","5","6","6","7","7","8","6","4","4","7","","","6","2","3","8","No"
"2020/01/21 5:54:38 PM GMT+1","6","6","6","6","7","6","7","6","6","6","5","6","5","6","4","4","7","No"
"2020/01/21 5:55:08 PM GMT+1","8","7","5","5","5","6","7","6","3","5","4","","","3","2","4","8","No"
"2020/01/21 5:55:26 PM GMT+1","7","7","6","6","5","7","9","7","5","4","4","","","7","5","5","8","Yes"
"2020/01/21 5:55:34 PM GMT+1","7","5","6","6","6","6","7","6","3","5","5","","","5","2","3","6","No"
"2020/01/21 5:55:34 PM GMT+1","7","7","5","6","6","5","8","6","3","4","5","4","4","3","3","7","7","Yes"
"2020/01/21 5:55:39 PM GMT+1","6","8","6","5","6","5","8","6","5","5","4","5","5","4","3","4","8","Yes"
"2020/01/21 5:55:49 PM GMT+1","7","7","7","7","7","7","9","7","5","6","7","7","5","7","7","9","9","No"
"2020/01/21 5:55:52 PM GMT+1","6","6","4","4","2","5","7","5","3","6","4","6","5","6","3","5","9","No"
"2020/01/21 5:56:04 PM GMT+1","6","6","6","6","6","7","8","6","2","4","3","7","","5","3","4","8",""
"2020/01/21 5:56:21 PM GMT+1","6","8","6","5","5","6","9","7","4","4","5","5","4","6","1","6","10","Yes"
"2020/01/21 5:56:50 PM GMT+1","8","7","7","7","7","7","8","7","5","5","5","","","8","7","7","7","No"
"2020/01/21 5:57:46 PM GMT+1","7","6","6","6","7","6","8","6","6","6","5","6","5","5","3","6","7","No"
"2020/01/21 5:57:52 PM GMT+1","7","7","6","6","6","6","7","6","4","4","3","4","","7","6","7","7","No"
"2020/01/21 5:58:12 PM GMT+1","5","4","5","2","3","4","5","3","3","4","3","4","2","4","3","5","8","No"
"2020/01/21 5:59:11 PM GMT+1","8","8","5","6","6","6","10","7","1","6","5","","","5","1","1","10","Yes"
"2020/01/21 6:00:42 PM GMT+1","9","7","7","7","7","7","9","8","6","7","6","6","6","8","5","8","8","Yes"
"2020/01/21 6:01:10 PM GMT+1","9","5","5","4","6","6","9","7","5","6","5","6","","6","4","8","8","No"
"2020/01/21 6:01:21 PM GMT+1","8","7","7","6","5","8","9","6","3","5","6","7","5","5","3","8","6","No"
"2020/01/21 6:01:56 PM GMT+1","10","7","4","6","6","7","10","8","7","8","7","8","6","6","6","10","9","No"
"2020/01/21 6:02:24 PM GMT+1","8","7","7","7","7","7","8","7","7","7","7","","","8","6","8","9","No"
"2020/01/21 6:03:20 PM GMT+1","8","6","5","5","6","6","7","6","4","4","5","","","6","4","6","9","Yes"
"2020/01/21 6:04:20 PM GMT+1","8","7","6","6","5","7","10","9","7","5","6","7","7","7","6","7","8","No"
"2020/01/21 6:05:39 PM GMT+1","6","6","6","5","8","8","9","6","6","5","5","6","4","6","3","6","6","No"
"2020/01/21 6:05:43 PM GMT+1","7","5","5","6","6","6","7","6","5","4","5","5","4","5","5","4","7","No"
"2020/01/21 6:06:14 PM GMT+1","7","6","6","6","7","6","8","6","3","5","4","6","6","5","3","5","8","No"
"2020/01/21 6:06:44 PM GMT+1","5","7","5","5","7","7","8","6","4","4","7","","","6","5","6","8","No"
"2020/01/21 6:11:20 PM GMT+1","7","7","7","7","7","6","7","6","3","6","5","5","6","6","1","6","8","Yes"
"2020/01/21 6:11:41 PM GMT+1","8","6","6","6","7","7","9","5","4","5","4","6","","3","3","4","8","Yes"
"2020/01/21 6:13:58 PM GMT+1","9","8","7","7","4","8","9","7","6","6","6","","","6","4","10","7","Yes"
"2020/01/21 6:14:10 PM GMT+1","7","6","3","4","4","4","7","5","3","7","5","5","5","2","1","5","9","No"
"2020/01/21 6:14:53 PM GMT+1","8","7","7","6","7","6","8","7","5","6","5","6","5","7","2","8","7","No"
"2020/01/21 6:15:12 PM GMT+1","7","6","5","5","6","7","9","6","4","4","5","6","6","5","5","5","8","No"
"2020/01/21 6:16:21 PM GMT+1","4","7","5","6","5","4","8","7","5","6","6","5","","5","1","3","8","No"
"2020/01/21 6:16:30 PM GMT+1","7","6","5","5","5","7","7","6","2","4","3","","","6","3","6","1","No"
"2020/01/21 6:16:42 PM GMT+1","7","6","6","4","5","5","8","6","4","6","4","6","5","4","5","4","7","Yes"
"2020/01/21 6:16:47 PM GMT+1","6","7","5","4","5","6","8","6","5","5","5","7","6","5","3","4","7","No"
"2020/01/21 6:17:10 PM GMT+1","5","6","6","6","6","5","7","5","4","6","5","6","5","7","5","7","7","No"
"2020/01/21 6:17:12 PM GMT+1","5","7","4","4","2","3","8","4","2","3","2","7","6","4","1","4","7","No"
"2020/01/21 6:17:47 PM GMT+1","6","7","5","6","4","5","8","7","6","6","5","6","5","6","5","4","7","No"
"2020/01/21 6:18:28 PM GMT+1","8","7","7","7","8","6","9","6","5","5","5","","","8","7","9","9","Yes"
"2020/01/21 6:20:30 PM GMT+1","8","6","6","6","5","7","9","8","4","4","7","","","7","5","6","7","No"
"2020/01/21 6:21:02 PM GMT+1","7","4","2","4","3","4","3","2","1","6","4","4","5","3","2","2","9","Yes"
"2020/01/21 6:21:33 PM GMT+1","9","8","7","6","7","8","10","6","6","7","7","7","6","7","5","4","10","Yes"
"2020/01/21 6:22:32 PM GMT+1","9","8","8","7","7","8","9","7","5","6","4","","","7","6","5","8","No"
"2020/01/21 6:22:53 PM GMT+1","5","6","3","4","4","6","8","6","2","4","3","5","4","6","2","7","7","Yes"
"2020/01/21 6:23:01 PM GMT+1","6","6","5","6","6","6","7","6","5","5","5","","","6","5","6","7","Yes"
"2020/01/21 6:23:46 PM GMT+1","7","7","6","6","6","7","8","6","2","5","6","5","5","5","5","5","6","No"
"2020/01/21 6:23:54 PM GMT+1","3","6","6","4","3","4","8","2","1","3","3","","","3","1","1","5","No"
"2020/01/21 6:25:35 PM GMT+1","8","7","7","7","7","6","8","7","5","6","6","","","6","4","5","6","No"
