"Timestamp","De Gea","Shaw","Maguire","Lindelof","Wan-Bissaka","Fred","Matic","McTominay","Bruno Fernandes","Greenwood","Martial","Ighalo (optional)","Mata (optional)","Team Performance","Final Result","Ole","Everton","Did the ref do a good job?"
"2020/03/02 10:20:33 PM GMT+2","6","6","9","5","6","4","6","5","8","5","6","","","5","5","5","7","No"
"2020/03/02 10:22:17 PM GMT+2","5","7","8","5","6","5","6","6","8","4","5","","","6","5","6","7","Yes"
"2020/03/02 10:23:04 PM GMT+2","5","6","8","6","6","7","6","6","7","6","5","","","6","5","5","7","No"
"2020/03/02 10:26:31 PM GMT+2","5","7","7","7","7","8","8","7","10","7","6","6","6","7","5","7","1","No"
"2020/03/02 10:28:13 PM GMT+2","6","7","7","6","8","8","7","6","8","6","6","7","","6","6","6","7","No"
"2020/03/02 10:31:16 PM GMT+2","5","7","6","5","6","8","9","7","9","6","6","","","6","6","5","5","No"
"2020/03/02 10:31:46 PM GMT+2","2","6","7","6","7","7","8","5","10","4","3","3","","6","5","7","6","No"
"2020/03/02 10:32:36 PM GMT+2","5","5","7","5","6","6","6","5","7","5","5","6","","6","6","6","5","No"
"2020/03/02 10:35:48 PM GMT+2","4","6","8","7","7","8","8","8","9","7","5","","","7","5","6","7","No"
"2020/03/02 10:37:08 PM GMT+2","4","7","8","7","6","8","7","6","8","5","5","","","6","6","6","6","No"
"2020/03/02 10:39:21 PM GMT+2","5","7","5","6","8","7","7","6","8","6","7","6","6","6","3","7","5","No"
"2020/03/02 10:39:58 PM GMT+2","5","6","6","6","6","7","7","8","7","6","4","5","5","6","5","4","7","No"
"2020/03/02 10:41:31 PM GMT+2","6","7","8","3","5","6","6","6","8","4","5","5","5","4","4","6","5","No"
"2020/03/02 10:41:49 PM GMT+2","8","8","7","8","8","9","8","7","9","7","7","8","8","7","8","8","9","No"
"2020/03/02 10:42:34 PM GMT+2","4","7","9","7","4","7","8","6","8","4","4","4","6","4","4","5","8","No"
"2020/03/02 10:42:52 PM GMT+2","5","8","8","7","6","7","8","7","9","6","3","7","","6","3","7","8","No"
"2020/03/02 10:43:34 PM GMT+2","3","8","8","4","7","6","8","6","9","7","4","","7","5","1","6","8","No"
"2020/03/02 10:48:27 PM GMT+2","4","6","6","5","6","7","5","6","8","5","3","8","7","7","3","5","7","No"
"2020/03/02 10:49:05 PM GMT+2","8","5","9","3","6","8","6","4","8","6","5","7","6","7","8","8","8","Yes"
"2020/03/02 10:51:19 PM GMT+2","5","6","9","5","7","7","9","7","9","6","6","","","6","3","6","7","Yes"
"2020/03/02 10:51:35 PM GMT+2","5","5","7","6","4","5","5","6","8","5","4","","","6","6","5","7","No"
"2020/03/02 10:51:58 PM GMT+2","6","7","7","6","6","6","8","7","8","6","7","6","6","7","1","5","7","No"
"2020/03/02 10:52:17 PM GMT+2","5","7","8","6","6","6","7","6","8","5","4","","7","5","6","5","7","No"
"2020/03/02 10:53:20 PM GMT+2","4","6","8","8","7","7","8","7","8","6","6","6","6","6","6","8","6","No"
"2020/03/02 10:54:22 PM GMT+2","5","7","8","7","8","7","7","6","8","6","6","6","6","6","6","6","6","Yes"
"2020/03/02 10:54:30 PM GMT+2","4","6","7","6","6","4","7","6","9","3","3","","","4","4","4","8","No"
"2020/03/02 10:57:25 PM GMT+2","6","6","8","5","6","7","7","7","7","5","5","","","7","5","5","7","Yes"
"2020/03/02 10:57:32 PM GMT+2","3","7","8","7","7","7","8","7","9","7","5","7","6","6","5","6","3","No"
"2020/03/02 10:57:57 PM GMT+2","6","7","9","5","6","7","9","6","8","6","5","7","6","6","6","7","7","No"
"2020/03/02 11:01:12 PM GMT+2","7","6","8","6","7","6","8","6","7","6","6","5","6","6","5","1","7","No"
"2020/03/02 11:03:02 PM GMT+2","5","7","8","6","6","7","9","7","8","7","6","","","6","6","6","8","No"
"2020/03/02 11:09:44 PM GMT+2","6","7","9","5","5","7","9","5","9","5","5","","","7","7","7","7","No"
"2020/03/02 11:11:27 PM GMT+2","6","7","9","7","7","7","7","6","9","7","6","6","6","5","6","6","6","No"
"2020/03/02 11:13:09 PM GMT+2","1","5","6","6","6","8","8","7","8","5","4","","","5","4","4","5",""
"2020/03/02 11:18:29 PM GMT+2","6","7","9","4","5","7","8","7","8","6","3","7","7","3","1","1","8","No"
"2020/03/02 11:19:29 PM GMT+2","3","5","9","7","8","8","9","8","8","6","4","5","5","5","3","4","8","No"
"2020/03/02 11:21:20 PM GMT+2","4","8","9","7","7","6","5","5","7","3","5","","","6","3","5","8","No"
"2020/03/02 11:21:23 PM GMT+2","3","6","4","5","6","7","6","6","8","6","5","5","5","6","3","6","6","Yes"
"2020/03/02 11:21:32 PM GMT+2","5","7","6","4","7","6","4","5","7","4","1","3","2","4","4","5","6","No"
"2020/03/02 11:21:50 PM GMT+2","5","7","8","6","7","8","9","7","9","7","7","7","6","7","6","8","1","No"
"2020/03/02 11:26:39 PM GMT+2","4","7","8","6","7","7","7","6","8","6","6","6","6","4","1","3","8","No"
"2020/03/02 11:27:14 PM GMT+2","5","7","8","6","6","7","6","6","7","5","4","6","6","6","6","6","6","Yes"
"2020/03/02 11:28:05 PM GMT+2","2","5","7","6","6","6","7","6","8","4","5","","","3","4","5","8","No"
"2020/03/02 11:28:28 PM GMT+2","4","6","8","5","5","6","7","5","7","6","5","5","5","6","4","6","7","No"
"2020/03/02 11:30:54 PM GMT+2","6","5","6","4","5","6","6","6","8","5","5","","","4","4","4","6",""
"2020/03/02 11:36:56 PM GMT+2","6","8","9","7","7","8","8","7","9","7","6","","","7","5","8","7","No"
"2020/03/02 11:43:54 PM GMT+2","6","6","8","6","6","6","8","6","8","5","5","6","6","5","2","6","8","No"
"2020/03/02 11:44:08 PM GMT+2","5","8","9","5","6","7","8","6","8","6","4","","","5","6","5","7","No"
"2020/03/02 11:45:23 PM GMT+2","8","9","8","7","8","9","8","8","10","7","7","7","8","9","8","9","9","No"
"2020/03/02 11:45:47 PM GMT+2","3","6","8","3","6","7","8","6","9","6","4","6","7","5","5","6","7","No"
"2020/03/02 11:46:38 PM GMT+2","1","7","8","5","5","5","7","5","8","5","4","7","5","7","5","6","8","No"
"2020/03/02 11:46:54 PM GMT+2","2","7","9","7","7","6","6","5","8","4","3","","","6","5","6","8","No"
"2020/03/02 11:49:37 PM GMT+2","5","8","6","6","6","6","8","6","8","5","5","5","4","4","1","1","7","No"
"2020/03/02 11:49:47 PM GMT+2","5","7","7","6","7","7","8","6","8","6","6","6","6","6","7","5","7","No"
"2020/03/03 12:02:04 AM GMT+2","6","7","8","6","7","5","7","6","8","5","4","","","5","5","7","6","No"
"2020/03/03 12:08:03 AM GMT+2","5","9","8","7","6","7","8","6","8","5","5","10","7","6","5","7","7","No"
"2020/03/03 12:08:34 AM GMT+2","2","7","6","6","7","8","7","8","9","6","6","6","6","7","5","7","5","Yes"
"2020/03/03 12:08:59 AM GMT+2","3","8","7","6","6","8","7","6","8","7","5","6","","7","4","7","7","No"
"2020/03/03 12:10:33 AM GMT+2","5","7","7","7","6","6","8","7","8","6","6","","","6","3","6","7","Yes"
"2020/03/03 12:15:28 AM GMT+2","6","6","10","8","6","7","8","6","7","6","7","5","5","7","6","7","6","No"
"2020/03/03 12:17:25 AM GMT+2","3","6","8","5","7","6","7","6","8","6","5","6","","6","6","7","7","Yes"
"2020/03/03 12:18:14 AM GMT+2","7","6","7","5","6","6","6","6","8","6","5","4","5","5","6","6","7","Yes"
"2020/03/03 12:19:00 AM GMT+2","4","7","8","5","6","7","8","7","10","6","5","7","6","7","6","6","4","No"
"2020/03/03 12:22:20 AM GMT+2","1","8","9","7","7","7","8","7","9","5","6","6","6","7","5","7","8","No"
"2020/03/03 12:23:49 AM GMT+2","2","6","8","3","7","6","7","6","8","5","6","5","4","3","2","1","7","No"
"2020/03/03 12:26:27 AM GMT+2","4","7","9","5","7","3","8","7","8","7","7","","","6","5","6","6","No"
"2020/03/03 12:27:49 AM GMT+2","5","7","8","8","8","8","7","6","8","7","7","7","8","6","8","7","9","Yes"
"2020/03/03 12:30:53 AM GMT+2","7","6","10","6","8","6","5","8","9","7","5","","","7","7","7","4","Yes"
"2020/03/03 12:30:54 AM GMT+2","6","10","10","7","8","9","7","7","10","9","7","7","","8","7","10","8","No"
"2020/03/03 12:32:14 AM GMT+2","4","8","9","6","7","9","7","7","9","7","7","7","7","7","7","7","7","No"
"2020/03/03 12:34:48 AM GMT+2","5","9","8","6","9","7","7","7","8","6","7","5","5","6","6","9","8","No"
"2020/03/03 12:35:09 AM GMT+2","5","7","8","5","5","8","8","6","9","6","6","","","5","5","4","8","No"
"2020/03/03 12:45:45 AM GMT+2","1","7","9","6","6","7","8","5","7","3","4","5","5","6","6","5","6","No"
"2020/03/03 12:49:53 AM GMT+2","6","8","8","7","8","9","8","8","9","8","8","","","7","4","7","8","No"
"2020/03/03 12:52:34 AM GMT+2","7","7","8","8","6","7","7","5","9","5","5","5","5","4","5","5","8","No"
"2020/03/03 12:53:47 AM GMT+2","3","9","7","5","6","9","7","5","9","5","4","6","5","5","5","8","6","No"
"2020/03/03 12:55:03 AM GMT+2","4","6","8","3","6","6","6","7","9","6","3","","","4","5","5","8","No"
"2020/03/03 1:00:54 AM GMT+2","3","5","6","4","5","6","7","6","8","5","6","","6","6","4","6","7","No"
"2020/03/03 1:01:35 AM GMT+2","5","8","9","6","8","7","9","5","8","4","5","6","5","7","5","6","6","No"
"2020/03/03 1:01:54 AM GMT+2","6","6","8","6","7","6","7","5","8","5","5","7","","6","5","6","8","Yes"
"2020/03/03 1:05:17 AM GMT+2","5","9","7","7","7","7","7","7","8","6","6","6","6","6","4","5","6","No"
"2020/03/03 1:09:42 AM GMT+2","3","5","6","5","5","5","5","4","6","5","4","","","4","4","5","6","No"
"2020/03/03 1:12:46 AM GMT+2","5","8","9","6","6","6","7","6","7","4","3","","","6","7","6","8","No"
"2020/03/03 1:18:08 AM GMT+2","4","7","8","6","6","6","6","6","8","5","5","","","6","5","6","7","No"
"2020/03/03 1:19:00 AM GMT+2","5","6","6","6","6","6","7","7","8","6","6","6","6","6","7","6","7","Yes"
"2020/03/03 1:28:24 AM GMT+2","5","7","10","7","7","8","8","7","8","7","6","6","5","7","6","6","8","No"
"2020/03/03 1:30:01 AM GMT+2","2","7","8","5","6","7","6","6","7","5","5","6","6","6","6","4","7","No"
"2020/03/03 1:32:11 AM GMT+2","6","5","7","5","5","5","7","8","8","5","3","6","5","6","5","5","6","No"
"2020/03/03 1:40:01 AM GMT+2","6","7","8","5","7","8","9","7","9","6","7","","","7","3","10","5","Yes"
"2020/03/03 1:42:06 AM GMT+2","4","8","7","5","6","7","8","7","8","6","5","6","5","8","4","5","6","No"
"2020/03/03 1:42:44 AM GMT+2","5","10","10","6","9","10","10","10","10","7","7","8","7","7","5","7","9","No"
"2020/03/03 1:54:14 AM GMT+2","6","6","9","6","8","8","9","7","10","6","7","","","6","5","8","6","Yes"
"2020/03/03 1:55:20 AM GMT+2","3","7","10","7","8","7","7","5","8","6","8","6","6","6","8","6","10","No"
"2020/03/03 1:59:31 AM GMT+2","6","7","7","7","8","8","8","7","10","6","6","","","7","7","7","8","No"
"2020/03/03 2:24:30 AM GMT+2","6","7","7","7","5","5","6","7","9","5","5","8","7","6","5","9","6","No"
"2020/03/03 2:26:51 AM GMT+2","4","6","9","7","5","6","8","7","8","4","4","","","6","3","7","6","No"
"2020/03/03 2:31:45 AM GMT+2","6","7","8","8","8","8","8","8","8","7","7","","","8","7","7","7","Yes"
"2020/03/03 2:36:06 AM GMT+2","2","9","9","4","6","6","10","5","8","4","4","","","6","10","1","1","No"
"2020/03/03 2:52:09 AM GMT+2","6","7","8","5","5","6","7","5","8","5","5","4","4","5","6","5","6","No"
"2020/03/03 2:53:36 AM GMT+2","4","6","7","5","4","5","7","5","7","5","4","","","5","4","5","6","No"
"2020/03/03 3:06:16 AM GMT+2","5","7","6","7","7","6","7","6","8","7","6","6","6","6","5","4","6","No"
"2020/03/03 3:07:20 AM GMT+2","6","7","9","7","7","8","8","7","8","6","5","7","6","7","3","8","4","No"
"2020/03/03 3:11:50 AM GMT+2","5","7","8","6","7","7","7","6","8","5","5","6","6","6","7","7","8","No"
"2020/03/03 3:12:50 AM GMT+2","5","8","10","7","8","8","9","8","9","6","5","6","8","7","5","7","3","No"
"2020/03/03 3:22:52 AM GMT+2","3","5","5","4","5","6","7","6","8","5","4","5","5","4","4","5","5","No"
"2020/03/03 3:25:59 AM GMT+2","5","6","7","5","6","7","6","5","7","5","5","6","5","6","8","5","6","No"
"2020/03/03 3:33:55 AM GMT+2","10","7","10","8","10","10","10","10","10","10","10","10","10","10","10","1","10","No"
"2020/03/03 3:43:27 AM GMT+2","5","7","7","6","7","6","6","6","7","6","6","5","5","6","5","4","7","Yes"
"2020/03/03 3:47:47 AM GMT+2","1","6","8","6","7","9","9","9","9","7","5","","","6","5","6","7","No"
"2020/03/03 3:54:53 AM GMT+2","5","6","8","4","5","5","7","6","9","5","3","","","5","4","5","1","No"
"2020/03/03 4:07:39 AM GMT+2","5","6","8","5","5","6","6","6","7","5","5","5","5","5","4","4","7","No"
"2020/03/03 4:10:44 AM GMT+2","4","8","9","7","4","8","10","6","9","5","5","6","8","6","7","8","8","No"
"2020/03/03 4:11:24 AM GMT+2","2","6","9","7","8","8","8","7","8","6","5","","","7","5","9","6","No"
"2020/03/03 4:13:41 AM GMT+2","5","6","7","5","6","6","8","6","7","6","6","6","6","6","5","5","5","No"
"2020/03/03 4:16:50 AM GMT+2","4","8","10","5","6","8","8","7","9","3","2","6","6","5","5","6","7","No"
"2020/03/03 4:23:09 AM GMT+2","6","8","8","6","7","8","8","7","8","6","6","6","6","7","5","7","7","No"
"2020/03/03 4:24:08 AM GMT+2","5","7","8","5","6","7","7","7","8","6","4","6","6","6","3","6","7","No"
"2020/03/03 4:25:46 AM GMT+2","6","6","6","6","7","6","8","7","7","6","6","7","","7","5","6","8","No"
"2020/03/03 4:34:34 AM GMT+2","4","6","8","6","7","6","6","5","8","5","5","5","4","5","3","5","5","No"
"2020/03/03 4:41:15 AM GMT+2","5","7","8","7","7","5","6","6","7","5","5","","","7","6","7","8","No"
"2020/03/03 4:49:20 AM GMT+2","1","7","10","5","6","6","8","7","9","5","4","7","7","6","7","7","6","No"
"2020/03/03 5:19:49 AM GMT+2","4","7","10","7","7","7","7","7","9","5","3","5","4","6","6","8","9","No"
"2020/03/03 5:39:30 AM GMT+2","6","7","7","7","8","8","8","7","10","6","6","8","6","6","2","4","8","Yes"
"2020/03/03 5:53:11 AM GMT+2","2","7","8","6","6","7","7","7","8","6","6","6","6","7","5","6","8","Yes"
"2020/03/03 5:53:56 AM GMT+2","5","7","9","6","7","8","7","7","7","7","5","7","7","7","9","10","10","No"
"2020/03/03 6:08:00 AM GMT+2","1","7","8","7","7","6","7","4","7","5","5","7","6","5","5","4","6","No"
"2020/03/03 6:14:59 AM GMT+2","2","8","9","6","7","7","8","7","9","6","5","","","7","7","7","7","No"
"2020/03/03 6:34:26 AM GMT+2","5","7","8","7","7","6","7","6","8","6","4","6","6","5","3","6","2","No"
"2020/03/03 6:41:42 AM GMT+2","7","9","9","6","6","7","9","7","8","7","5","7","7","5","5","4","8","No"
"2020/03/03 7:23:47 AM GMT+2","6","7","8","7","7","7","10","6","7","5","5","5","6","6","5","5","6","No"
"2020/03/03 7:25:34 AM GMT+2","4","8","9","6","7","7","9","7","9","6","4","6","6","5","6","6","6","No"
"2020/03/03 7:39:34 AM GMT+2","4","6","8","6","6","6","7","6","7","5","4","6","6","5","5","5","6","No"
"2020/03/03 7:42:57 AM GMT+2","4","7","8","6","6","7","6","6","7","6","5","6","7","7","6","7","5","No"
"2020/03/03 7:50:07 AM GMT+2","4","6","9","7","7","7","6","6","8","5","5","6","5","6","6","6","7","No"
"2020/03/03 8:01:52 AM GMT+2","6","7","8","8","7","6","7","6","7","5","5","","","6","5","5","9","No"
"2020/03/03 8:06:31 AM GMT+2","8","7","10","6","6","7","7","7","8","6","6","","","7","5","6","7","No"
"2020/03/03 8:09:03 AM GMT+2","8","8","9","7","7","7","6","6","7","5","5","","","6","4","5","8","No"
"2020/03/03 8:16:57 AM GMT+2","7","7","9","7","7","7","7","6","8","6","6","","","7","7","7","4","No"
"2020/03/03 8:18:13 AM GMT+2","5","7","7","6","6","6","7","6","8","6","6","6","6","6","5","5","7","Yes"
"2020/03/03 8:40:54 AM GMT+2","5","7","9","7","7","7","8","7","8","6","6","","","8","6","7","7","No"
"2020/03/03 8:48:11 AM GMT+2","5","6","7","6","6","8","6","8","9","7","7","5","6","7","6","5","6","Yes"
"2020/03/03 8:57:26 AM GMT+2","4","8","10","6","8","7","9","5","9","2","1","7","3","5","7","2","8","No"
"2020/03/03 9:11:13 AM GMT+2","4","6","8","7","6","7","7","6","8","5","5","5","5","6","6","5","8","No"
"2020/03/03 9:14:16 AM GMT+2","5","8","7","7","6","7","9","7","8","6","6","6","6","6","2","7","7","No"
"2020/03/03 9:22:05 AM GMT+2","1","6","5","3","5","6","6","7","7","2","1","5","4","2","2","4","3","No"
"2020/03/03 9:29:54 AM GMT+2","6","6","8","6","7","7","7","6","8","6","6","5","5","7","7","7","7","Yes"
"2020/03/03 9:37:28 AM GMT+2","4","7","9","6","7","8","8","7","9","7","5","5","6","7","5","6","4","No"
"2020/03/03 9:49:46 AM GMT+2","2","4","1","10","7","3","4","4","8","2","5","8","7","4","7","5","9","Yes"
"2020/03/03 9:53:02 AM GMT+2","3","7","8","6","7","6","8","6","8","5","5","5","5","4","3","6","8","No"
"2020/03/03 10:17:12 AM GMT+2","1","5","7","4","5","5","6","4","7","5","4","5","","5","4","5","6","No"
"2020/03/03 10:20:46 AM GMT+2","6","5","9","4","6","8","7","7","9","4","2","5","6","6","8","7","6","No"
"2020/03/03 10:29:13 AM GMT+2","6","7","8","6","6","7","7","7","8","6","5","6","6","6","6","7","7","No"
"2020/03/03 10:33:28 AM GMT+2","5","8","7","6","8","6","7","6","8","6","6","6","6","6","7","6","7","No"
"2020/03/03 10:37:49 AM GMT+2","5","6","8","7","6","6","7","6","8","6","5","5","5","7","4","7","6","No"
"2020/03/03 10:43:38 AM GMT+2","6","7","9","7","6","7","8","7","8","5","5","7","6","7","7","8","7","No"
"2020/03/03 11:08:35 AM GMT+2","5","7","8","7","7","7","7","6","9","7","6","5","5","7","4","5","8","No"
"2020/03/03 11:23:07 AM GMT+2","6","6","8","7","6","7","7","7","8","5","5","","","7","7","6","8","No"
"2020/03/03 11:23:15 AM GMT+2","4","6","8","6","6","6","8","6","7","5","5","","","6","4","6","5","No"
"2020/03/03 11:28:02 AM GMT+2","7","8","9","8","7","7","9","6","6","5","5","5","3","4","5","1","8","No"
"2020/03/03 11:44:49 AM GMT+2","7","8","7","7","6","7","8","7","9","6","3","4","4","6","4","4","4","No"
"2020/03/03 11:44:53 AM GMT+2","6","8","9","7","7","7","6","6","8","6","5","6","6","7","7","8","7","Yes"
"2020/03/03 11:55:02 AM GMT+2","7","7","9","6","6","6","8","6","9","6","6","5","5","5","5","4","8","No"
"2020/03/03 12:04:21 PM GMT+2","6","7","9","6","6","7","8","7","8","7","6","6","7","7","6","7","7","No"
"2020/03/03 12:38:06 PM GMT+2","5","8","10","5","7","7","9","6","8","4","4","4","4","7","6","6","6","No"
"2020/03/03 12:44:25 PM GMT+2","3","4","7","4","4","5","4","5","7","4","4","","","3","3","3","5","No"
"2020/03/03 12:44:55 PM GMT+2","4","6","6","6","6","5","6","4","8","5","6","6","6","6","6","5","8","No"
"2020/03/03 1:15:09 PM GMT+2","5","6","8","5","5","6","7","5","8","5","5","","","6","4","4","7","Yes"
"2020/03/03 1:27:49 PM GMT+2","6","7","7","5","6","7","6","7","7","5","4","6","7","7","8","8","7","No"
"2020/03/03 2:23:47 PM GMT+2","3","6","9","7","7","7","8","7","8","6","6","","","7","7","7","8","No"
"2020/03/03 2:29:29 PM GMT+2","4","7","7","5","6","7","7","7","8","6","6","","","6","6","7","5","No"
"2020/03/03 3:03:11 PM GMT+2","3","4","8","6","6","6","8","7","9","6","4","5","5","3","2","1","8","No"
"2020/03/03 3:30:12 PM GMT+2","2","7","8","6","6","7","7","6","8","6","7","7","5","7","7","3","8","Yes"
"2020/03/03 4:03:18 PM GMT+2","4","7","8","6","6","6","7","7","8","5","4","5","5","6","5","7","8","No"
"2020/03/03 4:19:55 PM GMT+2","6","9","9","7","8","9","8","8","10","6","6","8","7","7","7","7","7","No"
"2020/03/03 4:25:45 PM GMT+2","4","6","6","6","6","7","6","6","8","6","5","6","6","6","6","7","6","No"
"2020/03/03 4:44:48 PM GMT+2","6","7","6","6","7","6","8","6","8","6","5","5","5","6","5","4","8","No"
"2020/03/03 5:11:02 PM GMT+2","4","6","8","8","6","6","7","6","8","5","5","7","7","6","4","6","4","No"
"2020/03/03 5:30:44 PM GMT+2","5","8","8","7","7","8","7","7","9","7","6","","","7","6","7","7","No"
"2020/03/03 5:44:40 PM GMT+2","4","8","8","7","7","8","7","8","9","6","7","7","7","7","5","8","7","No"
"2020/03/03 6:19:08 PM GMT+2","3","6","9","6","7","6","8","6","8","4","2","4","5","5","5","5","6","No"
"2020/03/03 6:26:44 PM GMT+2","5","7","5","5","6","7","6","8","8","6","6","","","4","3","5","7","No"
"2020/03/03 6:28:20 PM GMT+2","5","7","9","6","7","8","5","5","9","6","7","","","5","4","5","5","No"
"2020/03/03 6:43:08 PM GMT+2","3","6","8","4","6","7","8","7","8","7","3","7","7","7","6","9","2","No"
"2020/03/03 6:49:19 PM GMT+2","4","7","8","5","6","7","7","7","8","5","5","","","6","7","6","7","No"
"2020/03/03 7:43:11 PM GMT+2","4","5","6","2","3","6","8","5","6","5","5","5","7","4","1","1","10","No"
"2020/03/03 8:20:39 PM GMT+2","4","8","10","10","8","9","7","7","10","6","5","7","7","7","6","8","8","No"
"2020/03/03 10:12:14 PM GMT+2","6","7","7","6","5","5","5","6","8","6","5","","","5","5","7","5","No"
"2020/03/03 10:20:29 PM GMT+2","6","8","8","7","7","8","7","7","9","7","7","7","7","6","6","6","5","No"
"2020/03/03 10:28:49 PM GMT+2","5","7","8","7","8","7","8","9","10","4","4","5","","7","6","7","8","No"
"2020/03/03 10:41:16 PM GMT+2","4","6","8","7","6","7","7","5","8","5","5","5","5","6","5","7","6","No"
"2020/03/03 10:50:20 PM GMT+2","4","6","8","6","7","7","6","6","8","5","5","6","6","5","4","7","9","No"
"2020/03/03 11:24:21 PM GMT+2","4","6","7","5","6","7","6","6","7","5","7","5","5","5","4","5","4","No"
"2020/03/04 12:00:34 AM GMT+2","6","7","8","6","6","7","8","6","8","6","5","","","6","5","6","7","No"
"2020/03/04 2:12:26 AM GMT+2","4","5","6","6","7","7","5","7","9","7","6","6","7","6","5","7","8","No"
"2020/03/04 3:38:14 AM GMT+2","6","7","9","8","7","7","8","7","8","6","6","5","5","5","4","5","5","No"
"2020/03/04 5:35:15 AM GMT+2","3","6","8","5","6","7","5","7","8","4","4","6","6","4","6","5","6","No"
"2020/03/04 7:55:23 AM GMT+2","5","7","8","6","7","7","8","7","8","6","6","","","7","5","7","4","No"
"2020/03/04 12:51:56 PM GMT+2","5","8","8","7","7","7","8","8","9","6","5","8","7","7","7","8","7","No"
"2020/03/04 9:24:05 PM GMT+2","4","6","8","6","7","7","7","6","8","5","5","6","6","6","5","6","7","No"
"2020/03/05 1:00:38 AM GMT+2","7","8","9","8","7","7","8","7","9","6","6","7","7","7","7","7","7","No"
"2020/03/05 5:02:04 AM GMT+2","6","8","9","6","7","8","8","6","8","6","5","7","7","7","6","7","9","No"
"2020/03/05 6:04:59 AM GMT+2","4","7","8","6","6","5","7","5","8","5","5","","","6","6","6","7","No"
"2020/03/05 11:31:45 AM GMT+2","6","6","8","6","6","7","8","6","8","6","6","6","6","5","5","5","7","Yes"
"2020/03/05 12:15:32 PM GMT+2","4","7","6","6","6","7","7","7","8","6","7","","","5","4","6","6",""