"Timestamp","De Gea","Shaw","Maguire","Lindelof","Wan-Bissaka","Matic","Pogba","Rashford","Bruno","Greenwood","Martial","Team Performance","Final Result","Ole","Sheffield Utd","Did the ref do a good job?"
"2020/06/25 6:47:15 PM GMT+2","6","6","7","7","7","10","8","8","8","7","10","10","10","10","5","Yes"
"2020/06/25 6:47:28 PM GMT+2","5","6","6","6","7","8","8","7","8","6","10","8","8","7","2","Yes"
"2020/06/25 6:47:34 PM GMT+2","6","6","7","6","7","9","8","7","8","6","9","8","7","7","3","Yes"
"2020/06/25 6:48:40 PM GMT+2","8","7","8","8","9","9","8","7","8","8","10","9","10","9","5","Yes"
"2020/06/25 6:48:46 PM GMT+2","7","7","8","7","8","9","8","7","8","6","10","9","9","9","3","Yes"
"2020/06/25 6:48:58 PM GMT+2","10","10","10","10","10","10","10","10","10","10","10","10","10","10","1","Yes"
"2020/06/25 6:49:02 PM GMT+2","6","6","7","7","8","7","8","8","8","6","10","9","9","9","4","Yes"
"2020/06/25 6:49:09 PM GMT+2","6","5","7","7","8","10","9","8","8","8","10","10","10","10","3","Yes"
"2020/06/25 6:49:25 PM GMT+2","6","6","7","7","7","8","8","8","8","7","10","8","8","8","4","Yes"
"2020/06/25 6:49:41 PM GMT+2","5","9","7","8","10","10","10","7","8","6","10","10","8","10","4","Yes"
"2020/06/25 6:49:47 PM GMT+2","7","8","8","7","9","10","10","8","8","7","10","8","10","10","4","Yes"
"2020/06/25 6:50:42 PM GMT+2","7","7","7","7","8","8","9","8","7","7","10","10","10","10","5","Yes"
"2020/06/25 6:51:10 PM GMT+2","7","7","8","7","9","10","9","8","8","8","10","10","10","10","4","Yes"
"2020/06/25 6:51:14 PM GMT+2","7","8","8","7","8","10","8","7","8","7","10","9","7","8","5","Yes"
"2020/06/25 6:51:18 PM GMT+2","8","7","8","8","9","10","8","6","7","7","10","10","10","10","3","Yes"
"2020/06/25 6:51:35 PM GMT+2","7","8","8","8","9","10","9","9","9","8","10","9","10","10","3","Yes"
"2020/06/25 6:52:06 PM GMT+2","6","5","7","7","7","9","8","6","8","7","10","10","10","10","5","Yes"
"2020/06/25 6:52:12 PM GMT+2","6","7","7","7","8","9","9","8","8","7","10","9","9","8","4","Yes"
"2020/06/25 6:52:15 PM GMT+2","6","5","7","7","8","9","8","8","9","8","10","8","9","9","4","Yes"
"2020/06/25 6:52:17 PM GMT+2","6","6","7","7","8","9","8","6","7","6","10","10","10","10","4","Yes"
"2020/06/25 6:52:20 PM GMT+2","7","6","7","7","8","9","8","6","7","7","9","9","7","8","6","Yes"
"2020/06/25 6:52:40 PM GMT+2","5","8","10","6","10","7","1","9","7","6","10","8","8","8","1","Yes"
"2020/06/25 6:52:52 PM GMT+2","6","8","7","7","8","8","9","7","9","7","10","9","9","9","5","Yes"
"2020/06/25 6:52:55 PM GMT+2","7","7","7","7","8","9","8","8","8","7","9","9","9","8","4","Yes"
"2020/06/25 6:53:18 PM GMT+2","8","8","8","7","8","10","8","7","8","8","10","10","10","10","4","Yes"
"2020/06/25 6:53:55 PM GMT+2","6","7","7","7","8","9","8","7","9","7","10","7","10","8","5","Yes"
"2020/06/25 6:54:00 PM GMT+2","7","7","8","8","9","10","9","8","9","8","10","9","9","9","3","Yes"
"2020/06/25 6:54:46 PM GMT+2","6","7","8","7","8","10","8","7","8","7","10","8","7","8","2","Yes"
"2020/06/25 6:54:56 PM GMT+2","6","6","7","7","7","8","8","8","8","7","9","9","9","9","5","Yes"
"2020/06/25 6:55:35 PM GMT+2","6","6","6","7","6","7","7","9","8","7","10","8","8","8","2","Yes"
"2020/06/25 6:55:47 PM GMT+2","7","6","9","8","9","10","9","7","7","6","10","10","10","10","4","Yes"
"2020/06/25 6:55:52 PM GMT+2","7","6","8","8","8","9","8","8","7","7","9","8","8","8","3","Yes"
"2020/06/25 6:56:22 PM GMT+2","7","7","8","8","9","9","9","8","9","8","10","8","9","9","5","Yes"
"2020/06/25 6:56:35 PM GMT+2","6","7","7","7","8","9","8","8","8","7","10","9","10","10","4","Yes"
"2020/06/25 6:57:08 PM GMT+2","7","8","8","8","9","10","9","7","10","8","10","10","10","10","6","Yes"
"2020/06/25 6:57:18 PM GMT+2","6","7","8","7","8","9","8","8","7","6","10","9","9","8","3","Yes"
"2020/06/25 6:57:21 PM GMT+2","6","6","9","8","9","10","9","7","8","7","10","9","10","8","3","Yes"
"2020/06/25 6:57:25 PM GMT+2","10","7","9","9","9","10","9","9","9","8","10","10","10","9","3","Yes"
"2020/06/25 6:58:29 PM GMT+2","7","6","8","7","8","9","8","8","8","7","10","9","10","9","4","Yes"
"2020/06/25 6:58:30 PM GMT+2","7","7","7","7","7","9","9","8","8","7","10","9","10","8","4","Yes"
"2020/06/25 6:58:38 PM GMT+2","8","8","7","8","9","8","9","8","9","7","10","10","10","9","4","Yes"
"2020/06/25 6:58:45 PM GMT+2","7","7","8","7","9","10","10","9","9","7","10","9","9","10","5","Yes"
"2020/06/25 6:58:47 PM GMT+2","6","8","7","7","8","10","8","7","7","7","10","10","10","10","5","Yes"
"2020/06/25 6:59:13 PM GMT+2","7","7","8","7","8","9","8","7","9","8","10","10","8","7","3","Yes"
"2020/06/25 6:59:34 PM GMT+2","9","8","10","10","10","10","10","8","10","8","10","10","10","7","7","Yes"
"2020/06/25 6:59:47 PM GMT+2","8","8","8","8","8","10","9","8","9","8","10","9","8","10","3","Yes"
"2020/06/25 7:00:02 PM GMT+2","7","7","7","7","8","8","9","7","8","7","10","8","9","8","4","Yes"
"2020/06/25 7:01:05 PM GMT+2","7","8","8","8","9","10","9","9","9","8","10","10","9","9","4","Yes"
"2020/06/25 7:01:43 PM GMT+2","7","7","7","8","7","9","8","7","7","6","9","9","8","9","5","Yes"
"2020/06/25 7:03:37 PM GMT+2","6","6","7","7","7","8","7","7","8","6","9","8","8","7","4","Yes"
"2020/06/25 7:03:53 PM GMT+2","7","7","7","8","7","9","9","8","8","7","9","9","10","8","3","Yes"
"2020/06/25 7:03:55 PM GMT+2","7","7","7","7","8","9","8","7","8","7","10","10","10","10","5","Yes"
"2020/06/25 7:04:04 PM GMT+2","7","8","8","8","8","9","9","7","9","7","10","9","10","9","5","Yes"
"2020/06/25 7:04:36 PM GMT+2","6","7","6","6","8","9","8","8","8","7","10","8","9","10","4","Yes"
"2020/06/25 7:05:40 PM GMT+2","6","7","8","7","9","8","9","7","7","8","10","10","9","9","2","Yes"
"2020/06/25 7:06:11 PM GMT+2","6","6","5","10","10","8","8","10","10","10","9","7","6","10","6","Yes"
"2020/06/25 7:06:22 PM GMT+2","6","7","6","6","8","9","10","7","9","8","8","9","10","10","3","Yes"
"2020/06/25 7:07:05 PM GMT+2","7","7","8","8","9","10","9","8","9","8","10","9","10","10","5","Yes"
"2020/06/25 7:07:15 PM GMT+2","8","9","9","9","9","9","10","9","8","8","10","9","9","9","7","Yes"
"2020/06/25 7:08:04 PM GMT+2","7","7","8","7","8","9","9","8","9","8","10","10","9","9","3","Yes"
"2020/06/25 7:08:29 PM GMT+2","6","7","7","7","8","9","7","8","8","7","10","8","9","8","4","Yes"
"2020/06/25 7:08:36 PM GMT+2","6","8","8","7","9","8","9","8","7","6","10","9","10","10","3","Yes"
"2020/06/25 7:08:41 PM GMT+2","7","7","8","8","9","9","9","9","9","8","10","10","10","10","5","Yes"
"2020/06/25 7:08:48 PM GMT+2","7","8","8","7","8","10","8","9","8","7","10","9","8","9","3","Yes"
"2020/06/25 7:09:23 PM GMT+2","7","7","7","7","8","9","8","9","8","7","10","9","10","10","4","Yes"
"2020/06/25 7:09:38 PM GMT+2","7","8","8","8","9","10","10","8","9","8","10","9","9","9","6","Yes"
"2020/06/25 7:09:44 PM GMT+2","5","5","6","7","8","9","7","7","8","6","10","9","9","9","1","Yes"
"2020/06/25 7:10:33 PM GMT+2","7","8","8","8","8","10","9","9","10","9","10","10","10","10","2","Yes"
"2020/06/25 7:10:41 PM GMT+2","6","7","7","7","8","10","9","8","9","7","10","10","10","9","5","Yes"
"2020/06/25 7:10:48 PM GMT+2","7","7","7","7","8","9","8","8","8","7","10","9","9","9","6","Yes"
"2020/06/25 7:12:11 PM GMT+2","10","8","10","9","9","10","10","8","10","9","10","9","10","10","1","Yes"
"2020/06/25 7:12:18 PM GMT+2","7","7","8","7","8","8","8","7","8","7","9","9","9","8","4","Yes"
"2020/06/25 7:13:39 PM GMT+2","6","7","7","7","8","8","8","7","8","6","10","9","9","9","3","Yes"
"2020/06/25 7:13:49 PM GMT+2","7","8","8","8","9","9","9","9","9","8","10","10","9","10","4","Yes"
"2020/06/25 7:14:06 PM GMT+2","8","8","8","8","9","9","9","9","9","8","10","10","10","10","5","Yes"
"2020/06/25 7:14:37 PM GMT+2","5","5","6","6","8","9","8","7","7","6","10","10","10","9","3","Yes"
"2020/06/25 7:14:39 PM GMT+2","6","8","8","8","9","10","9","9","10","8","10","10","10","10","1","Yes"
"2020/06/25 7:14:40 PM GMT+2","6","5","6","6","7","8","8","5","7","6","9","8","9","7","2","Yes"
"2020/06/25 7:15:01 PM GMT+2","7","7","8","8","9","9","9","9","9","8","10","8","8","8","3","Yes"
"2020/06/25 7:15:19 PM GMT+2","6","5","7","7","8","8","8","8","8","6","10","9","8","9","2","Yes"
"2020/06/25 7:15:53 PM GMT+2","6","8","9","8","8","10","8","7","8","7","10","9","7","10","3","Yes"
"2020/06/25 7:16:37 PM GMT+2","8","8","8","8","9","9","9","7","8","8","10","9","9","9","3","Yes"
"2020/06/25 7:17:41 PM GMT+2","6","7","8","7","7","9","8","8","8","8","10","9","9","8","5",""
"2020/06/25 7:17:51 PM GMT+2","5","6","7","8","8","9","8","7","8","6","10","8","7","7","3","Yes"
"2020/06/25 7:18:20 PM GMT+2","7","8","7","9","8","9","8","7","7","7","10","8","7","10","3","Yes"
"2020/06/25 7:19:29 PM GMT+2","6","6","6","7","6","9","9","8","8","7","10","8","8","10","4","Yes"
"2020/06/25 7:19:51 PM GMT+2","7","8","8","8","8","9","9","8","8","7","10","10","10","10","6","Yes"
"2020/06/25 7:20:35 PM GMT+2","9","7","7","7","8","8","8","8","8","8","10","9","9","9","3","Yes"
"2020/06/25 7:21:19 PM GMT+2","7","8","8","8","8","9","9","8","9","7","10","9","9","9","3","Yes"
"2020/06/25 7:22:59 PM GMT+2","5","6","6","6","7","8","9","7","9","7","10","8","8","9","5","Yes"
"2020/06/25 7:23:04 PM GMT+2","7","7","8","8","8","10","9","9","9","8","10","9","9","10","3","Yes"
"2020/06/25 7:23:49 PM GMT+2","6","7","7","7","8","9","8","7","8","6","10","9","7","8","4","Yes"
"2020/06/25 7:23:51 PM GMT+2","7","6","7","7","8","9","8","8","8","7","10","9","10","9","3","Yes"
"2020/06/25 7:25:33 PM GMT+2","6","7","7","7","8","9","8","8","8","6","10","9","9","9","2","Yes"
"2020/06/25 7:25:43 PM GMT+2","6","7","7","7","8","9","9","8","9","7","10","9","10","10","4","Yes"
"2020/06/25 7:25:47 PM GMT+2","7","6","9","8","8","9","7","6","8","7","10","8","9","10","3","Yes"
"2020/06/25 7:26:01 PM GMT+2","6","8","6","7","8","9","9","8","8","5","10","10","10","10","1","Yes"
"2020/06/25 7:26:02 PM GMT+2","6","7","7","7","8","9","9","7","7","7","10","9","9","9","5","Yes"
"2020/06/25 7:26:08 PM GMT+2","6","8","9","9","9","10","9","8","8","7","10","10","10","9","7","Yes"
"2020/06/25 7:26:14 PM GMT+2","8","9","9","9","10","10","9","9","8","8","10","10","10","10","6",""
"2020/06/25 7:26:54 PM GMT+2","7","7","8","8","9","9","9","8","8","7","10","10","9","10","4","Yes"
"2020/06/25 7:27:04 PM GMT+2","6","5","7","6","8","9","8","7","7","7","10","10","10","10","6","Yes"
"2020/06/25 7:28:37 PM GMT+2","8","6","9","8","9","10","8","8","8","7","10","10","10","10","3","Yes"
"2020/06/25 7:28:53 PM GMT+2","7","6","7","7","8","8","9","8","8","8","10","9","8","8","4","Yes"
"2020/06/25 7:29:04 PM GMT+2","7","7","7","7","8","9","8","8","8","7","10","10","10","10","3","Yes"
"2020/06/25 7:31:06 PM GMT+2","6","6","8","8","9","9","9","9","9","8","10","10","10","10","4","Yes"
"2020/06/25 7:31:42 PM GMT+2","7","8","7","7","9","9","9","8","8","7","10","8","9","9","4","Yes"
"2020/06/25 7:31:51 PM GMT+2","5","6","8","7","8","8","8","2","8","6","10","9","10","9","10","Yes"
"2020/06/25 7:32:41 PM GMT+2","8","6","8","8","9","10","9","7","9","8","10","9","10","8","6","Yes"
"2020/06/25 7:32:48 PM GMT+2","7","8","8","7","8","9","8","8","8","6","10","9","10","9","5","Yes"
"2020/06/25 7:33:06 PM GMT+2","5","6","6","6","7","8","8","6","7","5","9","8","7","10","2","Yes"
"2020/06/25 7:33:46 PM GMT+2","7","8","9","9","9","9","9","8","9","8","10","10","9","9","3","Yes"
"2020/06/25 7:34:44 PM GMT+2","7","5","8","8","8","10","8","6","9","8","10","9","9","10","6","Yes"
"2020/06/25 7:35:41 PM GMT+2","6","6","7","8","7","9","9","8","9","8","10","9","9","8","4","Yes"
"2020/06/25 7:36:56 PM GMT+2","8","8","8","8","8","9","9","8","9","8","10","9","10","10","8","Yes"
"2020/06/25 7:37:15 PM GMT+2","7","7","7","7","8","8","8","9","8","7","10","10","8","8","3","Yes"
"2020/06/25 7:37:39 PM GMT+2","7","7","7","7","8","9","8","8","8","7","10","9","9","10","4","Yes"
"2020/06/25 7:37:50 PM GMT+2","6","8","8","7","8","9","9","8","7","6","10","10","7","9","5","Yes"
"2020/06/25 7:38:07 PM GMT+2","5","6","7","7","6","9","9","7","9","7","10","9","10","9","3","Yes"
"2020/06/25 7:38:33 PM GMT+2","6","7","6","6","7","8","7","6","6","6","8","10","9","8","1","Yes"
"2020/06/25 7:39:17 PM GMT+2","7","8","8","8","7","7","8","8","7","8","10","10","10","8","1","Yes"
"2020/06/25 7:40:56 PM GMT+2","7","8","8","8","8","10","8","7","8","8","10","9","9","10","3","Yes"
"2020/06/25 7:41:32 PM GMT+2","7","7","7","7","7","9","9","8","9","8","10","9","9","10","2","Yes"
"2020/06/25 7:43:05 PM GMT+2","7","7","8","7","9","9","8","6","10","7","10","8","10","8","5","Yes"
"2020/06/25 7:44:11 PM GMT+2","5","7","9","9","9","8","8","7","7","6","10","10","10","10","4","Yes"
"2020/06/25 7:44:22 PM GMT+2","7","6","6","6","7","9","8","7","8","7","10","9","10","8","5","Yes"
"2020/06/25 7:45:34 PM GMT+2","6","6","6","6","6","8","7","7","7","6","9","9","9","8","5","Yes"
"2020/06/25 7:45:56 PM GMT+2","10","6","7","7","8","9","8","6","7","7","10","8","10","10","3","Yes"
"2020/06/25 7:46:49 PM GMT+2","6","7","8","8","8","9","8","8","9","8","10","9","10","9","6","Yes"
"2020/06/25 7:47:54 PM GMT+2","6","7","6","6","8","9","8","8","8","7","10","9","9","10","4","Yes"
"2020/06/25 7:48:03 PM GMT+2","6","7","8","7","8","9","8","7","8","6","10","9","10","8","3","Yes"
"2020/06/25 7:48:09 PM GMT+2","7","7","7","7","8","9","8","8","8","7","10","8","9","9","5","Yes"
"2020/06/25 7:48:33 PM GMT+2","9","8","9","9","9","10","10","7","9","7","10","10","9","10","4","Yes"
"2020/06/25 7:48:49 PM GMT+2","7","7","7","7","8","9","8","8","7","7","10","9","9","9","4","Yes"
"2020/06/25 7:51:22 PM GMT+2","6","6","6","6","7","8","8","8","8","6","10","8","8","7","4","Yes"
"2020/06/25 7:51:33 PM GMT+2","6","7","6","6","8","9","7","6","8","7","10","7","8","8","2","Yes"
"2020/06/25 7:51:45 PM GMT+2","7","8","7","7","8","9","9","7","7","7","10","9","9","9","4","Yes"
"2020/06/25 7:51:46 PM GMT+2","6","7","7","7","8","9","8","8","8","7","10","10","10","9","4","Yes"
"2020/06/25 7:54:35 PM GMT+2","6","6","6","7","6","9","8","7","6","8","9","8","10","7","4","Yes"
"2020/06/25 7:55:06 PM GMT+2","7","8","8","8","9","10","10","9","9","8","9","10","8","10","5","Yes"
"2020/06/25 7:55:08 PM GMT+2","9","9","8","9","8","8","8","8","8","8","10","9","10","10","10","Yes"
"2020/06/25 7:57:46 PM GMT+2","8","8","9","8","10","9","9","9","9","8","10","10","10","10","8","Yes"
"2020/06/25 7:59:08 PM GMT+2","6","7","8","8","8","10","8","7","8","7","10","9","8","9","2","Yes"
"2020/06/25 7:59:45 PM GMT+2","8","8","8","8","9","9","9","8","9","8","10","9","9","9","4","Yes"
"2020/06/25 8:00:20 PM GMT+2","8","8","8","8","8","10","9","8","8","8","10","10","10","9","8","Yes"
"2020/06/25 8:00:28 PM GMT+2","7","6","8","8","8","9","9","7","9","7","10","8","7","8","4","No"
"2020/06/25 8:00:30 PM GMT+2","8","7","8","8","9","10","8","8","8","7","10","10","10","10","4","Yes"
"2020/06/25 8:00:34 PM GMT+2","7","7","7","7","7","9","7","8","7","6","10","9","9","10","6","Yes"
"2020/06/25 8:02:12 PM GMT+2","6","7","7","7","8","8","8","7","8","7","9","9","8","8","3","Yes"
"2020/06/25 8:02:18 PM GMT+2","7","8","8","7","8","9","8","8","8","7","10","9","9","10","4","Yes"
"2020/06/25 8:02:19 PM GMT+2","7","8","8","7","8","10","9","8","9","7","10","10","8","9","3","Yes"
"2020/06/25 8:05:36 PM GMT+2","7","7","8","8","8","10","8","7","8","7","10","10","10","8","1","Yes"
"2020/06/25 8:06:15 PM GMT+2","8","8","8","8","9","10","10","9","10","9","10","10","10","10","4","Yes"
"2020/06/25 8:06:47 PM GMT+2","8","5","7","7","8","9","8","7","7","6","10","8","9","9","3","Yes"
"2020/06/25 8:07:03 PM GMT+2","7","8","8","8","8","9","8","8","8","8","10","10","9","9","3","Yes"
"2020/06/25 8:07:20 PM GMT+2","6","6","7","7","7","9","8","5","6","6","9","8","9","8","3","Yes"
"2020/06/25 8:07:41 PM GMT+2","7","7","8","7","7","9","8","7","7","6","10","8","10","10","4","Yes"
"2020/06/25 8:08:37 PM GMT+2","7","8","8","9","9","10","9","9","8","7","10","9","10","8","2","Yes"
"2020/06/25 8:09:47 PM GMT+2","7","8","8","8","8","9","8","7","8","7","10","9","9","10","5","Yes"
"2020/06/25 8:10:48 PM GMT+2","7","7","8","8","9","10","8","7","8","7","10","9","10","8","2","Yes"
