"Timestamp","De Gea","Williams","Maguire","Lindelof","Fosu Mensah","Matic","Pogba","Bruno","Rashford","Greenwood","Martial","Wan Bissaka","Team Performance","Final Result","Ole","West Ham","Did the ref do a good job?"
"2020/07/24 10:26:57 PM GMT+2","6","5","6","6","5","6","6","6","6","7","8","6","6","6","7","8","No"
"2020/07/24 10:27:16 PM GMT+2","10","9","10","10","9","10","10","9","8","10","9","10","9","10","10","1","No"
"2020/07/24 10:27:35 PM GMT+2","7","5","5","6","5","7","7","5","6","8","6","5","5","4","3","6","Yes"
"2020/07/24 10:28:13 PM GMT+2","7","5","5","6","4","7","8","6","6","8","7","7","6","5","6","5","No"
"2020/07/24 10:29:01 PM GMT+2","6","6","7","6","6","6","5","5","4","7","6","6","5","5","6","6","Yes"
"2020/07/24 10:29:24 PM GMT+2","7","5","6","6","5","6","4","6","5","7","6","5","4","4","5","6","Yes"
"2020/07/24 10:29:37 PM GMT+2","7","6","6","6","5","6","5","5","5","8","7","6","5","8","6","7","Yes"
"2020/07/24 10:29:45 PM GMT+2","7","7","6","7","5","7","6","8","7","9","7","5","5","5","1","6","No"
"2020/07/24 10:30:04 PM GMT+2","8","5","7","7","3","6","5","6","7","8","8","7","6","5","5","6","Yes"
"2020/07/24 10:30:49 PM GMT+2","7","4","6","6","5","7","6","7","6","7","7","7","6","5","5","7","Yes"
"2020/07/24 10:30:54 PM GMT+2","6","4","6","5","2","5","5","5","6","8","7","7","5","3","5","5","Yes"
"2020/07/24 10:30:56 PM GMT+2","7","6","6","6","5","6","6","6","6","7","6","6","6","5","5","7","Yes"
"2020/07/24 10:31:21 PM GMT+2","6","5","7","6","6","6","8","6","6","8","7","6","6","5","6","6","No"
"2020/07/24 10:31:56 PM GMT+2","6","5","7","6","5","6","5","5","5","7","6","6","5","6","6","6","Yes"
"2020/07/24 10:32:08 PM GMT+2","6","4","6","6","5","6","5","5","5","7","7","6","4","5","5","6","No"
"2020/07/24 10:32:47 PM GMT+2","6","6","7","7","7","6","6","5","6","8","7","7","6","6","6","6","No"
"2020/07/24 10:32:57 PM GMT+2","7","4","7","7","6","7","7","7","3","8","9","7","6","5","9","8","No"
"2020/07/24 10:33:23 PM GMT+2","6","3","5","5","4","4","3","5","3","7","6","5","3","2","7","6","Yes"
"2020/07/24 10:33:25 PM GMT+2","7","5","7","7","5","5","6","6","5","7","6","7","6","5","5","8","Yes"
"2020/07/24 10:33:49 PM GMT+2","6","5","7","6","5","6","5","4","4","8","6","6","5","6","7","6","No"
"2020/07/24 10:34:01 PM GMT+2","8","4","5","6","7","7","5","7","5","8","9","6","5","6","5","9","No"
"2020/07/24 10:34:05 PM GMT+2","7","4","7","7","4","5","4","6","5","7","6","5","4","4","4","6","Yes"
"2020/07/24 10:34:54 PM GMT+2","6","4","6","6","5","7","7","6","4","7","7","8","5","5","6","6","Yes"
"2020/07/24 10:34:58 PM GMT+2","7","5","7","7","5","5","5","6","5","9","8","7","7","7","6","5","Yes"
"2020/07/24 10:34:58 PM GMT+2","8","7","7","7","6","7","5","6","6","8","8","7","8","6","7","7","No"
"2020/07/24 10:36:10 PM GMT+2","7","3","6","7","5","6","5","5","5","8","7","7","4","6","5","5","Yes"
"2020/07/24 10:36:17 PM GMT+2","8","6","8","8","5","6","5","5","5","9","8","8","6","7","6","7","Yes"
"2020/07/24 10:36:32 PM GMT+2","6","5","7","7","6","6","7","7","6","9","8","7","6","6","7","6","Yes"
"2020/07/24 10:37:18 PM GMT+2","5","4","8","7","3","7","5","5","3","5","5","6","5","4","4","6","Yes"
"2020/07/24 10:37:47 PM GMT+2","6","6","6","6","5","7","5","6","5","8","7","6","6","5","6","6","No"
"2020/07/24 10:38:40 PM GMT+2","5","5","5","5","3","5","3","5","4","7","5","6","3","5","4","4","Yes"
"2020/07/24 10:40:10 PM GMT+2","8","7","7","7","6","6","5","5","6","7","6","5","5","4","5","6","Yes"
"2020/07/24 10:40:27 PM GMT+2","6","4","5","5","4","5","3","3","2","8","7","7","4","3","5","6","Yes"
"2020/07/24 10:41:01 PM GMT+2","6","4","5","5","5","6","4","6","5","8","7","7","4","5","6","6","Yes"
"2020/07/24 10:41:05 PM GMT+2","6","5","7","6","5","6","6","6","5","8","7","6","6","6","6","6","No"
"2020/07/24 10:42:22 PM GMT+2","8","5","7","7","5","6","4","6","5","8","8","6","6","6","","5","Yes"
"2020/07/24 10:42:27 PM GMT+2","6","3","7","7","3","6","5","4","3","8","7","7","4","7","6","5","Yes"
"2020/07/24 10:42:47 PM GMT+2","6","5","7","7","6","6","7","7","6","7","7","7","6","6","6","6","No"
"2020/07/24 10:44:20 PM GMT+2","6","5","6","6","3","5","5","5","4","8","8","6","4","4","4","4","No"
"2020/07/24 10:44:37 PM GMT+2","3","4","4","6","3","5","3","5","5","8","7","7","4","2","2","3","No"
"2020/07/24 10:45:25 PM GMT+2","8","6","8","7","6","8","8","9","6","10","6","9","6","2","7","3","Yes"
"2020/07/24 10:46:47 PM GMT+2","7","6","6","6","5","5","5","5","5","7","7","5","5","4","5","5","Yes"
"2020/07/24 10:47:29 PM GMT+2","6","6","5","6","5","5","4","6","5","8","7","9","6","4","6","5","Yes"
"2020/07/24 10:48:17 PM GMT+2","7","5","5","5","6","3","5","5","4","8","7","6","5","5","5","6","No"
"2020/07/24 10:48:27 PM GMT+2","6","4","6","6","6","6","5","6","5","5","7","5","5","3","5","7","Yes"
"2020/07/24 10:48:38 PM GMT+2","7","5","6","6","5","5","5","6","6","7","5","6","5","5","5","6","Yes"
"2020/07/24 10:51:24 PM GMT+2","7","5","7","7","5","5","6","6","5","9","8","7","5","4","6","8","No"
"2020/07/24 10:51:26 PM GMT+2","7","6","7","7","7","7","7","7","6","7","7","7","7","6","6","5","Yes"
"2020/07/24 10:52:28 PM GMT+2","5","5","5","5","5","4","4","5","5","9","7","6","6","5","6","7","No"
"2020/07/24 10:52:43 PM GMT+2","5","5","6","6","4","4","5","5","5","8","7","6","4","4","6","5","No"
"2020/07/24 10:53:24 PM GMT+2","8","6","7","7","6","6","4","6","6","7","6","7","6","6","7","7","Yes"
"2020/07/24 10:54:01 PM GMT+2","7","5","6","6","6","5","4","6","5","7","8","7","6","4","7","7","Yes"
"2020/07/24 10:54:39 PM GMT+2","7","5","7","6","5","5","5","6","4","7","7","6","6","6","7","6","No"
"2020/07/24 10:55:19 PM GMT+2","6","5","6","6","6","4","4","4","5","7","7","5","5","4","5","5","Yes"
"2020/07/24 10:56:34 PM GMT+2","8","6","7","8","4","5","3","5","6","8","7","7","7","4","8","4","Yes"
"2020/07/24 10:56:39 PM GMT+2","6","3","5","6","5","6","5","5","5","7","6","6","5","6","5","7","Yes"
"2020/07/24 10:56:40 PM GMT+2","4","3","6","5","3","5","3","4","3","7","5","7","4","2","3","4","Yes"
"2020/07/24 10:58:16 PM GMT+2","7","4","6","7","4","5","4","6","4","7","6","5","4","5","3","6","Yes"
"2020/07/24 10:58:48 PM GMT+2","8","5","6","6","4","6","4","4","5","8","7","8","5","4","3","6","Yes"
"2020/07/24 10:59:30 PM GMT+2","7","6","6","7","5","7","5","5","6","8","7","7","5","7","6","6","Yes"
"2020/07/24 11:00:32 PM GMT+2","6","5","7","7","5","6","5","5","5","7","6","","6","4","5","",""
"2020/07/24 11:00:52 PM GMT+2","6","4","5","6","5","5","3","6","6","7","6","6","5","4","5","6","No"
"2020/07/24 11:00:56 PM GMT+2","7","4","6","7","5","6","1","5","3","7","6","6","4","2","5","7","Yes"
"2020/07/24 11:02:42 PM GMT+2","7","4","6","6","5","6","4","6","5","7","6","8","5","5","6","6","Yes"
"2020/07/24 11:03:35 PM GMT+2","8","4","6","6","5","7","7","6","5","8","6","8","6","6","5","7","Yes"
"2020/07/24 11:03:41 PM GMT+2","7","4","7","5","5","6","5","5","5","7","5","7","5","5","4","8","Yes"
"2020/07/24 11:03:49 PM GMT+2","7","2","9","7","5","6","4","5","4","7","6","8","6","5","5","5","Yes"
"2020/07/24 11:04:32 PM GMT+2","7","4","6","6","4","6","6","5","4","7","6","6","5","6","5","4","Yes"
"2020/07/24 11:05:05 PM GMT+2","7","4","5","5","5","3","4","6","3","7","7","6","4","3","6","5","Yes"
"2020/07/24 11:06:16 PM GMT+2","1","1","1","1","1","1","1","1","1","1","1","1","3","3","5","6","Yes"
"2020/07/24 11:06:20 PM GMT+2","6","4","5","5","1","4","3","5","5","8","7","5","4","4","5","6","Yes"
"2020/07/24 11:09:22 PM GMT+2","6","5","5","5","4","4","4","5","4","6","6","5","1","","5","8","No"
"2020/07/24 11:09:54 PM GMT+2","8","4","7","6","3","7","6","6","4","8","6","7","4","4","7","9","Yes"
"2020/07/24 11:10:40 PM GMT+2","8","6","8","10","8","4","5","6","4","9","9","3","5","3","3","6","No"
"2020/07/24 11:11:02 PM GMT+2","7","5","6","6","5","5","6","5","5","7","7","6","6","5","5","5","Yes"
"2020/07/24 11:11:03 PM GMT+2","6","6","6","7","5","6","4","6","5","7","7","7","5","4","5","5","No"
"2020/07/24 11:11:57 PM GMT+2","7","4","5","5","4","5","5","4","4","6","7","4","4","4","3","5","Yes"
"2020/07/24 11:13:39 PM GMT+2","8","5","6","6","5","6","5","6","6","8","7","7","6","6","6","6","No"
"2020/07/24 11:14:00 PM GMT+2","9","3","7","4","5","7","5","5","5","8","7","8","6","4","7","8","Yes"
"2020/07/24 11:14:34 PM GMT+2","7","5","5","6","6","5","5","5","5","8","6","7","5","5","6","8","Yes"
"2020/07/24 11:15:27 PM GMT+2","6","3","5","6","3","5","2","2","4","7","6","6","4","4","2","4","Yes"
"2020/07/24 11:16:26 PM GMT+2","6","3","4","5","4","3","5","6","5","7","7","5","5","5","5","5","No"
"2020/07/24 11:16:47 PM GMT+2","6","5","5","6","5","5","7","6","6","8","8","6","5","3","8","3","Yes"
"2020/07/24 11:17:34 PM GMT+2","8","7","6","6","7","7","6","6","5","9","7","8","7","6","5","8","Yes"
"2020/07/24 11:18:22 PM GMT+2","7","6","7","6","6","6","5","7","8","9","7","7","7","3","6","8","Yes"
"2020/07/24 11:18:51 PM GMT+2","6","4","2","4","2","4","2","3","2","6","7","6","3","1","4","7","No"
"2020/07/24 11:18:53 PM GMT+2","6","3","6","6","6","5","4","5","5","7","6","6","6","5","6","7","Yes"
"2020/07/24 11:19:00 PM GMT+2","5","3","5","5","4","3","4","6","3","6","5","6","5","7","3","6","Yes"
"2020/07/24 11:20:35 PM GMT+2","7","6","7","7","6","3","5","7","7","8","6","6","5","4","5","6","No"
"2020/07/24 11:21:03 PM GMT+2","7","5","9","8","6","7","5","6","6","8","8","6","6","7","8","6","Yes"
"2020/07/24 11:21:50 PM GMT+2","6","4","6","6","4","5","5","8","4","8","7","6","4","3","4","1","No"
"2020/07/24 11:22:47 PM GMT+2","8","5","6","7","5","5","6","6","6","8","8","7","6","4","6","4","No"
"2020/07/24 11:22:52 PM GMT+2","6","4","6","6","3","4","4","4","5","6","6","6","4","3","4","6","Yes"
"2020/07/24 11:23:04 PM GMT+2","8","6","6","6","5","4","6","6","6","9","8","8","6","5","3","6","No"
"2020/07/24 11:23:48 PM GMT+2","7","5","6","8","4","5","6","6","7","8","8","7","3","1","3","8","Yes"
"2020/07/24 11:23:50 PM GMT+2","7","5","6","6","7","6","4","6","4","8","8","7","6","7","6","7","No"
"2020/07/24 11:23:56 PM GMT+2","6","6","7","7","4","4","4","4","5","7","6","6","5","4","5","7","Yes"
"2020/07/24 11:25:07 PM GMT+2","5","5","4","4","4","6","6","6","5","8","7","6","6","3","5","7","No"
"2020/07/24 11:25:13 PM GMT+2","7","6","6","6","5","7","6","6","6","8","7","6","6","3","6","7","Yes"
"2020/07/24 11:25:18 PM GMT+2","6","5","6","6","6","4","5","5","5","8","8","6","5","5","5","4","No"
"2020/07/24 11:26:01 PM GMT+2","7","5","6","6","5","5","4","7","7","8","6","6","6","7","7","6","Yes"
"2020/07/24 11:26:09 PM GMT+2","6","6","8","8","5","6","5","4","3","8","8","7","6","5","8","6","Yes"
"2020/07/24 11:26:40 PM GMT+2","7","6","7","7","6","6","6","6","6","7","6","7","6","2","5","2","Yes"
"2020/07/24 11:28:28 PM GMT+2","6","4","4","5","4","5","4","5","3","7","7","6","4","5","5","4","No"
"2020/07/24 11:28:53 PM GMT+2","6","5","6","6","4","5","5","6","5","8","7","6","5","4","6","5","Yes"
"2020/07/24 11:28:54 PM GMT+2","4","4","5","5","5","6","4","5","5","7","6","6","5","4","4","6","Yes"
"2020/07/24 11:30:04 PM GMT+2","10","9","8","8","5","7","7","5","5","10","8","10","4","2","10","7","Yes"
"2020/07/24 11:30:51 PM GMT+2","6","5","6","6","4","5","6","7","5","7","6","6","6","5","6","6","Yes"
"2020/07/24 11:31:00 PM GMT+2","6","6","6","7","5","6","6","6","4","7","7","7","5","3","3","8","Yes"
"2020/07/24 11:31:42 PM GMT+2","7","5","6","6","5","5","6","6","6","8","7","6","5","4","6","7","Yes"
"2020/07/24 11:34:21 PM GMT+2","7","6","7","8","6","6","5","5","9","8","6","7","7","4","5","6","Yes"
"2020/07/24 11:34:56 PM GMT+2","6","6","6","7","5","8","2","5","3","9","6","7","4","2","4","7","Yes"
"2020/07/24 11:35:10 PM GMT+2","6","6","6","5","5","6","6","7","7","8","7","6","6","5","6","7","Yes"
"2020/07/24 11:35:13 PM GMT+2","6","5","6","6","5","5","4","4","5","7","7","6","5","5","5","5","Yes"
"2020/07/24 11:35:31 PM GMT+2","5","5","5","5","5","6","4","6","6","8","7","6","6","5","7","6","Yes"
"2020/07/24 11:35:56 PM GMT+2","7","5","7","6","7","6","5","6","5","8","7","","","","","","Yes"
"2020/07/24 11:37:15 PM GMT+2","6","6","6","7","7","8","8","7","6","8","8","","5","5","","5","Yes"
"2020/07/24 11:37:46 PM GMT+2","7","2","5","6","5","7","3","7","4","8","6","7","6","","","",""
"2020/07/24 11:38:09 PM GMT+2","7","4","6","7","5","6","3","7","5","8","6","7","6","3","5","6","Yes"
"2020/07/24 11:38:53 PM GMT+2","6","5","5","5","5","4","5","5","4","7","8","6","5","4","5","4","Yes"
"2020/07/24 11:39:29 PM GMT+2","6","6","6","6","7","6","7","5","4","7","6","6","5","5","6","6","No"
"2020/07/24 11:40:06 PM GMT+2","8","5","8","7","5","6","6","6","5","8","7","6","4","5","4","7","No"
"2020/07/24 11:43:18 PM GMT+2","7","6","7","7","7","7","5","6","6","7","6","7","6","7","6","6","Yes"
"2020/07/24 11:44:06 PM GMT+2","7","1","6","5","2","5","3","2","5","9","7","7","2","3","4","2","Yes"
"2020/07/24 11:45:24 PM GMT+2","6","4","5","6","3","4","5","5","5","7","5","6","4","4","6","7","Yes"
"2020/07/24 11:45:51 PM GMT+2","7","4","7","6","6","5","4","6","4","7","4","5","5","5","6","5","Yes"
"2020/07/24 11:45:59 PM GMT+2","7","6","7","7","7","6","5","6","6","8","7","7","5","5","5","5","Yes"
"2020/07/24 11:46:28 PM GMT+2","7","6","6","7","7","6","6","6","6","7","8","9","5","5","8","7","Yes"
"2020/07/24 11:46:44 PM GMT+2","7","3","6","6","5","3","3","3","3","7","6","6","1","1","1","5","Yes"
"2020/07/24 11:47:12 PM GMT+2","7","5","7","7","5","6","4","6","6","9","8","7","6","5","6","4","Yes"
"2020/07/24 11:47:59 PM GMT+2","7","6","8","6","6","5","5","3","4","6","6","6","4","6","3","6","No"
"2020/07/24 11:48:16 PM GMT+2","6","4","5","5","5","6","8","9","9","10","10","5","6","5","6","6","No"
"2020/07/24 11:49:08 PM GMT+2","7","7","6","7","6","7","6","6","6","7","7","7","6","6","6","8","Yes"
"2020/07/24 11:50:14 PM GMT+2","8","7","7","8","6","6","6","6","6","9","9","8","7","7","6","6","Yes"
"2020/07/24 11:50:30 PM GMT+2","7","6","6","6","5","4","5","6","5","8","7","6","5","5","5","6","Yes"
"2020/07/24 11:50:36 PM GMT+2","6","6","6","6","5","6","5","5","4","7","8","7","3","2","3","6","Yes"
"2020/07/24 11:50:57 PM GMT+2","6","5","5","5","5","5","4","6","6","7","5","7","5","3","4","7","Yes"
"2020/07/24 11:51:33 PM GMT+2","8","5","7","6","3","6","3","5","6","8","7","7","5","4","5","7","Yes"
"2020/07/24 11:53:21 PM GMT+2","8","6","6","6","5","7","6","6","5","8","8","7","6","5","6","6","Yes"
"2020/07/24 11:55:15 PM GMT+2","7","7","6","6","5","6","6","7","7","8","7","7","7","7","7","6","Yes"
"2020/07/24 11:56:36 PM GMT+2","7","6","6","6","4","6","4","6","7","8","7","6","6","5","6","5","Yes"
"2020/07/24 11:56:43 PM GMT+2","7","5","6","6","5","4","5","5","6","7","6","5","4","3","5","5","No"
"2020/07/24 11:56:51 PM GMT+2","8","6","6","6","7","7","4","7","7","8","6","6","6","6","7","7","Yes"
"2020/07/24 11:57:40 PM GMT+2","7","5","8","7","8","6","6","4","3","9","8","7","4","1","5","10","Yes"
"2020/07/24 11:58:40 PM GMT+2","6","3","5","5","5","5","5","5","6","5","7","5","5","5","4","9","Yes"
"2020/07/25 12:01:22 AM GMT+2","6","6","6","6","5","6","6","6","6","8","7","6","5","4","5","6","Yes"
"2020/07/25 12:02:05 AM GMT+2","4","4","5","5","3","5","2","4","3","7","5","5","4","5","5","5","Yes"
"2020/07/25 12:03:01 AM GMT+2","6","3","5","6","5","4","4","5","4","7","6","6","4","2","2","8","Yes"
"2020/07/25 12:03:29 AM GMT+2","6","4","7","6","5","5","4","5","5","7","7","5","5","6","5","6","No"
"2020/07/25 12:03:46 AM GMT+2","8","6","6","8","6","7","4","7","7","9","8","6","6","6","7","7","Yes"
"2020/07/25 12:07:09 AM GMT+2","7","1","7","7","1","5","7","3","1","7","2","6","1","1","1","3","No"
"2020/07/25 12:08:18 AM GMT+2","7","4","6","6","7","5","5","5","5","7","7","7","5","6","5","7",""
"2020/07/25 12:09:01 AM GMT+2","7","7","5","8","3","7","4","4","3","7","8","6","4","3","6","7","Yes"
"2020/07/25 12:09:07 AM GMT+2","4","5","5","3","5","6","4","5","3","8","5","3","4","2","7","8","Yes"
"2020/07/25 12:09:13 AM GMT+2","7","7","6","6","5","6","5","6","6","8","7","6","6","6","7","7","Yes"
"2020/07/25 12:09:48 AM GMT+2","6","4","6","6","5","4","6","6","5","6","5","6","5","5","6","7","Yes"
"2020/07/25 12:10:24 AM GMT+2","5","5","7","6","5","6","6","7","5","6","5","6","4","3","6","2","No"
"2020/07/25 12:10:25 AM GMT+2","6","2","3","3","4","3","3","3","2","7","6","6","3","6","2","6","Yes"
"2020/07/25 12:10:41 AM GMT+2","5","7","6","6","6","6","3","5","4","8","7","5","4","3","2","8","Yes"
"2020/07/25 12:10:48 AM GMT+2","5","7","6","6","4","7","3","6","4","5","5","7","6","6","6","7","Yes"
"2020/07/25 12:11:00 AM GMT+2","6","4","7","6","6","3","4","3","4","8","6","6","5","4","4","7","Yes"
"2020/07/25 12:11:01 AM GMT+2","6","4","6","6","6","5","6","6","7","7","6","5","4","5","4","7","Yes"
"2020/07/25 12:11:09 AM GMT+2","3","4","5","5","6","7","6","6","7","9","7","6","5","3","7","7","No"
"2020/07/25 12:11:11 AM GMT+2","8","6","7","6","5","5","6","7","8","9","7","7","6","5","7","6","Yes"
"2020/07/25 12:11:47 AM GMT+2","6","6","4","6","5","7","4","5","6","8","8","6","6","4","5","7","No"
"2020/07/25 12:13:08 AM GMT+2","7","6","8","7","6","6","5","6","6","9","7","8","6","6","7","7","No"
"2020/07/25 12:13:15 AM GMT+2","7","5","7","6","5","6","5","7","7","8","7","5","6","5","6","5","Yes"
"2020/07/25 12:14:00 AM GMT+2","7","4","8","7","7","5","5","4","2","7","5","4","5","4","6","7","Yes"
"2020/07/25 12:14:13 AM GMT+2","5","6","7","6","6","4","4","7","6","9","7","7","6","5","10","7","No"
"2020/07/25 12:15:04 AM GMT+2","8","7","7","7","6","6","7","8","8","10","8","7","7","5","7","9","No"
"2020/07/25 12:15:49 AM GMT+2","7","5","6","7","5","6","3","5","4","7","5","6","5","5","5","6","Yes"
"2020/07/25 12:16:43 AM GMT+2","7","6","7","7","5","6","5","6","7","8","6","7","5","5","6","7","Yes"
"2020/07/25 12:17:29 AM GMT+2","5","5","5","5","5","5","5","5","4","6","5","6","5","4","4","6","Yes"
"2020/07/25 12:18:14 AM GMT+2","6","5","6","6","6","6","5","6","7","8","8","6","6","6","6","8","Yes"
"2020/07/25 12:20:23 AM GMT+2","6","5","6","6","4","6","5","7","5","9","8","7","5","5","6","6","Yes"
"2020/07/25 12:21:08 AM GMT+2","6","5","5","3","5","4","2","4","3","8","5","5","4","5","5","6","Yes"
"2020/07/25 12:22:44 AM GMT+2","7","7","6","8","5","6","5","7","4","9","8","8","6","5","6","7","No"
"2020/07/25 12:22:57 AM GMT+2","7","4","6","4","4","6","5","5","6","7","6","7","6","4","2","5","Yes"
"2020/07/25 12:25:03 AM GMT+2","6","3","9","7","4","9","4","4","5","7","6","7","3","4","3","7","Yes"
"2020/07/25 12:27:30 AM GMT+2","9","5","8","8","4","8","7","6","7","9","9","9","5","4","6","8","Yes"
"2020/07/25 12:28:37 AM GMT+2","6","4","3","4","4","5","6","5","4","7","6","6","4","2","5","7","Yes"
"2020/07/25 12:29:19 AM GMT+2","6","6","6","5","6","6","5","6","6","8","7","5","5","5","4","7","Yes"
"2020/07/25 12:30:18 AM GMT+2","6","3","5","4","3","5","5","3","3","6","5","6","4","4","6","6","Yes"
"2020/07/25 12:32:21 AM GMT+2","6","5","6","6","6","6","5","5","4","6","7","5","4","3","4","2","No"
"2020/07/25 12:33:00 AM GMT+2","8","7","8","8","6","8","6","6","5","8","7","8","7","7","6","7","Yes"
"2020/07/25 12:34:24 AM GMT+2","5","4","4","4","3","4","3","4","3","5","4","4","4","1","4","5","No"
"2020/07/25 12:36:11 AM GMT+2","7","3","6","5","5","5","4","5","4","7","6","6","4","4","4","6","Yes"
"2020/07/25 12:36:18 AM GMT+2","7","5","7","7","6","7","6","7","7","7","7","7","6","5","7","6","Yes"
"2020/07/25 12:37:00 AM GMT+2","7","5","8","8","4","7","6","7","6","8","7","7","6","6","7","6","Yes"
"2020/07/25 12:39:02 AM GMT+2","7","4","6","4","4","4","4","7","4","7","6","5","5","5","4","6","Yes"
"2020/07/25 12:41:22 AM GMT+2","7","4","6","6","4","5","5","5","4","7","7","6","5","5","5","8","Yes"
"2020/07/25 12:41:53 AM GMT+2","7","4","7","6","6","6","5","5","4","8","6","6","6","6","6","8","Yes"
"2020/07/25 12:43:25 AM GMT+2","7","5","6","6","6","6","5","7","7","8","7","6","6","5","4","6","Yes"
"2020/07/25 12:43:38 AM GMT+2","7","7","6","6","5","7","6","6","6","8","7","6","6","5","5","6",""
"2020/07/25 12:43:39 AM GMT+2","7","2","7","6","5","5","5","5","2","7","7","7","5","6","5","6","Yes"
"2020/07/25 12:43:45 AM GMT+2","7","5","8","7","4","7","9","5","4","8","9","7","6","4","5","6","No"
"2020/07/25 12:44:25 AM GMT+2","7","5","6","6","6","6","5","6","6","8","7","6","4","4","5","4","No"
"2020/07/25 12:46:02 AM GMT+2","6","4","7","6","5","4","1","6","6","8","6","7","5","7","9","5","No"
"2020/07/25 12:47:12 AM GMT+2","8","3","9","8","4","2","4","4","3","8","4","7","3","2","2","7","Yes"
"2020/07/25 12:47:27 AM GMT+2","7","5","6","6","7","5","7","5","6","7","7","7","6","3","6","8","Yes"
"2020/07/25 12:48:54 AM GMT+2","6","5","6","5","5","6","4","5","3","7","6","5","5","8","6","7","No"
"2020/07/25 12:49:01 AM GMT+2","7","6","9","8","3","6","7","7","8","9","9","10","6","6","5","6","Yes"
"2020/07/25 12:49:18 AM GMT+2","6","3","5","5","6","5","2","4","3","7","6","6","4","4","5","7","Yes"
"2020/07/25 12:49:36 AM GMT+2","5","6","6","7","5","8","7","7","6","7","6","6","6","2","7","4","No"
"2020/07/25 12:49:46 AM GMT+2","4","3","3","4","3","5","5","4","4","6","5","5","3","2","3","7","Yes"
"2020/07/25 12:52:04 AM GMT+2","9","7","8","7","6","9","7","8","9","10","9","8","6","5","7","8","Yes"
"2020/07/25 12:52:17 AM GMT+2","7","3","6","6","3","6","6","7","5","9","8","6","5","5","5","7","Yes"
"2020/07/25 12:52:48 AM GMT+2","1","5","5","5","6","5","6","7","5","7","7","6","5","1","1","6","Yes"
